b/s,contract,price,volume,time,cm,account,cti,order #,trader,reference,trade #,,,TRADER
B,CLM2,2647,5,00:12:39,330,6468050,4C,3102,amk,EO-3102,1201,0.0,Y,Guy
B,CLM2,2647,10,00:18:17,330,6468050,4C,3102,amk,EO-3102,1204,0.0,Y,Guy
B,CLM2,2647,6,02:07:37,330,6468050,4C,3102,amk,EO-3102,1248,0.0,Y,Guy
B,CLM2,2647,79,03:26:14,330,6468050,4C,3102,amk,EO-3102,1312,0.0,Y,Guy
B,CLM2,2667,2,07:18:53,330,6468050,4C,3657,amk,EO-3657,1700,0.0,N,Guy
B,CLM2,2667,40,07:23:05,330,6468050,4C,3657,amk,EO-3657,1711,0.0,N,Guy
B,CLM2,2667,8,07:23:51,330,6468050,4C,3657,amk,EO-3657,1714,0.0,N,Guy
B,CLZ2,2515,30,07:25:09,330,6468050,4C,3795,amk,EO-3795,1728,0.0,N,oneill
B,NGK2,3282,30,15:22:17,330,6468050,4C,735,ebc,ES-735,79,0.0,Y,Fred
S,NGK2,3310,7,16:17:25,330,6468050,4C,1641,ebc,EO-1641,391,0.0,Y,Fred
S,NGK2,3310,5,16:17:49,330,6468050,4C,1641,ebc,EO-1641,392,0.0,Y,Fred
S,NGK2,3310,88,16:18:30,330,6468050,4C,1641,ebc,EO-1641,393,0.0,Y,Fred
S,NGM2,3292,30,15:22:17,330,6468050,4C,735,ebc,ES-735,80,0.0,Y,Fred
