Enron Midwest NSS Program I and Program II,,,,,,,,,
April Physical Gas (Transactions with ENA and Transactions with PGLC),,,,,,,,,
2000-05-10 00:00:00,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transaction ,,Buy or Sell  ,,,Daily,Total Monthly,Price Per,Total Purchase,EMW
Date,Counterparty,EMW Perspective,Program,Location,Volume,Volume,MMBTU,or Sale,Sitara
2000-03-29 00:00:00,ENA,B,II,Louisiana,15255,457650,2.855,-1306590.75,
2000-03-29 00:00:00,ENA,B,II,Midcontinent,5085,152550,2.805,-427902.75,
2000-03-03 00:00:00,ENA,B,I,Louisiana,7620,228600,2.7925,-638365.5,
2000-03-03 00:00:00,ENA,B,I,Midcontinent,2540,76200,2.725,-207645,
2000-03-03 00:00:00,ENA,B,I,Louisiana,12504,375120,2.785,-1044709.2000000001,
2000-03-03 00:00:00,ENA,B,I,Midcontinent,4168,125040,2.72,-340108.80000000005,
2000-04-08 00:00:00,ENA,S,II,Louisiana,1000,-30000,2.94,88200,
,ENA Total,,,,,1385160,,-3877122,
2000-03-29 00:00:00,PGLC,S,II,Louisiana,15255,-457650,2.855,1306590.75,233209
2000-03-29 00:00:00,PGLC,S,II,Midcontinent,5085,-152550,2.805,427902.75,233218
2000-03-03 00:00:00,PGLC,S,I,Louisiana,7620,-228600,2.7925,638365.5,233096
2000-03-03 00:00:00,PGLC,S,I,Midcontinent,2540,-76200,2.725,207645,233127
2000-03-03 00:00:00,PGLC,S,I,Louisiana,12504,-375120,2.785,1044709.2000000001,233142
2000-03-03 00:00:00,PGLC,S,I,Midcontinent,4168,-125040,2.72,340108.80000000005,233147
2000-04-08 00:00:00,PGLC,B,II,Louisiana,1000,30000,2.94,-88200,264696
2000-04-08 00:00:00,PGLC,B,II,Louisiana,1500,45000,2.97,-133650,264699
2000-04-27 00:00:00,PGLC,S,II,TXOK,333,-10000,3.035,30350,253409
,PGLC Total,,,,,-1350160,,3773822,
,Grand Total,,,,,35000,,-103299.99999999988,
,,,,,,,,,
Non Program Buys and Sells to PGLC,,,,,,,,,
,,,,,,,,,
2000-04-08 00:00:00,PGLC,S,II,Louisiana,1500,-45000,2.97,133650,264702
2000-04-27 00:00:00,PGLC,B,II,TXOK,333,10000,3.035,-30350,264704
,,,,,,-35000,,103300,
