,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,2001/2002  FDD Information,,,,,,,Today's  Date,,12/19/'01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% of ,,,,,,,,,
,,,,,,,,,,,GIP,,Contract,,,Tarriff  Required,,,,,,
,,Customer,Contract  #,Quantity in MMCF,Office,Election,Gas-In-Place,4-Step,3-Step,,IN  MMCF,,Filled,,% of Contract by Month End,,,,,,,
,1.0,IES Industries,22319,3500,DM,1,3500,,,,3120.1,,0.8914571428571428,,,,Gas-In-Place,,,,,
,2.0,MUD,22298,2747.533,Oma,1,2747.533,,,,2640.2,,0.9609347731219242,,Nov.   ,"No  >  100%,  Nor  <  51%",,,,,,
,3.0,LS Power/Utilcorp United Inc.,23281,1000,EndUser,1,300,,,,259,,0.8633333333333333,,Dec.,"No  >  83.5%,  Nor  <  33.5%",,,,,59.24193548387097,max. month to min. month
Cap. Rel.,4.0,Utilicorp United Inc.,107827,500,Oma,1,500,,,,402,,0.804,,Jan.,"No  >  64.6%,  Nor  <  14.4%",,,,,,
Cap. Rel.,5.0,Utilicorp United Inc.,107921,200,Oma,1,200,,,,168,,0.84,,Feb.,"No  >  53.0%,  Nor  <  3.9%",,,,,89.88709677419355,max. to max. w/in the month
,6.0,LS Power/Utilcorp United Inc.,23282,500,EndUser,1,375,,,,292.3,,0.7794666666666668,,March ,"No  >  16.1%,  Nor  <  0%",,,,,,
Cap. Rel.,7.0,Utilicorp United Inc.,107922,125,Oma,1,125,,,,109,,0.872,,April,"No  >  0%,  Nor  <  0%",,,,,40.274193548387096,min. month to min. month
,8.0,Great Plains Natural Gas,22307,267.547,Mpls,1,267.547,,,,245,,0.9157269563852332,,,,,,,,,
,9.0,Semco Ener./Mich.Gas Company,22305,1000,DM,1,1000,,,,987.3,,0.9873,,,,,,,,,
,10.0,Coral Energy Rwesources,105153,3874.822,EndUser,1,3874.822,,,,3874.1,,0.9998136688601437,,,,,,,,,
,11.0,Hutchinson Util. Comm.,106323,150,Oma,1,150,,,,147.4,,0.9826666666666667,,,,,,,,,
,12.0,"Tenaska Gas Storage, LLC",107465,500,Oma,1,500,,,,489.2,,0.9783999999999999,,,,,,,,,
,13.0,BP Canada Energy Mkt/Trans Canada Energy/Cibola ,102831,2100.932,Oma,1,2100.932,,,,2125.4,,1.0116462598503904,,,,,,,,,
,,,,,,1  =  GIP,,,,,,,,,,,,,,,,
,,,,,,,15640.833999999999,,,,14859,,0.9500132793430326,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1.0,Utilicorp United Inc.,23613,7509.08,Oma,4,,7509.08,,,6576.4,,0.8757930398930361,,,,4-Step,,,,,
,2.0,NSP-Minn.,22337,6475,Mpls,4,,6475,,,6391.26,,0.9870671814671815,,Nov.   ,In Line with Jan. 31st Reqrmt's,,,,,,
