,,Peak,,Off-Peak,
Region,Delivery Date,Low,High,Low,High
"Red numbers indicate flat, 24-hour products.",,,,,
,,,,,
NW/N. Rockies,2001-12-23 00:00:00,17,18,17,18
Mid-Columbia,2001-12-23 00:00:00,17,18,17,18
COB,2001-12-23 00:00:00,16,18.5,16,18.5
N. California,2001-12-23 00:00:00,16,20,16,20
Midway/Sylmar,2001-12-23 00:00:00,,,,
S. California,2001-12-23 00:00:00,13.5,17,13.5,17
Mead,2001-12-23 00:00:00,14.75,15.75,14.75,15.75
Palo Verde,2001-12-23 00:00:00,14,16,14,16
Inland SW,2001-12-23 00:00:00,14,16,14,16
4-Corners,2001-12-23 00:00:00,14,16,14,16
Central Rockies,2001-12-23 00:00:00,13,14.5,13,14.5
,,,,,
NW/N. Rockies,2001-12-24 00:00:00,19,21,17,18
Mid-Columbia,2001-12-24 00:00:00,19,21,17,18
COB,2001-12-24 00:00:00,21,23.5,16,18.5
N. California,2001-12-24 00:00:00,23.5,27,16,20
Midway/Sylmar,2001-12-24 00:00:00,,,,
S. California,2001-12-24 00:00:00,22.25,26,13.5,17
Mead,2001-12-24 00:00:00,21,24,14.75,15.75
Palo Verde,2001-12-24 00:00:00,22.25,25,14,16
Inland SW,2001-12-24 00:00:00,21,25,14,16
4-Corners,2001-12-24 00:00:00,21.5,22.5,14,16
Central Rockies,2001-12-24 00:00:00,21,22,13,14.5
