TransCanada PipeLines Limited,,,,,,,,,,,,,,,5518.380903660595,,0.03902936327414898
Updated to,2001-03-31 00:00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shipper,Execution Date,Start Date,End Date,Service,Contract Demand (GJ/D),Operating Demand (GJ/D),Receipt Point,Delivery Area,Execution,Start,End,Iden,Fuel,100% Western (w/fuel),Volume (MMcf/d),Fuel Volume (GJ),Fuel Volume (MMc/fd)
"KANNGAZ ENERGY MARKETING,",20001101,20001101,20010331,FT,10722,10722,Empress,EDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,11205.562199999998,10.496887316186521,483.5622,0.45298021046790954
"KANNGAZ ENERGY MARKETING,",20001101,20001101,20010331,FT,11061,11061,Empress,EDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,11559.8511,10.82876987542801,498.85110000000003,0.46730219250005106
BP CANADA ENERGY COMPANY,20000817,20001101,20010331,FT,2437,2437,Empress,CDA,2000-08-17 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,2546.9087,2.3858342090604885,109.9087,0.10295772923990816
ISH ENERGY LTD.,20001101,20001101,20010331,FT,5381,5381,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,5623.683099999999,5.268023750083909,242.6831,0.22733505992611647
TRANSCANADA ENERGY LIMITED,20001031,20001101,20010331,FT,1977,1977,Empress,EDA,2000-10-31 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,2066.1627,1.9354920932755788,89.1627,0.08352377132018812
BP CANADA ENERGY COMPANY,20001101,20001101,20010331,FT,17202,17202,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,17977.8102,16.840837121156554,775.8102,0.7267455307283136
BURLINGTON RESOURCES CANADA ENERGY LTD.,20001101,20001101,20010331,FT,6620,6620,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,6918.562,6.481010448904568,298.562,0.27968000310553637
CANADIAN NATURAL RESOURCES BY ITS MANAGING PARTNER CANADIAN,20001101,20001101,20010331,FT,5398,5398,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,5641.449799999999,5.28466682827596,243.4498,0.22805327141445397
COCHRANE POWER CORPORATION,20010302,20010301,20010331,FT,3900,3900,Empress,CDA,2001-03-02 00:00:00,2001-03-01 00:00:00,2001-03-31 00:00:00,1,0.0451,4075.89,3.818117938176407,175.89000000000001,0.16476616497153956
GULF CANADA RESOURCES LIMITED,20001101,20001101,20010331,FT,2291,2291,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,2394.3241,2.242899537528756,103.3241,0.09678955998712746
GULF CANADA RESOURCES LIMITED,20001101,20001101,20010331,FT,8683,8683,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,9074.603299999999,8.500696937739933,391.6033,0.36683707960201994
HUSKY OIL OPERATIONS LIMITED,20001101,20001101,20010331,FT,10551,10551,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,11026.8501,10.32947752966648,475.8501,0.4457558478499266
RIO ALTO EXPLORATION LTD.,20001101,20001101,20010331,FT,5303,5303,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,5542.1653,5.191661391320382,239.1653,0.2240397366266857
TALISMAN ENERGY INC.,20001101,20001101,20010331,FT,2947,2947,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,3079.9096999999997,2.8851265548220186,132.90970000000002,0.1245040738900326
TALISMAN ENERGY INC.,20001101,20001101,20010331,FT,3089,3089,Empress,CDA,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0451,3228.3138999999996,3.024145207955621,139.3139,0.13050325220438092
BURLINGTON RESOURCES CANADA ENERGY LTD.,20001101,20001101,20010331,FT,10000,10000,Empress,Iroq/ Wadd,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0508,10508,9.843441136624808,508,0.4758724873815572
PROGAS LIMITED,20001018,20001101,20010331,FT,401,401,Empress,Emerson 1,2000-10-18 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0168,407.73679999999996,0.38195024648227655,6.7368,0.006310743647622193
PROGAS LIMITED,20001018,20001101,20010331,FT,23721,23721,Empress,Emerson 1,2000-10-18 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0168,24119.512799999997,22.594119194030128,398.51279999999997,0.37330960116021455
PROGAS LIMITED,20001018,20001101,20010331,FT,28558,28558,Empress,Emerson 1,2000-10-18 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0168,29037.7744,27.201334511323825,479.77439999999996,0.4494319628149491
PROGAS LIMITED,20001101,20001101,20010331,FT,25000,25000,Empress,Iroq/ Wadd,2000-11-01 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0508,26270,24.60860284156202,1270,1.189681218453893
"TENASKA MARKETING CANADA, A DIVISION OF TMV CORP.",20001026,20001101,20010331,FT,3165,3165,Empress,Spruce,2000-10-26 00:00:00,2000-11-01 00:00:00,2001-03-31 00:00:00,1,0.0156,3214.3740000000003,3.011086910934263,49.373999999999995,0.046251433448773624
