,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,California Power,,,ERCOT - Mass,,,NY - Mass,,NEPool,,
,,,,,,Market,,,Market,,,,
,,,,,,,,,,,,,
Book Value,,,$200 M +,,,$75 M +,,,$50 M +,,$50M +,,$375 M +
,,,,,,,,,,,,,
Megawatts,,,,,,,,,,,,,
,,,,,,,,,,,,,
- physical,,,300MW +,,,0,,,13MW,,400MW +,,713 MW
- nominal,,,300 MW+,,,500 MW +,,,70 MW +,,400MW +,,1270 MW +
,,,,,,,,,,,,,
PrePay Energy,,,,,,,,,,,,,
per day,,,$1.2 M/day,,,0,,,0.5M/day,,0.4MM/day,,$2.1 M/day
,,,,,,,,,,,,,
ISO Charges,,,$5.0M/month,,,$1.5 M/month,,,$5.0M/month,,$5.0M/month,,$16.5M/month
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Assume 30 days for maximum value sale - the prepaid energy and ISO charges should be recovered from the customer or is collateral to stay  ,,,,,,,,,,,,,
operational,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total DIP financing to stay operating for December - $81.0M to maintain a $375M asset.,,,,,,,,,,,,,
