Schedule of Cinergy Transactions,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,DETM,EPMC,,2001-07-16 00:00:00,,,,,,,,
,MWs,MWs,,2001-08-31 00:00:00,,Jul/Aug '02,,Jul/Aug '03,,Jul/Aug '04,,
2001-07-09 00:00:00,-250,250,,50.66,,50.66,,50.66,,50.66,,
,-250,250,,50.66,,50.66,,50.66,,50.66,,
,-200,200,,50.66,,50.66,,50.66,,50.66,,
,-150,150,,50.66,,50.66,,50.66,,50.66,,
,-150,150,,50.66,,50.66,,50.66,,50.66,,
,-150,150,,50.66,,50.66,,50.66,,50.66,,
,-100,100,,50.66,,50.66,,50.66,,50.66,,
,,,,,,,,,,,,-1250.0
2001-07-10 00:00:00,250,-250,,54.5,,54.25,,49,,44.75,,
,250,-250,,54.5,,54.25,,49,,44.75,,
,200,-200,,54.5,,54.25,,49,,44.75,,
,200,-200,,54.5,,54.25,,49,,44.75,,
,150,-150,,54.5,,54.25,,49,,44.75,,
,100,-100,,54.5,,54.25,,49,,44.75,,
,100,-100,,54.5,,54.25,,49,,44.75,,
,,,,,,,,,,,,1250.0
2001-07-11 00:00:00,-250,250,,50.66,,50.66,,50.66,,50.66,,
,-250,250,,50.66,,50.66,,50.66,,50.66,,
,-200,200,,50.66,,50.66,,50.66,,50.66,,
,-150,150,,50.66,,50.66,,50.66,,50.66,,
,-150,150,,50.66,,50.66,,50.66,,50.66,,
,-150,150,,50.66,,50.66,,50.66,,50.66,,
,-100,100,,50.66,,50.66,,50.66,,50.66,,
,,,,,,,,,,,,-1250.0
2001-07-12 00:00:00,250,-250,,54.5,,54.25,,49,,44.75,,
,250,-250,,54.5,,54.25,,49,,44.75,,
,200,-200,,54.5,,54.25,,49,,44.75,,
,200,-200,,54.5,,54.25,,49,,44.75,,
,150,-150,,54.5,,54.25,,49,,44.75,,
,100,-100,,54.5,,54.25,,49,,44.75,,
,100,-100,,54.5,,54.25,,49,,44.75,,
,,,,,,,,,,,,1250.0
,0,0,,,,,,,,,,
