,Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Average Electricity Demand  (MW),Normal Daily Demand
,2001-05-02 00:00:00,2001-05-03 00:00:00,2001-05-04 00:00:00,2001-05-05 00:00:00,2001-05-06 00:00:00,2001-05-07 00:00:00,2001-05-08 00:00:00,May 02-May 08
,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed - Tue
NEPOOL,15094.205834450951,15096.655565155448,13825.8076275963,11210.83055964775,10685.485900343003,13337.303925263146,13284.284830950175,12594.438770114126
NYPP East,11245.630591234602,11180.931871830597,10793.026944772602,8931.552270707001,8283.018189413004,9657.173851228199,9710.4667717024,9147.915296356576
NYPP West,8360.370397834402,8192.002641161898,7585.9497027919,6142.2102530404,5823.4293986176,7581.193377437899,7626.5584110892005,7055.3867517716
PJM East,15769.390129902995,16147.238429969995,15597.993439844251,12835.416065752252,11871.8694211125,14039.863518441753,13994.77878222925,13149.571304387466
PJM West,14746.024476798002,15000.30959223525,14620.133301053502,12272.717726578996,11556.146739520502,13912.959525523998,13891.468609564252,13204.88972013632
FRCC,20735.76868345,20756.51785975,21600.56178,20959.503424799994,20960.38917434999,22934.92099285,23025.21291624999,21479.296539749994
SERC Ent,15601.182705955001,15767.398193371002,15702.799539401705,15118.7824097805,15083.094009633103,16076.457776112804,15905.094288726505,14978.533915535616
SERC Southern,22988.946540956007,22780.019945023,24395.264710146002,21770.700389768,20651.702766662005,23137.484651952,22916.331693101005,21805.29547750872
SERC TVA,18812.455657281003,19210.178282394005,18920.391233975006,16299.333382519006,15642.193930847003,18387.261986368005,18015.392805531003,16691.86046528
SERC VACAR,31007.461287561004,31462.00738422501,32027.61800686801,27634.16486191901,25726.171390194006,29930.832187861,29764.472364715006,28037.147044275283
ECAR Michigan,12796.7513178043,12515.204472456404,12072.595796512898,10122.97518771,9269.75865453,12063.738202235501,12064.391447103599,10964.689797757143
ECAR East,32047.28257742,30652.666159896005,28571.471891908004,24226.287980169007,22764.922523222005,28811.850245893,28679.104158155,26750.367109684434
ECAR West,21634.151800858497,20869.155791259996,20126.863642205997,17572.872618907502,16622.83251676499,19602.358094976,19305.613527427493,18113.543555811062
MAIN,27522.668400427203,26471.977637192856,25895.933366826604,21611.897769256204,20365.9088278359,25946.844394895557,25852.8033688869,23556.222556824156
MAPP,18142.2956221848,17869.312065339902,17890.9658948955,15623.063615772799,14990.445886260899,18117.441461654707,17894.97648762561,16857.11360954343
SPP North,6675.430008275603,6327.845937307405,6341.132096552002,5630.625598444002,5571.270638560002,6586.2575799547985,6501.398060033801,6048.470586417288
SPP South,2229.2298816126618,2273.1452199015985,2297.3226197966,2320.6786590603,2343.200610148063,2415.582164258038,2410.0733392828115,2268.929238968385
SPP West,12375.509072497996,12074.900623324002,12072.963751134,11192.764613410603,11009.965077929402,12514.949804412001,12202.050325630003,11453.873898972059
Total EAST,307784.754986505,304647.46767179435,300338.7953462809,261476.3773872433,249221.80565594396,295054.47374131845,293044.47218800406,274157.5456390937
,,,,,,,,
ERCOT,34343.2969054104,34084.2879257412,34053.835321000806,31420.011109312807,31705.72716648601,35268.900710116795,35230.20378518519,32195.864315939318
,,,,,,,,
NP15,11338.725513665002,11101.2970642475,11208.489351977496,10252.883222548995,10028.959766617001,11866.484094932493,12124.015079880004,10634.252096075925
SP15,15534.045566435005,15483.938809443503,15398.0982360865,13598.080891461006,13093.766352073006,15828.705268436497,15980.178121699002,14790.792051637645
CAISO,26872.771080100007,26585.235873691003,26606.587588063994,23850.96411401,23122.726118690007,27695.18936336899,28104.193201579008,25425.04414771357
LADWP,3477.470997219999,3475.407053689999,3438.850664369999,2972.5087147800014,2839.04614477,3526.796502679999,3556.279092519999,3296.5606558657137
AZ/NM/NV,12593.52215486088,11408.55624362485,11374.73463352428,10893.671111829004,11042.032507882439,12771.881634998637,12978.358367066643,11314.835272582579
RMPA,5779.9821490056,5647.0092415056,5588.439705074401,5173.037410745999,5027.561850051599,5669.679317904,5707.1504071872,5472.423759200913
Pacific NW,19446.669037634998,18983.5058171325,18660.877271819998,17080.389543420002,16815.673908810004,18697.459708725,18576.388323255,18297.573478852497
Inland NW,8259.70284330345,8158.551877491436,8147.733704000275,7478.224623835631,7287.854985396161,8255.6159467285,8294.10279676342,7858.331794357171
Total WSCC,76430.11826212495,74258.2661071354,73817.22356685295,67448.79551862064,66134.8955156002,76616.62247440513,77216.47218837126,71664.76910857245
