EFF_DT,PROMPT,VOL,,EFF_DT,VOL,CURVE_SHIFT,VAR95,
2000-08-01 00:00:00,2000-09-01 00:00:00,0.59,,,,,,
2000-08-02 00:00:00,2000-09-01 00:00:00,0.61,,2000-08-02 00:00:00,0.61,38766344.3523497,-44431566.9285177,
2000-08-03 00:00:00,2000-09-01 00:00:00,0.595,,2000-08-03 00:00:00,0.595,20338425.9910678,-42537181.0548176,
2000-08-04 00:00:00,2000-09-01 00:00:00,0.595,,2000-08-04 00:00:00,0.595,12252933.9055089,-41649915.8618805,
2000-08-07 00:00:00,2000-09-01 00:00:00,0.59,,2000-08-07 00:00:00,0.59,29641399.7128911,-40698834.3497346,
2000-08-08 00:00:00,2000-09-01 00:00:00,0.59,,2000-08-08 00:00:00,0.59,15515533.9212336,-37423052.0090579,
2000-08-09 00:00:00,2000-09-01 00:00:00,0.56,,2000-08-09 00:00:00,0.56,4736882.18187623,-38144269.2500348,
2000-08-10 00:00:00,2000-09-01 00:00:00,0.52,,2000-08-10 00:00:00,0.52,17218061.8499717,-37446275.6535938,
2000-08-11 00:00:00,2000-09-01 00:00:00,0.49,,2000-08-11 00:00:00,0.49,27568592.19617,-39203573.8529216,
2000-08-14 00:00:00,2000-09-01 00:00:00,0.48,,2000-08-14 00:00:00,0.48,-10180111.8031524,-39946808.5056784,
2000-08-15 00:00:00,2000-09-01 00:00:00,0.48,,2000-08-15 00:00:00,0.48,-22995670.6549638,-35088141.7631676,
2000-08-16 00:00:00,2000-09-01 00:00:00,0.515,,2000-08-16 00:00:00,0.515,2373290.97315428,-31494646.5316015,
2000-08-17 00:00:00,2000-09-01 00:00:00,0.47,,2000-08-17 00:00:00,0.47,-10877862.2093084,-32031675.7267799,
2000-08-18 00:00:00,2000-09-01 00:00:00,0.455,,2000-08-18 00:00:00,0.455,9485199.39140884,-38103202.6329046,
2000-08-21 00:00:00,2000-09-01 00:00:00,0.52,,2000-08-21 00:00:00,0.52,93806632.6417911,-44133591.2290236,
,,0.59,,2000-08-22 00:00:00,0.59,61328017.4150823,-47357729.7975609,
