,,,,
,,,,
,,,,
Resp,Supervisor,Co #,Company Name,Due Date
HK,SV,2,ENRON FINANCE CORP,1999-11-22 00:00:00
AL,JSG,3,ERAC Finance Division,1999-11-22 00:00:00
LK,NG,4,EGLI Trading,1999-11-15 00:00:00
MS,NG,12,Houston Pipeline Company,1999-11-22 00:00:00
MS,NG,16,"Enron Gas Marketing, Inc.(merged into ECT 12/31/94)",1999-11-29 00:00:00
AJ,SV,18,Intratex Gas Company,1999-11-15 00:00:00
TK,JSG,21,"ECT Strategic Value Corp (fka Enron Gas Gathering, Inc)",1999-11-15 00:00:00
AJ,SV,51,Panhandle Gas Company,1999-11-15 00:00:00
AJ,SV,54,Enron Industrial Natural Gas Co.,1999-11-15 00:00:00
AJ,SV,58,Houston Pipeline Marketing Co.,1999-11-15 00:00:00
RJG,NG,72,Enron Texoma Gas Company,1999-11-22 00:00:00
MS,NG,78,HPL Resources (frm:  Natural Gas Mkting & Storage Co.),1999-11-15 00:00:00
MS,NG,91,Texas Intrastate Valuation Co.,1999-11-22 00:00:00
AL,JSG,103,Enron Cash Company No. 1,1999-11-29 00:00:00
LK,NG,104,"Enron Gas Liquids, Inc.",1999-11-29 00:00:00
LL,SV,112,Enron Capital & Trade Global Resources Corp.,1999-11-22 00:00:00
LL,SV,113,Enron Servicios de Mexico,1999-11-29 00:00:00
LL,SV,116,"Enron de Mexico, S. de R.L. de C.V.",1999-11-29 00:00:00
CN,KRE,117,"JEDI II Sacramento Basin, L.L.C.",1999-11-29 00:00:00
HK,SV,120,"Enron Gasbank, Inc.",1999-11-29 00:00:00
CN,KRE,129,"JEDI - Lewis, L.L.C.",1999-11-15 00:00:00
CN,KRE,130,"JEDI - Lewis, L.P.",1999-11-15 00:00:00
CN,KRE,132,"JEDI - Lewis Holdings, L.P.",1999-11-15 00:00:00
AL,JSG,165,Enron Natural Gas Marketing,1999-11-22 00:00:00
RJG,NG,187,"Brownsville Power I, L.L.C.",1999-11-15 00:00:00
RJG,NG,192,Caledonia Power I L.L.C.,1999-11-15 00:00:00
RJG,NG,194,New Albany Power I L.L.C.,1999-11-15 00:00:00
MS,NG,197,"Little Looper, L.L.C.",1999-11-15 00:00:00
MS,NG,204,"Middle Looper, L.L.C.",1999-11-29 00:00:00
HK,SV,212,Enron Delta LLC,1999-11-29 00:00:00
RJG,NG,246,ECS Compression Company,1999-11-29 00:00:00
AL,JSG,247,"ECT Powder River, L.L.C.",1999-11-22 00:00:00
AL,JSG,256,"ECT-PR-B,L.L.C.",1999-11-29 00:00:00
AL,JSG,257,"ECT-PR-C,L.L.C.",1999-11-29 00:00:00
AL,JSG,258,"ECT-PR-Z,L.L.C.",1999-11-29 00:00:00
AL,JSG,259,"ECT Wind River, L.L.C.",1999-11-22 00:00:00
AL,JSG,260,"ECT-WR-B,L.L.C.",1999-11-29 00:00:00
AL,JSG,261,"ECT-WR-C,L.L.C.",1999-11-29 00:00:00
AL,JSG,268,"ECT-WR-Z,L.L.C.",1999-11-22 00:00:00
RJG,NG,272,ECT Merchant Investment Corp.,1999-11-15 00:00:00
RO,KRE,275,East Coast Power L.L.C.,1999-11-29 00:00:00
CN,KRE,277,"Eugene Offshore Holdings, LLC",1999-11-15 00:00:00
CN,KRE,300,"JILP-L.P., Inc.",1999-11-22 00:00:00
TK,JSG,307,ECT Coal No. 2 LLC,1999-11-15 00:00:00
RJG,NG,311,Enron Field Services Corp.,1999-11-22 00:00:00
CN,KRE,314,"JEDI SPV I, L.L.C.",1999-11-15 00:00:00
LL,SV,362,Enron Storage Company,1999-11-22 00:00:00
TK,JSG,364,Enron North America Corp.,1999-11-22 00:00:00
LK,NG,367,Enron Reserve Acquisition Corp.,1999-11-29 00:00:00
CN,KRE,393,"Enron Capital Corp. (fka JILP-G.P., Inc)",1999-11-22 00:00:00
CN,KRE,398,"Enron Capital Management, L.P.",1999-11-22 00:00:00
RJG,NG,408,Enron - Richmond Power Corp.,1999-11-22 00:00:00
HK,SV,413,Enron Capital & Trade Resources  (merged into ECT at 12/31/94,1999-11-15 00:00:00
LK,NG,416,Enron Clean Fuels Company (fka Enron Clean Fuels Marketing Company ),1999-11-15 00:00:00
AJ,SV,419,Enron Economic Development Corp.,1999-11-15 00:00:00
AJ,SV,425,"HEOF, L.P.",1999-11-22 00:00:00
RJG,NG,428,"Richmond Power Enterprise, LP",1999-11-22 00:00:00
LL,SV,444,Enron Capital & Trade Resources Canada Corp. (fka Enron Gas Marketing Canada Corp.),1999-11-22 00:00:00
AJ,SV,446,Enron Administrative Services Corp.,1999-11-22 00:00:00
AJ,SV,447,Enron Minority Development Corp.,1999-11-22 00:00:00
LK,NG,460,Enron Services Division,1999-11-22 00:00:00
MS,NG,462,HPL Hydrocarbon Company (Div of EGP(176) thru 3/97) (Div of HPLR (078) after 3/97),1999-11-15 00:00:00
LK,NG,463,Enron Liquid Fuels Inc,1999-11-22 00:00:00
AJ,SV,474,HEOF Management Corp.,1999-11-22 00:00:00
RO,KRE,475,East Coast Power Holding Company L.L.C.,1999-11-29 00:00:00
AL,JSG,479,EGS New Ventures Corp.,1999-11-29 00:00:00
MS,NG,482,Enron Power Oil Supply Corp.,1999-11-22 00:00:00
AL,JSG,487,Louisiana Resources Company,1999-11-22 00:00:00
AL,JSG,488,Louisiana Gas Marketing Company,1999-11-22 00:00:00
AL,JSG,489,"LRCI, Inc.",1999-11-22 00:00:00
AL,JSG,491,"LGMI, Inc.",1999-11-22 00:00:00
LK,NG,494,Enron Fuels International,1999-11-29 00:00:00
AL,JSG,495,"Louisiana Gas Pipeline Co., L.P.",1999-11-15 00:00:00
AL,JSG,496,"Louisiana Resources Pipeline Co., L.P.",1999-11-15 00:00:00
TK,JSG,500,EGS Index Book ,1999-11-29 00:00:00
AL,JSG,505,"Crawfish Division of LA Gas Pipeline Co., L.P.",1999-11-15 00:00:00
TK,JSG,521,Cactus HydroCarbon III - Limited Partnership,1999-11-29 00:00:00
TK,JSG,522,Cactus HydroCarbon III Production Payment Trust ,1999-11-29 00:00:00
LK,NG,524,Enron Hydrocarbons Marketing Corp.,1999-11-29 00:00:00
TK,JSG,525,Enron Cactus III Corp.,1999-11-29 00:00:00
CN,KRE,527,"Joint Energy Development Investments, Ltd Partnership",1999-11-15 00:00:00
LK,NG,551,EGS Hydrocarbon Corp.,1999-11-15 00:00:00
RJG,NG,553,"Enron Power Marketing Inc,",1999-11-15 00:00:00
RJG,NG,570,EGS Power Division,1999-11-15 00:00:00
AL,JSG,581,Napoleonville Storage Company Limited Partnership,1999-11-15 00:00:00
MS,NG,596,EGS Division of EPCUS,1999-11-29 00:00:00
MS,NG,616,Enron Liquid Hydrocarbons Latin America,1999-11-22 00:00:00
AJ,SV,652,Gantry Corp,1999-11-29 00:00:00
LL,SV,653,Enron Mexico Corp. (fka Gantry Acquisition Corp.),1999-11-22 00:00:00
LK,NG,691,"Enron Cushing Oil Marketing, Inc.",1999-11-15 00:00:00
MS,NG,692,HPL Resources Liquids Division (Div of 78[HPL Res]),1999-11-29 00:00:00
AJ,SV,703,Enron Compressor Services,1999-11-29 00:00:00
MS,NG,739,Mid-Texas Partnership,1999-11-15 00:00:00
AJ,SV,842,ECT  Treasury (Accting Division),1999-11-15 00:00:00
TK,JSG,867,"ECT Investments, Inc. (fka ECT Investment Mgmt)",1999-11-22 00:00:00
AJ,SV,909,"ECS Compression Company, LLC",1999-11-29 00:00:00
CN,KRE,914,Enron Capital Management II Limited Partnership,1999-11-29 00:00:00
CN,KRE,915,Enron Capital Management III Limited Partnership,1999-11-29 00:00:00
CN,KRE,919,"Joint Energy Development Investments II, Ltd Partnership",1999-11-29 00:00:00
MS,NG,924,"Weather Alert, Inc.",1999-11-29 00:00:00
RO,KRE,925,"ECT Thailand Investments, Inc.",1999-11-29 00:00:00
MS,NG,930,"HPL Compression Co., LP",1999-11-22 00:00:00
RO,KRE,934,"Southwest Power, L.L.C.",1999-11-22 00:00:00
RO,KRE,935,"TLS Investors, L.L.C.",1999-11-22 00:00:00
AL,JSG,949,Enron CASH Company No. 2,1999-11-29 00:00:00
AL,JSG,951,Cypress Acadian Exploration Corp.,1999-11-29 00:00:00
MS,NG,953,Three Rivers Gas Gathering L.L.C.,1999-11-15 00:00:00
AL,JSG,955,"ECT Sierra Water Conservation, Inc. (fka Enron CASH Company No. 3)",1999-11-29 00:00:00
LL,SV,957,"Kenobe, Inc.",1999-11-15 00:00:00
LL,SV,958,"Enserco, L.L.C",1999-11-15 00:00:00
LL,SV,960,"OBI-1 Holdings, L.L.C.",1999-11-15 00:00:00
LL,SV,961,"Oilfield Business Investments-1, L.L.C.",1999-11-15 00:00:00
