,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sum of MW,,Region,,,,,,,,,,
,Year,Fuel,ECAR,ERCOT,FRCC,MAAC,MAIN,MAPP,NEPOOL,NYPP,SERC,SPP,Grand Total
,1999,Coal,182,,,,,,,,,,182
,,FO2,39,,,,,,,,,,39
,,NG,1612.625,1567,249,,1969,210,435,,2232,570,8844.625
,,Oil,,,,,235,,,,,,235
,,PC,,,,360,,,,,,,360
,,WAT,122,,,,,,,,,,122
,,WND,,75,,,11,438.5,,,,,524.5
,,WTE,94,,,,,,,,,,94
,1999 Total,,2049.625,1642,249,360,2215,648.5,435,,2232,570,10401.125
,2000,NG,3434,3694,305,289,2186,100,1934,250,4499,2239,18930
,,Oil,,,,135,,,,,,,135
,,WTE,35,,,,15,,,,,,50
,2000 Total,,3469,3694,305,424,2201,100,1934,250,4499,2239,19115
,Grand Total,,5518.625,5336,554,784,4416,748.5,2369,250,6731,2809,29516.125
