TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES,TETCO JANUARY IMBALANCES
Gas Day,Scheduled Imbalances,Scheduled Imbalances,Scheduled Imbalances,Scheduled Imbalances,,Allocated Imbalances (2 day lag),Allocated Imbalances (2 day lag),Allocated Imbalances (2 day lag),Allocated Imbalances (2 day lag),,Total,Total,Total,Total
,STX,ETX,WLA,ELA,,STX,ETX,WLA,ELA,,STX,ETX,WLA,ELA
1,3603,-2860,3750,-6194,,43,-308,-2561,-745,,3646,-3168,1189,-6939
2,3603,-2860,3750,-6194,,50,-419,-5095,460,,3653,-3279,-1345,-5734
3,-76,40,77,1,,54,-364,-3283,-321,,-22,-324,-3206,-320
4,-2189,140,-6283,6333,,44,-250,-3635,1178,,-2145,-110,-9918,7511
5,0,-71,-556,-1297,,71,-211,-2991,699,,71,-282,-3547,-598
6,0,-571,217,0,,58,-109,-1802,1690,,58,-680,-1585,1690
7,0,-571,250,0,,75,-142,2992,1695,,75,-713,3242,1695
8,0,-571,217,0,,74,-115,1431,1830,,74,-686,1648,1830
9,-1,-71,-737,0,,71,-157,2442,2265,,70,-228,1705,2265
10,4517,-71,-5034,1000,,72,-91,6392,2014,,4589,-162,1358,3014
11,17,29,340,-153,,76,-182,4146,2297,,93,-153,4486,2144
12,-2202,-2228,2066,9540,,72,-100,1919,1409,,-2130,-2328,3985,10949
13,-554,-3071,1958,2422,,52,-61,3608,857,,-502,-3132,5566,3279
14,-554,-3071,1958,2422,,50,-120,3329,1669,,-504,-3191,5287,4091
15,-554,-3071,1925,2422,,71,-121,-11150,1685,,-483,-3192,-9225,4107
16,-554,-3071,1925,2394,,69,-33,-12925,1751,,-485,-3104,-11000,4145
17,3446,1929,-5839,177,,64,-306,-12099,1296,,3510,1623,-17938,1473
18,808,1929,-1222,0,,-66,-113,-3137,1024,,742,1816,-4359,1024
19,332,1929,-34,0,,-221,-79,-12339,926,,111,1850,-12373,926
20,291,1729,-1135,1620,,-70,-129,5305,983,,221,1600,4170,2603
21,291,1729,-1135,1620,,-198,73,636,607,,93,1802,-499,2227
22,291,1729,-1135,1620,,-221,-112,9160,14,,70,1617,8025,1634
23,291,1929,-554,12721,,-217,-136,16293,942,,74,1793,15739,13663
24,-6425,-3071,0,-5000,,-177,9,17964,477,,-6602,-3062,17964,-4523
25,282,1929,-1784,0,,-60,-113,18673,692,,222,1816,16889,692
26,0,1472,7269,0,,-63,99,4258,529,,-63,1571,11527,529
27,3723,2772,-1200,7743,,-68,21,3966,1073,,3655,2793,2766,8816
28,3723,2772,-1200,17661,,-126,28,3183,664,,3597,2800,1983,18325
29,3723,2772,-1200,21684,,-125,-86,2901,-2521,,3598,2686,1701,19163
30,20996,1929,5126,21589,,-80,-190,2483,573,,20916,1739,7609,22162
31,196,1929,-19309,-57755,,-63,-11,2224,1132,,133,1918,-17085,-56623
,37024,3458,-17529,36376,,-689,-3828,42288,28844,,36335,-370,24759,65220
,,,,,,,,,,,,,,
FILE NAME:  O:\logistics\capacity\east\ne\TETCOIMB,,,,,,,,,,,,,,
