ENA,Contact:,Theresa Staab,,,,,,,,,Gathering Volume Detail,,,,,,,,,,,,,,,,,,,
2001-09-01 00:00:00,PH:,303-575-6485,,,,,,,,,,,,,,,,,Scott Sitter,,,,,,,,,,,
,FAX:,303-534-0552,,,,,,,,,,,,,,,,,720-946-3692,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Btu Factor:,0.9554321610027084,,Btu Factor:,0.9555016190851069,,Btu Factor:,0.927803738317757,,Btu Factor:,0.937001305937028,,Btu Factor:,0.943023340107639,,Btu Factor:,0.966882550181434,,Btu Factor:,0.9282784698187141,,,,,Btu Factor:,0.9380153699444662,,,,
,,Kennedy,,,Kennedy,,,MTG,,,Independent,,,Phillips,,,Quantum,,,Wellstar,,,Citation,,,North Finn,,,,
,,Box Draw,,,South Kitty,,,,,,,,,Clydesdale & Palomino,,,Mustang,,,Box Draw,,,Bear Paw,,,Palomino #3,,,,
,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,Meter Volume Mcf,Meter Volume Mmbtu,Fuel / LUAF Mmbtu,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01 00:00:00,14034,13408,-1238,31647,30242,-2425,676,627,-3,14057,13173,-707,12553,11838,-803,1092,1056,-119,2574,2389,-191,565,539.6235899999999,-1.0792471799999999,1132,1062,-102,,,
2001-09-02 00:00:00,13987,13364,-1293,31430,30032,-2563,689,639,-8,13647,12787,-786,12553,11838,-800,1088,1052,-126,2550,2367,-190,565,539.6235899999999,-1.0792471799999999,1120,1051,-111,,,
2001-09-03 00:00:00,13805,13190,-1360,31408,30010,-3081,581,539,-1,14024,13140,-684,12553,11838,-811,1089,1053,-116,2552,2369,-189,565,539.6235899999999,-1.0792471799999999,1075,1008,-98,,,
2001-09-04 00:00:00,13186,12598,-1635,30844,29469,-3118,440,408,-3,13983,13102,-734,12553,11838,-824,1083,1047,-121,2458,2282,-183,565,539.6235899999999,-1.0792471799999999,1005,943,-98,,,
2001-09-05 00:00:00,14017,13392,-1315,30213,28868,-2810,694,644,-1,14349,13445,-664,12553,11838,-806,970,938,-109,2503,2324,-186,565,539.6235899999999,-1.0792471799999999,1068,1002,-96,,,
2001-09-06 00:00:00,13378,12782,-1298,29183,27888,-2360,251,233,-4,14528,13613,-880,12553,11838,-796,956,924,-120,2359,2190,-175,565,539.6235899999999,-1.0792471799999999,893,838,-98,,,
2001-09-07 00:00:00,13764,13151,-1082,30603,29242,-2459,246,228,-2,14022,13139,-751,12553,11838,-797,935,904,-112,2537,2355,-189,565,539.6235899999999,-1.0792471799999999,727,682,-68,,,
