Date,source_system_nm,enron_entity,deal_num,pr_deal,buy_exposure,sell_volume,sell_exposure,Net Volumes,Net Exposure,counterparty_legal_nm,product_cd,
2001-01-05 00:00:00,Power Books,EPMI,200536.01,,27540,,0,1200,-27540,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,MEGA ID#s
2001-01-06 00:00:00,Power Books,EPMI,200536.01,,413100,,0,18000,-413100,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,ABH260
2001-01-07 00:00:00,Power Books,EPMI,200536.01,,426870,,0,18600,-426870,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,ABX491
2001-01-08 00:00:00,Power Books,EPMI,200536.01,,426870,,0,18600,-426870,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,ABX154
2001-01-09 00:00:00,Power Books,EPMI,200536.01,,413100,,0,18000,-413100,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
2001-01-10 00:00:00,Power Books,EPMI,200536.01,,427443.75,,0,18625,-427443.75,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
2001-01-11 00:00:00,Power Books,EPMI,200536.01,,413100,,0,18000,-413100,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
2001-01-12 00:00:00,Power Books,EPMI,200536.01,,426870,,0,18600,-426870,"Merchant Energy Group of the Americas, Inc.",POW-MID-COL,
,,,,,,,,129625,-2974893.75,,,
,,,,,,,,,,,,
2002-01-01 00:00:00,Power Books,EPMI,220051.01,,166050,,0,8200,-166050,"Merchant Energy Group of the Americas, Inc.",POW-SP15,MEGA ID#s
2002-01-02 00:00:00,Power Books,EPMI,220051.01,,145800,,0,7200,-145800,"Merchant Energy Group of the Americas, Inc.",POW-SP15,ABB801
2002-01-03 00:00:00,Power Books,EPMI,220051.01,,166050,,0,8200,-166050,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-04 00:00:00,Power Books,EPMI,220051.01,,153393.75,,0,7575,-153393.75,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-05 00:00:00,Power Books,EPMI,220051.01,,166050,,0,8200,-166050,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-06 00:00:00,Power Books,EPMI,220051.01,,162000,,0,8000,-162000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-07 00:00:00,Power Books,EPMI,220051.01,,166050,,0,8200,-166050,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-08 00:00:00,Power Books,EPMI,220051.01,,157950,,0,7800,-157950,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-09 00:00:00,Power Books,EPMI,220051.01,,170100,,0,8400,-170100,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-10 00:00:00,Power Books,EPMI,220051.01,,158456.25,,0,7825,-158456.25,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-11 00:00:00,Power Books,EPMI,220051.01,,162000,,0,8000,-162000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2002-01-12 00:00:00,Power Books,EPMI,220051.01,,174150,,0,8600,-174150,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
,,,,,,,,96200,-1948050,,,
,,,,,,,,,,,,
2001-01-05 00:00:00,Power Books,EPMI,220052.01,,0,400,7800,-400,7800,"Merchant Energy Group of the Americas, Inc.",POW-SP15,MEGA ID#s
2001-01-06 00:00:00,Power Books,EPMI,220052.01,,0,7600,148200,-7600,148200,"Merchant Energy Group of the Americas, Inc.",POW-SP15,ABA429
2001-01-07 00:00:00,Power Books,EPMI,220052.01,,0,8600,167700,-8600,167700,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-08 00:00:00,Power Books,EPMI,220052.01,,0,7800,152100,-7800,152100,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-09 00:00:00,Power Books,EPMI,220052.01,,0,8400,163800,-8400,163800,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-10 00:00:00,Power Books,EPMI,220052.01,,0,7825,152587.5,-7825,152587.5,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-11 00:00:00,Power Books,EPMI,220052.01,,0,8000,156000,-8000,156000,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
2001-01-12 00:00:00,Power Books,EPMI,220052.01,,0,8600,167700,-8600,167700,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
,,,,,,,,-57225,1115887.5,,,
,,,,,,,,,,,,
2002-01-01 00:00:00,Power Books,EPMI,226189.01,,168100,,0,8200,-168100,"Merchant Energy Group of the Americas, Inc.",POW-SP15,MEGA ID #s
2002-01-02 00:00:00,Power Books,EPMI,226189.01,,147600,,0,7200,-147600,"Merchant Energy Group of the Americas, Inc.",POW-SP15,AAU572
2002-01-03 00:00:00,Power Books,EPMI,226189.01,,168100,,0,8200,-168100,"Merchant Energy Group of the Americas, Inc.",POW-SP15,
