DATE,GDP-ELPO/SANJUA,GDP-ELPO/PERM2,GDP-CAL BORDER
2000-04-01 00:00:00,2.655,2.71,2.975
2000-04-02 00:00:00,2.655,2.71,2.975
2000-04-03 00:00:00,2.655,2.71,2.975
2000-04-04 00:00:00,2.725,2.76,3.045
2000-04-05 00:00:00,2.685,2.72,2.995
2000-04-06 00:00:00,2.7,2.735,2.98
2000-04-07 00:00:00,2.7,2.755,2.995
2000-04-08 00:00:00,2.685,2.77,3.005
2000-04-09 00:00:00,2.685,2.77,3.005
2000-04-10 00:00:00,2.685,2.77,3.005
2000-04-11 00:00:00,2.69,2.775,3.025
2000-04-12 00:00:00,2.71,2.78,3.01
2000-04-13 00:00:00,2.73,2.79,3.015
2000-04-14 00:00:00,2.805,2.855,3.045
2000-04-15 00:00:00,2.76,2.83,2.985
2000-04-16 00:00:00,2.76,2.83,2.985
2000-04-17 00:00:00,2.76,2.83,2.985
2000-04-18 00:00:00,2.83,2.905,3.055
2000-04-19 00:00:00,2.85,2.935,3.075
2000-04-20 00:00:00,2.85,2.93,3.065
2000-04-21 00:00:00,2.755,2.865,2.985
2000-04-22 00:00:00,2.755,2.865,2.985
2000-04-23 00:00:00,2.755,2.865,2.985
2000-04-24 00:00:00,2.755,2.865,2.985
2000-04-25 00:00:00,2.815,2.895,3.055
2000-04-26 00:00:00,2.81,2.88,3.075
2000-04-27 00:00:00,2.8,2.865,3.085
2000-04-28 00:00:00,2.735,2.83,3.06
2000-04-29 00:00:00,2.705,2.805,2.985
2000-04-30 00:00:00,2.705,2.805,2.985
2000-05-01 00:00:00,2.745,2.835,3.04
2000-05-02 00:00:00,2.845,2.94,3.145
2000-05-03 00:00:00,2.885,2.97,3.21
2000-05-04 00:00:00,2.83,2.94,3.175
2000-05-05 00:00:00,2.755,2.895,3.155
2000-05-06 00:00:00,2.71,2.87,3.055
2000-05-07 00:00:00,2.71,2.87,3.055
2000-05-08 00:00:00,2.71,2.87,3.055
2000-05-09 00:00:00,2.76,2.92,3.12
2000-05-10 00:00:00,2.835,3.035,3.195
2000-05-11 00:00:00,2.785,3.01,3.165
2000-05-12 00:00:00,2.925,3.125,3.265
2000-05-13 00:00:00,2.875,3.08,3.22
2000-05-14 00:00:00,2.875,3.08,3.22
2000-05-15 00:00:00,2.875,3.08,3.22
2000-05-16 00:00:00,2.91,3.13,3.29
2000-05-17 00:00:00,3.01,3.25,3.425
2000-05-18 00:00:00,3.06,3.305,3.495
2000-05-19 00:00:00,3.34,3.565,3.825
2000-05-20 00:00:00,3.365,3.535,3.96
2000-05-21 00:00:00,3.365,3.535,3.96
2000-05-22 00:00:00,3.365,3.535,3.945
2000-05-23 00:00:00,3.845,3.97,4.865
2000-05-24 00:00:00,3.63,3.775,4.215
2000-05-25 00:00:00,3.645,3.795,4.15
2000-05-26 00:00:00,3.865,4.04,4.3
2000-05-27 00:00:00,3.75,4.02,4.225
2000-05-28 00:00:00,3.75,4.02,4.225
2000-05-29 00:00:00,3.75,4.02,4.225
2000-05-30 00:00:00,3.75,4.02,4.225
2000-05-31 00:00:00,4.045,4.26,4.76
2000-06-01 00:00:00,4.24,4.385,4.825
2000-06-02 00:00:00,4.165,4.265,4.72
2000-06-03 00:00:00,3.85,4.03,4.22
2000-06-04 00:00:00,3.85,4.03,4.22
2000-06-05 00:00:00,3.85,4.03,4.22
2000-06-06 00:00:00,3.97,4.06,4.455
2000-06-07 00:00:00,4.19,4.325,4.67
2000-06-08 00:00:00,3.94,4.04,4.45
2000-06-09 00:00:00,3.715,3.815,4.365
2000-06-10 00:00:00,3.86,4.005,4.43
2000-06-11 00:00:00,3.86,4.005,4.43
2000-06-12 00:00:00,3.86,4.005,4.43
2000-06-13 00:00:00,3.98,4.135,4.83
2000-06-14 00:00:00,4.04,4.2,4.805
2000-06-15 00:00:00,3.9,4.07,4.685
2000-06-16 00:00:00,4.03,4.21,4.775
2000-06-17 00:00:00,3.99,4.185,4.67
2000-06-18 00:00:00,3.99,4.185,4.67
2000-06-19 00:00:00,3.99,4.185,4.67
2000-06-20 00:00:00,4.025,4.19,4.72
2000-06-21 00:00:00,3.745,3.9,4.41
2000-06-22 00:00:00,3.84,4.06,4.47
2000-06-23 00:00:00,4.125,4.365,4.875
2000-06-24 00:00:00,3.94,4.23,4.685
2000-06-25 00:00:00,3.94,4.23,4.685
2000-06-26 00:00:00,3.94,4.23,4.685
2000-06-27 00:00:00,4.045,4.285,4.83
2000-06-28 00:00:00,4.215,4.495,5.09
2000-06-29 00:00:00,4.165,4.45,5.105
2000-06-30 00:00:00,3.91,4.19,4.825
2000-07-01 00:00:00,3.945,4.215,4.73
2000-07-02 00:00:00,3.945,4.215,4.73
2000-07-03 00:00:00,3.945,4.215,4.73
2000-07-04 00:00:00,3.945,4.215,4.73
2000-07-05 00:00:00,3.945,4.215,4.73
2000-07-06 00:00:00,3.96,4.16,4.84
2000-07-07 00:00:00,3.655,3.94,4.555
2000-07-08 00:00:00,3.39,3.745,4.135
2000-07-09 00:00:00,3.39,3.745,4.135
