Counterparty,Product Type,Group,Reviewed By,Status,Bid,Offer,Tenor,GTC,Inv,MA,Master Agreement,Modified On,Modified By,PT ID,EOL CP ID
"AEP Energy Services, Inc.",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,N,Y,N,,2000-11-08 13:00:26,SSEVER,1883,5840
Arizona Public Service Company,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,24,Y,Y,N,,2001-02-16 21:01:19,EOL_EXE,1883,5268
BP Energy Company,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,N,,2001-02-16 21:00:07,EOL_EXE,1883,5003
Burlington Resources Trading Inc.,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,N,,2001-02-16 21:01:30,EOL_EXE,1883,5559
Conoco Inc.,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,Y,96028867,2000-10-27 16:39:30,JWEBB,1883,5235
Coral Energy Resources,,,,,,,,,,,,,,,
Crosstimbers Energy Services,,,,,,,,,,,,,,,
"Duke Energy Trading and Marketing, L.L.C.",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,Y,96007427,2000-10-27 16:39:29,JWEBB,1883,5745
Dynegy Marketing and Trade,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,Y,96001003,2000-10-27 16:39:28,JWEBB,1883,5965
"e prime, inc.",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,12,Y,Y,Y,96004242,2000-10-27 16:39:29,JWEBB,1883,5634
"Enron Energy Services, Inc.",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,120,Y,Y,Y,96013197,2000-10-27 16:39:33,JWEBB,1883,6558
"Mirant Americas Energy Marketing, L.P.",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,Y,96029028,2000-10-27 16:39:33,JWEBB,1883,5806
"National Fuel Marketing Company, LLC",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,1,Y,N,Y,96028979,2000-11-10 13:01:15,SSEVER,1883,7001
Nevada Power Company,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,N,Y,N,,2000-10-27 16:39:27,JWEBB,1883,5184
"Occidental Energy Marketing, Inc.",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,Y,96016891,2000-10-27 16:39:28,JWEBB,1883,6015
"ONEOK Energy Marketing and Trading Company, II",US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,N,Y,N,,2000-10-27 16:39:27,JWEBB,1883,5194
PanCanadian Energy Services Inc.,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,12,Y,Y,Y,96001596,2000-10-27 16:39:33,JWEBB,1883,5961
Pinnacle West Capital Corporation,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,N,Y,N,,2000-10-27 16:39:34,JWEBB,1883,7640
Questar Energy Trading,,,,,,,,,,,,,,,
Reliant Energy Services Inc,,,,,,,,,,,,,,,
Salt River Project Agricultural Improvement and Power District,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,12,N,N,N,,2000-11-10 12:40:34,SSEVER,1883,5206
SG Interests,,,,,,,,,,,,,,,
Southern California Gas Company,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,Y,96013277,2000-10-27 16:39:30,JWEBB,1883,5214
Southwest Gas Corporation,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,N,Y,N,,2000-10-27 16:39:30,JWEBB,1883,5217
USGT/Aquila LP,,,,,,,,,,,,,,,
Williams Energy Marketing & Trading Company,US Gas Phy Index Firm non-TX >1Mo<1Yr (RESTRICTED),,, ,T,T,36,Y,Y,Y,96012102,2000-10-27 16:39:34,JWEBB,1883,6037
