Date,2001-07-30 00:00:00,Choose One:,Summer      Winter,,El Paso Natural Gas Company,El Paso Natural Gas Company,El Paso Natural Gas Company,El Paso Natural Gas Company,El Paso Natural Gas Company,El Paso Natural Gas Company,El Paso Natural Gas Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Enron North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact Name,Jane Tholt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Service Agreement,9ME4,Telephone,713-853-5539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Mail,Jane.M.Tholt@enron.com,,,,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,,,,,,,,,,,,,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,Scheduling Receipt Pooling Area - specify delivered quantities in dth/d,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduling Delivery Location (Dcode),Current Legal Name,Delivery Zone,Delivery Location Quantity (Dth),,San Juan,San Juan,San Juan,San Juan,San Juan,San Juan,San Juan,San Juan,,Crossover,Crossover,,Anadarko,Anadarko,Anadarko,Anadarko,Anadarko,Anadarko,,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian,Permian
Scheduling Delivery Location (Dcode),Current Legal Name,Delivery Zone,Delivery Location Quantity (Dth),,Bondad Station,Bondad Station,Bondad Mainline,Bondad Mainline,Blanco,Blanco,Rio Vista,Rio Vista,,Laguna,Laguna,,Schafer,Schafer,Dumas,Dumas,Dimmit,Dimmit,,Cornudas,Cornudas,Eunice,Eunice,Goldsmith,Goldsmith,Keystone,Keystone,Midkiff,Midkiff,Monument,Monument,Pecos,Pecos,Plains,Plains,Puckett,Puckett,Sweetie Peck,Sweetie Peck,Waha,Waha
Scheduling Delivery Location (Dcode),Current Legal Name,Delivery Zone,Delivery Location Quantity (Dth),,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,,Qty,Rank,,Qty,Rank,Qty,Rank,Qty,Rank,,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank,Qty,Rank
DMOJAVE ,Mojave Pipeline Company,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPG&ETOP,Pacific Gas and Electric Company,CA,200000,,200000,2,200000,3,200000,1,200000,4,,,,,200000,15,200000,16,200000,17,,200000,18,200000,8,200000,14,200000,6,200000,10,200000,9,200000,5,200000,13,200000,12,200000,7,200000,11
DSCALEHR,Southern California Gas Company,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCALTOP,Southern California Gas Company,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSWG TOP,Southwest Gas Corporation,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAJO TUS,AJO Improvement Company,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPOWWIL,"Apache Nitrogen Products, Inc.",AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAEPCWIL,"Arizona Electric Power Cooperative, Inc.",AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPS PHX,Arizona Public Service Company,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPS SAG,Arizona Public Service Company,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPS YUM,Arizona Public Service Company,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASARS-H,ASARCO Incorporated,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKENNS-H,ASARCO Incorporated,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMAGMS-H,BHP Copper Inc.,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBMTNPHX,Black Mountain Gas Company,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICPSOUTH,"Calpine Energy Services, L.P.",AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAULWIL,Chemical Lime Company of Arizona,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCITZGIL,Citizens Communications Company,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCITZHOL,Citizens Communications Company,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
