"Updated: July 11, 2001",,,,,,,,,,,,,
Intertie Point,Tie Points Participants ,Control Area (POR),Control Area (Line),Control Area (POD),Lines or Equipment of Interconnection (represented as POR-POD),Line/Equipment Participants,Tie or Path Notes,,,,,,
AMPS LINE,IPCO,(HTSP),IPCO,(BOBR),HTSP-BOBR,IPCO;PPW;MPC,"All three control areas (IPC, MPC, PAC) must be shown on a tag as CA's.  Only the TP who sold capacity should be shown as the TP on the tag.",,,,,,
,PPW,PPW,PPW,IPCO,,,,,,,,,
,MPC,MPC,MPC,PPW,,,,,,,,,
,BPAT,BPAT,,,,,,,,,,,
,AVA,AVA,,,,,,,,,,,
JEFFERSON LINE,IPCO,MPC (JEFF),,IPC (BOBR),JEFF-BOBR,IPCO;MPC,,,,,,,
,MPC,,,,,,,,,,,,
AULT,WACM,,,WACM,AULT-LRS 345-KV LINE,,,,,,,,
,PRPA,,,,AULT-CRAIG 345-KV LINE,,,,,,,,
,TSGT,,,,AULT-ARCHER 230-KV LINE,,,,,,,,
,,,,,AUTL-WELD #1 & #2 230-KV LINES,,,,,,,,
,,,,,AULT-RAWHIDE 230-KV LINE,,,,,,,,
,,,,,AULT-TIMBERLINE 230-KV LINE,,,,,,,,
BC-US BORDER,BCHA,BCHA(N),BCHA,BPAT(S),WESTSIDE,,1) PSEI has transmission rights south of,,,,,,
(WSCC Path 3),BPA,BPAT(S),BCHA,BCHA(N),INGLEDOW - CUSTER #1 & #2 500KV LINES,,the border equal to 15% of the N to S ,,,,,,
,PSEI,,,,EASTSIDE,,westside capability and approx 10% of the S,,,,,,
,WKPL,,,,WANETA - BOUNDARY 230KV LINE,,to N westside capability.,,,,,,
,,,,,NELWAY - BOUNDARY 230KV LINE,,2) WKPL has transmission rights north of the,,,,,,
,,,,,,,border equal to the capability of Waneta-Boundary,,,,,,
BC-ALBERTA BORDER,BCHA,EAL(E),BCHA,BCHA(W),CRANBROOK - LANGDON 500KV LINE,,,,,,,,
(WSCC Path 1),EAL,BCHA(W),BCHA,EAL(E),NATAL - COLEMAN 138KV LINE,,,,,,,,
,,,,,NATAL - POCATERRA 138KV LINE,,,,,,,,
CHOLLA 345,AZPS,AZPS,AZPS,AZPS,CHOLLA - FOUR CORNERS 345 LINE,AZPS,,,,,,,
,,,,,CHOLLA - PINNACLE PEAK 345 LINE,AZPS,,,,,,,
,,,,,,,,,,,,,
CHOLLA 500,AZPS,AZPS,AZPS,AZPS,CHOLLA 4 Gen stepup xfmr,,CHOLLA 4 is in PAC CA but is imported into AZPS at stepup xfmr,,,,,,
,,,,,CHOLLA - SAGURO 500 LINE,AZPS,,,,,,,
