,High- landers,pigskin,tiger watcher,hack n slash,ExAGL Hacker,Team Barry,foneman 12000,Doctor Golf,Birdie- meister,Blue Bombers,par  busters,Norway,,,,
,FK,CA,BB,JK,HB,BT/BP,DT/JF,MB,OM,GK,SR,JS,,,,
Mercedes,185.04166666666669,245.8666666666667,85.325,150.66666666666669,86.675,297.9166666666667,106.375,104.7,207.13333333333335,219.50833333333335,,.,1689.2083333333337,,,0.43664119204185414
Tucson,78.42233333333334,121.38385714285715,83.43042857142858,90.33892857142858,78.92928571428571,113.90411904761905,28.568285714285715,80.9415,26.973857142857142,123.06278571428571,,,825.955380952381,,,0.4081742805194096
Sony,404.1666666666667,131.75325,303.95325,172.04,91.41666666666666,55.15325,46.9865,189.74516666666668,67.119,224.5656666666667,,,1686.8994166666666,,,0.6921023244655629
Phoenix,1925,2245,150,120,1330.5293038797797,0,1224.4597178096,1975.6500952379104,1652.6630577237916,1710,0,0,12333.302174651082,,,0.876899958837215
Pebble,744,213,2114.8341753853665,1979.2824009490955,276.69278269496226,0,3288.676842745807,1295,2367.143871325961,2311,0,0,14589.630073101192,,,0.9528880731543682
Buick-SD,1077,1558,1423.4051396496227,1522.5480528912733,2427.644012153793,2658.2176433478617,492.25503064749864,329,42.415924542683065,980,0,0,12510.485803232732,,,0.875359067519508
Hope,474,1513,2048,1072.1876582999055,827.6632366131975,915.2576747262355,1085.5568888093662,1238.954209926353,1023.6140147917715,3192,0,0,13390.233683166829,,tiger DNP,0.7826225364584769
Nissan-LA,1343,963,1301,2144.069217228217,0,972.6248021089493,2376.729622162409,922.8291700734237,1807.1290577320133,901,0,0,12731.381869305013,,,0.7538968102221502
Doral-Ryder,3213,1914,2388,5639.036976841357,733.1250996815462,1828.866202134987,426.0870284005992,312.9555525109362,283.30205495506766,1607,0,0,18345.372914524494,,tiger DNP,1.0850227201375515
Honda,3869,1176,2944,3342,560.8239273191052,2298.2657302482667,2601.7977047581653,3987.8205130031574,3686.140889857097,1902,0,0,26367.848765185794,,tiger DNP,0.6683428223564025
Bay Hill,3481,3362,2937,3031,4542.954330258581,3821.4714900666413,3630.0820017955352,4426.794654816806,1827.3912497758595,3275,0,0,34334.69372671342,,1875,0.5276833435340148
Players,4713,3915,2970,4715,3706.0425833713016,2525.84928942565,4364.876266060868,4650.087275503456,2354.2856300390217,4538,0,0,38452.1410444003,,2250,0.5348015338111826
Atlanta,2298,0,2228,515,4430.7634229089235,4533.30529466117,0,5888.402291792953,6512.8818608842375,3148,0,0,29554.352870247283,,tiger DNP,0.9862854933620353
Masters,4798,4175,3818,2983,6934.976048747006,6917.979597363126,3987.7260321919794,5352.577590917675,6848.076358887774,5452,0,0,51267.33562810756,,2250,0.5558042036419605
Harbor Town,1296,3747.425091700561,1909.8864142674765,1352,2842.5461481351304,1901.9589242784,3860.609367675195,2265.285181002654,2952.1679574176487,1987,0,0,24114.879084477066,,tiger DNP,0.6210640454017624
