,,Sales Vol,Purch Vol,DCQ,Ticket #,Price,DCQ,Ticket #,Price,DCQ,Ticket #,Price,Alberta,Vol. Diff.,Charge,Vol. Diff.,Charge,
2001-05-01,2001-05-01,2533,,5000,5041334,12,,,,,,,4.1523,2467,0,0,0,No Charge Upstream Problem
2001-05-02,2001-05-02,10000,,5000,5041491,11.65,5000,5041493,10.4,,,,4.1537,0,0,0,0,
2001-05-03,2001-05-03,,,,,,,,,,,,4.1334,0,0,0,0,
2001-05-04,2001-05-04,9930,,10000,5041756,8.45,,,,,,,4.1311,70,302.323,0,0,
2001-05-05,2001-05-05,0,,5000,5041915,8.05,5000,5041919,7.9,,,,4.0861,5000,19819.500000000004,5000,19069.5,
2001-05-06,2001-05-06,0,,5000,5041915,8.05,5000,5041919,7.9,,,,4.0032,5000,20234.000000000004,5000,19484.000000000004,
2001-05-07,2001-05-07,0,,5000,5041915,8.05,5000,5041919,7.9,,,,3.9831,5000,20334.500000000004,5000,19584.500000000004,
2001-05-08,2001-05-08,20000,,5000,5042013,7.8,5000,5042014,7.5,10000,5042015,7.15,3.9351,0,0,0,0,
2001-05-09,2001-05-09,15000,,5000,5042125,8.75,10000,5042126,8.75,,,,3.8568,0,0,0,0,
2001-05-10,2001-05-10,,,,,,,,,,,,3.9087,0,0,0,0,
2001-05-11,2001-05-11,,,,,,,,,,,,3.8658,0,0,0,0,
2001-05-12,2001-05-12,,,,,,,,,,,,3.8516,0,0,0,0,
2001-05-13,2001-05-13,,,,,,,,,,,,3.969,0,0,0,0,
2001-05-14,2001-05-14,,,,,,,,,,,,3.9533,0,0,0,0,
2001-05-15,2001-05-15,0,,5000,5042667,5,,,,,,,4.1614,5000,4192.999999999998,0,0,
2001-05-16,2001-05-16,,,,,,,,,,,,4.0799,0,0,0,0,
2001-05-17,2001-05-17,,,,,,,,,,,,3.8569,0,0,0,0,
2001-05-18,2001-05-18,0,,5000,5043132,4.5,,,,,,,3.715,5000,3925.000000000001,0,0,
2001-05-19,2001-05-19,,,,,,,,,,,,3.6323,0,0,0,0,
2001-05-20,2001-05-20,,,,,,,,,,,,3.6274,0,0,0,0,
2001-05-21,2001-05-21,,,,,,,,,,,,3.7048,0,0,0,0,
2001-05-22,2001-05-22,,,,,,,,,,,,3.6423,0,0,0,0,
2001-05-23,2001-05-23,0,,5000,5043406,9.15,,,,,,,3.7224,5000,27138,0,0,
2001-05-24,2001-05-24,,,,,,,,,,,,3.7945,0,0,0,0,
2001-05-25,2001-05-25,1094,0,1094,5043624,9.3,5000,5043629,7.95,,,,3.6008,0,0,5000,0,No Charge Replacement Gas Bought Cheaper
2001-05-26,2001-05-26,0,,5000,5043786,3.85,,,,,,,3.4839,5000,0,0,0,No Charge Cut Due to PG&E
2001-05-27,2001-05-27,780,,5000,5043786,3.85,,,,,,,3.3345,4220,0,0,0,No Charge Cut Due to PG&E
2001-05-28,2001-05-28,0,,5000,5043786,3.85,,,,,,,3.396,5000,0,0,0,No Charge Cut Due to PG&E
2001-05-29,2001-05-29,0,,5000,5043786,3.85,,,,,,,3.4141,5000,0,0,0,No Charge Cut Due to PG&E
2001-05-30,2001-05-30,,,,,,,,,,,,3.2958,0,0,0,0,
2001-05-31,2001-05-31,,,,,,,,,,,,3.3115,0,0,0,0,
,,,,,,,,,,,,,,,,,,
,,59337,0,81094,,,,,,,,,,51757,95946.323,20000,58138,
