USGT NOV/DEC 2001 DAILY VOLUMES/RATES,,,,,,,,,,
,,,,,,,,,,
CONTRACT 27161,,,,,,,,,,
,,,,,,,,,,
,,Total Scheduled Deliveries,,Scheduled Deliveries @ Alternate Del Points ,,Commodity Rate for Deliveries @ Alternate Del Points ,,Scheduled Deliveries @ Primary Del Points ,,Commodity Rate for Deliveries @ Primary Del Points 
,,,,,,,,,,
2001-11-01 00:00:00,,80846,,0,,,,80846,,0.0092
2001-11-02 00:00:00,,97983,,0,,,,97983,,0.0092
2001-11-03 00:00:00,,175867,,0,,,,175867,,0.0092
2001-11-04 00:00:00,,176225,,0,,,,176225,,0.0092
2001-11-05 00:00:00,,193781,,0,,,,193781,,0.0092
2001-11-06 00:00:00,,81300,,0,,,,81300,,0.0092
2001-11-07 00:00:00,,58569,,0,,,,58569,,0.0092
2001-11-08 00:00:00,,181360,,0,,,,181360,,0.0092
2001-11-09 00:00:00,,157700,,0,,,,157700,,0.0092
2001-11-10 00:00:00,,153361,,0,,,,153361,,0.0092
2001-11-11 00:00:00,,151273,,0,,,,151273,,0.0092
2001-11-12 00:00:00,,149839,,0,,,,149839,,0.0092
2001-11-13 00:00:00,,108830,,0,,,,108830,,0.0092
2001-11-14 00:00:00,,186824,,0,,,,186824,,0.0092
2001-11-15 00:00:00,,140845,,0,,,,140845,,0.0092
2001-11-16 00:00:00,,77964,,0,,,,77964,,0.0092
2001-11-17 00:00:00,,79061,,360,,0.0246,,78701,,0.0092
2001-11-18 00:00:00,,78796,,7170,,0.0246,,71626,,0.0092
2001-11-19 00:00:00,,77881,,6255,,0.0246,,71626,,0.0092
2001-11-20 00:00:00,,184707,,40000,,0.0246,,144707,,0.0092
2001-11-21 00:00:00,,111715,,29979,,0.0246,,81736,,0.0092
2001-11-22 00:00:00,,118217,,0,,,,118217,,0.0092
2001-11-23 00:00:00,,118217,,0,,,,118217,,0.0092
2001-11-24 00:00:00,,121616,,0,,,,121616,,0.0092
2001-11-25 00:00:00,,125755,,0,,,,125755,,0.0092
2001-11-26 00:00:00,,127537,,0,,,,127537,,0.0092
2001-11-27 00:00:00,,128831,,58839,,0.0246,,69992,,0.0092
2001-11-28 00:00:00,,175460,,131381,,0.0246,,44079,,0.0092
2001-11-29 00:00:00,,162812,,100000,,0.0246,,62812,,0.0092
2001-11-30 00:00:00,,153482,,141482,,0.0246,,12000,,0.0092
,,,,,,,,,,
Total,,3936654,,515466,,,,3421188,,
,,,,,,,,,,
2001-12-01 00:00:00,,153115,,100000,,0.10959,,53115,,0.0092
2001-12-02 00:00:00,,114631,,58308,,0.10958993620086438,,56323,,0.0092
2001-12-03 00:00:00,,59796,,0,,,,59796,,0.0092
2001-12-04 00:00:00,,55818,,30629,,0.04532991609259199,,25189,,0.0092
,,,,,,,,,,
Total,,383360,,188937,,,,194423,,
,,,,,,,,,,
Volumes in MMBtu,,,,,,,,,,
Reservation cost = $.025,,,,,,,,,,
