, ,,,,,,,,
,,West Gas Marketing / Priority Listing Report /Hot List,,,,,,,
,,Commercial Employee,,,,,,,
,,Private & Confidential,,,,,,,
,,,,,,,,,
General Issues/Activities,,,,,,,,,
1)  Try to market to industrials on PGE--Who wants to figure this out?,,,,,,,,,
2)  Project Bighorn,Storage Monetization,Sept 15--Q4,,,,,,,
3)  ENA-Mexico,Strategic review/synergies,Sept 15--Q4,,,,,,,
,,,,,,,,,
,,,,,,,TOTAL,2824750,
Name ,Customer / Description,Project Summary,Date on List,Qtr,Executive Hot List ,Projected $'s,Probability,Expected Value,Status 
Barry Tycholiz,City of Redding,T/P and Long Term Fixed Price,2001-03-01 00:00:00,Q3,N,500000,0.25,125000,Revisiting Structure
,Sierra Pacific,Long Term Gas Supply to Sierra Pacific - Rockies ,2001-03-01 00:00:00,Q3,N,500000,0.1,50000,Ongoing
,PGT - Syndication,Back to Back T/P Assignment (Apache/Suncor),2001-06-01 00:00:00,Q3,N,600000,0.5,300000,New Proposal to be developed
,Sierra Pacific,1 year synthetic T/P to bridge exposures,,,,,,,
,,,,,,, ,475000,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Mark Whitt,CMS Medicine Bow,Assignment of WIC Medicine Bow to CMS,2001-02-01 00:00:00,Q3,N,1000000,0.9,900000,Closed verbally; awaiting docs
,AEC,AEC Long term Kern River Supplies ,2001-08-15 00:00:00,Q3,N,500000,0.2,100000,Thermo selling to PSCO will resume with PSCO
,J M Huber,Huber Long term San Juan Purchase El Paso Release,2001-06-01 00:00:00,Q3,N,500000,0.2,100000,Ongoing
,WBI ,Monetization,2001-09-24 00:00:00,,N,5000000,0.1,500000,Ongoing
,Producer Network,El Paso/PGE Topock Network,2001-09-15 00:00:00,,,,,1600000,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Paul Lucci,Sinclair Oil Refinery,Supply and Transport Mgmt Deal,2001-05-01 00:00:00,Q4,N,15000,1,15000,
,Devon Energy,Term Gas Purchase,2001-10-01 00:00:00,Q4,N,50000,0.5,25000,
,EJW Family,Term Gas Purchase,2001-10-01 00:00:00,Q4,N,50000,0.5,25000,
,Anadarko Petroleum,Powder River Purchase,2001-09-24 00:00:00,Q4,N,100000,0.25,25000,
,Lawton Oil Co,Powder River Purchase,2001-09-24 00:00:00,Q4,N,125000,0.25,31250,
,CMS,Transportation Back Haul,2001-09-01 00:00:00,Q4,N,50000,0.25,12500,
,Forest Oil,Supply Renogiation,2001-10-08 00:00:00,Q4,N,25000,0.25,6250,
,WBI-Fidelity,Powder River Purchase,2001-10-08 00:00:00,Q4,N,20000,0.25,5000,
,El Paso/CIG Pipeline,CIG Transportation,2001-10-08 00:00:00,Q4,N,20000,0.25,5000,
,,,,,,,,0,
,,,,,,,,,
,,,,,,,,150000,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Stephanie Miller,Interstate Open Seasons,Ruby,2001-05-01 00:00:00,Q3,N,0,0,0,Waiting for CA - PA due by late October
,PGT Capacity,Transport Capacity,2001-05-01 00:00:00,Q3,N,0,0.3,0,Wating for Calgary input
,EPNG Capacity: Block II,sale of capacity,2001-03-01 00:00:00,Q3,N,0,0,0,Duke /Calpine
,Longview Project,potential supply & transport arrangement,2001-02-01 00:00:00,Q3,N,200000,1,200000,"Puget, IGI, NWNL, DUKE, Idaho, et al. "
,Roseville CEC,Gas supply support,2001-03-01 00:00:00,2002,N,0,0,0,Capacity assistance
,Newport Beach,PGT Capacity Mnmgt/Agency Agreement,2001-09-07 00:00:00,Q3,N,0,0,0,need to reschedule
,PG&E/Socal Open Seasons,Gas Accord II/GIR restructuring: establish regulatory priorities,2001-05-01 00:00:00,Q3,N,0,0,0,ongoing
,,,,,,,,200000,
,,,,,,,,,
,,,,,,,,,
Dave Fuller,Cascade,Restructure Term Deal,2001-08-28 00:00:00,Q3,,150000,0.35,52500,Working on Documents
,L-P Financial Hedges,Hedge all L-P gas load,2001-05-15 00:00:00,Q3,,100000,0.5,50000,Waiting on limit orders
