,,,,,,,,,,,,,,,,,,,,,,,,
,FRONTERA TEST POWER 6/8/2001,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Estimated,,,,,,,,,,,,,,,,,,,
,Hour Ending,,Mw's ,,Gen Price,,Enpower#,,Comments,,,,Mw's ,Counterparty,,Sales Price,,Enpower#,,ERCOT WHEEL,,LINE LOSSES,,STATIC SCHEDULING
,,,,,,,,,,,,,,,,,,,,,,,,
,5,,15,,65,,638147,,30 mw's integr to 15mw's due to ,,,,15,,HLP,10,,638148,,0.22,,-3.04,,49
,6,,0,,,,,,gas prblems,,,,0,,,,,,,,,,,
,7,,0,,,,,,,,,,0,,,,,,,,,,,
,8,,30,,65,,,,,,,,30,,HLP,20,,638148,,0.22,,-3.04,,49
,9,,30,,65,,,,,,,,30,,AEP,15,,638536,,0.22,,0.17,,0
,10,,25,,65,,,,,,,,25,,CALPINE,30,,638835,,0.22,,-0.06,,0
,11,,35,,65,,,,,,,,35,,CALPINE,32,,638835,,0.22,,-0.06,,0
,11,,10,,65,,,,,,,,10,,CITYBRYAN,30,,638835,,0.22,,-2.54,,0
,12,,17,,65,,,,35 mw's integr to 17mw's due to ,,,,17,,CALPINE,33,,638835,,0.22,,-0.06,,0
,13,,0,,,,,,gas prblems,,,,0,,,,,,,,,,,
,14,,30,,65,,,,,,,,30,,CALPINE,35,,638835,,0.22,,-0.06,,0
,15,,34,,65,,,,,,,,34,,HLP,34,,638148,,0.22,,-3.04,,49
,16,,30,,65,,,,,,,,30,,CALPINE,37,,638835,,0.22,,-0.06,,0
,17,,80,,65,,,,,,,,80,,CALPINE,37,,638835,,0.22,,-0.06,,0
,18,,48,,65,,,,140 mw's integr to 48mw's due to ,,,,48,,CALPINE,37,,638835,,0.22,,-0.06,,0
,19,,30,,65,,,,plant probs.,,,,30,,CALPINE,37,,638835,,0.22,,-0.06,,0
,20,,140,,65,,,,,,,,140,,CALPINE,35,,638835,,0.22,,-0.06,,0
,21,,184,,65,,,,,,,,184,,CALPINE,35,,638835,,0.22,,-0.06,,0
,22,,167,,65,,,,,,,,167,,CALPINE,35,,638835,,0.22,,-0.06,,0
,23,,160,,65,,,,,,,,160,,CALPINE,35,,638835,,0.22,,-0.06,,0
,24,,94,,65,,,,,,,,94,,CALPINE,35,,638835,,0.22,,-0.06,,0
,,,1159,,,,,,,,,,1159,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Deals entered under Teco Services Book,,,,,,,,,,,,,,,,,,,,,,,
