GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations
Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts
2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00,2001-05-24 00:00:00
Date,Type,Enron Entity,Existing C/P name,New C/P name,Contract Type,Global Contract #,New Global Contract #,Effective Date,Meter,Comments
2001-05-01 00:00:00,,,,,,,,,,
,Assignment,,,,,,,,,
,,ENA,Newport Petroleum Corporation,"Hunt Oil Comapny of Canada, Inc.",Mas Int Pur Sale,96000541,,2001-05-01 00:00:00,,"ENA: Per GCP notification dated 4/25/01 Newport Petroleum Corporation changed its name to Hunt Oil Company of Canada, Inc. "
,,ENA,"Pioneer Energy Marketing Company, Inc","Golden Prairie Resources, LLC",GISB,96029020,,2001-05-01 00:00:00,,ENA: K assigned to Golden Prairie 10/1/00 per 3/5/01 written notice. Operationally effective 05/01/01 due to receipt of notice to Global Contracts & downstream system constraints.
,,ENA,"Richardson Products II, Ltd.","Richardson Energy Marketing, Ltd.",Mas Int Pur Sale,96004521,,2001-05-01 00:00:00,,ENA: CP Name Overlay.
,Termination,,,,,,,,,
,,ENA,"Archer Daniels Midlan Company, Inc",,Mas Int Sale,96000622,,2001-05-01 00:00:00,,ENA: Terminated by ENA per 1999 written notice. Contract File/Global Records were not updated.
,,ENA,Keyspan Ravenswood Inc,,GTC Sale Spot,96043932,,2001-05-01 00:00:00,,ENA: Terminated due to duplication of 2/1/01 GISB #96058480
,,ENA,Keyspan Ravenswood Inc,,GTC Pur Spot,96039769,,2001-05-01 00:00:00,,ENA: Terminated due to duplication of 2/1/01 GISB #96058480
,,ENA,Southern Union Company,,Mas Int Sale,96004620,,2001-05-01 00:00:00,,"Terminated by counderparty per 2/5/99 written notice from Pamela Leigh, effective termination date per the notice sited to be 4/1/99. Global record was never terminated. Terminated effective 05/01/01 in Global."
2001-05-02 00:00:00,,,,,,,,,,
,Expiration,,,,,,,,,
