,,,,,,,,,,,,
Broker,Prebon,,,,,,,,,,,
Date,2002-01-24 00:00:00,,,,,,,,,,,
Time,3.00PM,,,,Please time stamp the quote sheet before sending back,,,,,,,
,,,,,,,,,,,,
ONPEAK,,,,,,,,OFFPEAK,,,,
PRICE,SOUTHEAST,SOUTHEAST,SOUTHEAST,SOUTHEAST,,,,PRICE,SOUTHEAST,SOUTHEAST,SOUTHEAST,SOUTHEAST
,SOCO,SOCO,Entergy,Entergy,,,,,SOCO,SOCO,Entergy,Entergy
,Bid,Offer,Bid,Offer,,,,,Bid,Offer,Bid,Offer
Dailies,-,-,-,-,,,,Dailies,,,,
Next Week,-,-,-,-,,,,Next Week,,,,
Balmo,21,23,18,19,,,,Balmo,,,,
2002-02-02 00:00:00,22.5,22.8,18.3,18.5,,,,2002-02-02 00:00:00,,,,
M/A 02,21.8,22.5,19.55,19.6,,,,M/A 02,,,,
2002-05-01 00:00:00,25,25.5,22.8,23,,,,2002-05-01 00:00:00,,,,
2002-06-01 00:00:00,30,30.75,26.5,27.25,,,,2002-06-01 00:00:00,,,,
Sum 02,39.25,39.75,33.8,34.2,,,,Sum 02,,,,
2002-09-01 00:00:00,23,23.5,21.35,21.7,,,,2002-09-01 00:00:00,,,,
Q4 02,22.85,23.35,21.5,21.6,,,,Q4 02,,,,
Bal CAL-02,26.4,27,23.6,23.9,,,,CAL-02,,,,
W 03,25.95,26.25,24.25,24.5,,,,W 03,,,,
M/A 03,24.7,25.45,22.75,23.25,,,,M/A 03,,,,
2003-05-01 00:00:00,27.25,28,24.5,25.25,,,,2003-05-01 00:00:00,,,,
2003-06-01 00:00:00,33,33.75,29.5,30.5,,,,2003-06-01 00:00:00,,,,
Sum 03,40.25,40.75,34.8,35.1,,,,Sum 03,,,,
2003-09-01 00:00:00,25,25.75,23.25,24,,,,2003-09-01 00:00:00,,,,
Q4 03,25.5,26.25,24.25,24.75,,,,Q4 03,,,,
CAL-03,28.65,29.25,26.25,27,,,,CAL-03,,,,
Cal-04,30,31,27.25,28,,,,Cal-04,,,,
Cal-05,30.75,32,29,29.75,,,,Cal-05,,,,
Cal-06,-,-,-,-,,,,Cal-06,,,,
Cal-07-10,-,-,-,-,,,,Cal-04-06,21.5,22.5,,
