CES - Appalachian Deals Behind City Gate,,,,,,,,,,,,,,,
"January 1, 2000 Forward",,,,,,,,,,,,,,,
DATE,INTIALS,TS #,BUY/SELL,TRADE PARTNER,PIPELINE,DELIVERY POINT,TERM,,FIXED VOLUME,Day / Month,PRICE,,SITATA #,TAGG #,COMMENTS
1999-07-27 00:00:00,JMS,0260R,Buy,CNG Field Serv,CPA,Jefferson,1999-08-01 00:00:00,2000-07-31 00:00:00,773,Day,I + $.12,,,,
1999-03-26 00:00:00,JMS,0100,Buy,Phoenix Dominion,CPA,Jefferson,1999-04-01 00:00:00,2000-03-31 00:00:00,75,Day,2.395,,,,
1999-03-05 00:00:00,JMS,0047,Buy,Phoenix Dominion,CPA,Class 90,1999-04-01 00:00:00,2000-03-31 00:00:00,140,Day,$2.47/Mcf,,,,
1999-07-22 00:00:00,JMS,0255,Buy,Phoenix Dominion,CPA,Class 90,1999-08-01 00:00:00,2000-03-31 00:00:00,75,Day,$3.105/Mcf,,,,
1999-05-06 00:00:00,JMS,0169,Buy,Phoenix Dominion,CPA,Jefferson,1999-06-01 00:00:00,2000-05-31 00:00:00,400,Day,LDS+$.32,,,,
2000-02-16 00:00:00,JMS,ENA,Trigger,Power Gas Marketing,CPA,Class 90,2000-05-01 00:00:00,2000-07-31 00:00:00,15000,Month,2.915,,,,
1999-06-11 00:00:00,JMS,0211,Trigger,Power Gas Marketing,CPA,Class 90,2000-01-01 00:00:00,,15000,Month,3.106,,142727,,
1999-06-17 00:00:00,JMS,0230,Trigger,Power Gas Marketing,CPA,Class 90,2000-02-01 00:00:00,,15000,Month,2.94,,142727,,
1999-06-17 00:00:00,JMS,0230,Trigger,Power Gas Marketing,CPA,Class 90,2000-03-01 00:00:00,,15000,Month,$2.485 + .16 + LBB,,142727,,Does not include look- back basis
1999-06-17 00:00:00,JMS,0230,Trigger,Power Gas Marketing,CPA,Class 90,2000-04-01 00:00:00,,15000,Month,2.65,,142727,,
1999-07-21 00:00:00,JMS,0254,Buy,StatOil Energy,CPA,Class 90,1999-11-01 00:00:00,2000-10-30 00:00:00,10000,Month,NX1 + $.56,,,,
1999-08-07 00:00:00,JMS,0289,Buy,StatOil Energy,CPA,Class 90,1999-11-01 00:00:00,2000-10-30 00:00:00,1500,Day,NX1 + $.54/Mcf,,,,
1999-08-02 00:00:00,JMS,0287,Buy,Questa Petroleum Company,CPA Prod,Class 90,1999-11-01 00:00:00,2000-10-31 00:00:00,,Month,$3.1571/Mcf,,,,Fixed price for all Volumes.
2000-02-16 00:00:00,JMS,ENA,Trigger,Power Gas Marketing,EOG,Pool,2000-05-01 00:00:00,2000-07-31 00:00:00,7500,Month,2.905,,141963,,
1999-06-11 00:00:00,JMS,0213,Trigger,Power Gas Marketing,EOG,Pool,2000-01-01 00:00:00,,10000,Month,3.106,,141963,,
1999-06-17 00:00:00,JMS,0228,Trigger,Power Gas Marketing,EOG,Pool,2000-02-01 00:00:00,,10000,Month,3.05,,141963,,
1999-06-17 00:00:00,JMS,0228,Trigger,Power Gas Marketing,EOG,Pool,2000-03-01 00:00:00,,10000,Month,$2.485 + .12 + LBB,,141963,,Does not include look- back basis
1999-06-17 00:00:00,JMS,0228,Trigger,Power Gas Marketing,EOG,Pool,2000-04-01 00:00:00,,10000,Month,2.64,,141963,,
2000-02-16 00:00:00,JMS,ENA,Trigger,Power Gas Marketing,EQUITRANS,,2000-05-01 00:00:00,2000-07-31 00:00:00,7500,Month,2.785,,141956,,
