RED represents EPMI short positions.,,,,,,,,
,,,,,PJM,,,
Sum of Net Volume,product_cd,,,,,,,
Month,POW-CINERGY,POW-Entergy,POW-MID-COL,POW-NP15,POW-WESTERN,POW-WSCC-N,POW-WSCC-S,Grand Total
2001-10-01 00:00:00,136000,13600,-33475,8000,68000,37125,0,229250
2001-11-01 00:00:00,168000,16800,-44000,10000,84000,50000,0,284800
2001-12-01 00:00:00,160000,16000,-45800,10000,80000,53000,0,273200
2002-01-01 00:00:00,0,,-20800,,17600,67800,,64600
2002-02-01 00:00:00,0,,-19200,,16000,60000,,56800
2002-03-01 00:00:00,50400,,-20800,,0,67800,,97400
2002-04-01 00:00:00,52800,,-20800,,0,63425,,95425
2002-05-01 00:00:00,0,,-20800,,-17600,67800,,29400
2002-06-01 00:00:00,48000,-16000,-20000,,-16000,66000,,62000
2002-07-01 00:00:00,-17600,-17600,-20800,,-17600,67800,,-5800
2002-08-01 00:00:00,-17600,-17600,-21600,,-17600,65400,,-9000
2002-09-01 00:00:00,128000,,-19200,,-16000,68400,,161200
2002-10-01 00:00:00,73600,,-21600,,0,65575,,117575
2002-11-01 00:00:00,64000,,-20000,,0,66000,,110000
2002-12-01 00:00:00,67200,,-20000,,0,70200,,117400
2003-01-01 00:00:00,,,,,,32800,,32800
2003-02-01 00:00:00,,,,,,28800,,28800
2003-03-01 00:00:00,,,,,,32800,,32800
2003-04-01 00:00:00,,,,,,30300,,30300
2003-05-01 00:00:00,,,,,,32800,,32800
2003-06-01 00:00:00,,-16800,,,,32000,,15200
2003-07-01 00:00:00,,-17600,,,,32800,,15200
2003-08-01 00:00:00,,-16800,,,,32800,,16000
2003-09-01 00:00:00,,,,,,32000,,32000
2003-10-01 00:00:00,,,,,,31300,,31300
2003-11-01 00:00:00,,,,,,33600,,33600
2003-12-01 00:00:00,,,,,,32800,,32800
2004-06-01 00:00:00,,-17600,,,,,,-17600
2004-07-01 00:00:00,,-16800,,,,,,-16800
2004-08-01 00:00:00,,-17600,,,,,,-17600
Grand Total,912800,-108000,-368875,28000,180800,1321125,0,1965850
