,,,,,,,,,,,,,
Counterparty,Internal / External,Deal Num,Pub Code,Call / Put,Period,Monthly Option Qty,Strike Price,Skew Adj Index Vol,Unit Premium,Unit Delta,Unit Basis Delta Offset,MTM Value,Delta
,,EM1452.1 Total,,,,,,,,,,-1638248.9436921442,-1978212.984305881
,,NM6058.5 Total,,,,,,,,,,611420.3675414418,785127.8183063521
,,NM6058.6 Total,,,,,,,,,,670361.2959534511,-709750.5443865265
,,NP8939.1 Total,,,,,,,,,,-620023.2448695747,1011543.7410798759
,,NS2749 Total,,,,,,,,,,55595.6767600202,504728.45942391845
,,NX4032 Total,,,,,,,,,,-352017.46875469905,-1877176.692388072
,,QF1168 Total,,,,,,,,,,31819.456418348687,52686.68746668534
,,QG7543 Total,,,,,,,,,,13376.311643033809,54912.685391237115
,,QH2326 Total,,,,,,,,,,13376.311643033809,54912.685391237115
,,QH4118 Total,,,,,,,,,,3981.7788902386055,16326.105917680288
,,QM7471.1 Total,,,,,,,,,,520478.25373007037,-473522.32019574847
,,QM7471.2 Total,,,,,,,,,,-109188.67800570332,232008.81874656217
,,QP7718 Total,,,,,,,,,,15818.019798999618,48030.807776834044
,,QS3219.1 Total,,,,,,,,,,601.7584180656088,17315.16114820147
,,QS3253.1 Total,,,,,,,,,,-210.53298793509458,-925.8933144924869
,,QS3253.2 Total,,,,,,,,,,448258.3346621707,-402369.4449566105
,,QS8092.1 Total,,,,,,,,,,2521.6893682932377,10301.712427426795
,,QU8595.1 Total,,,,,,,,,,-90839.65691310774,-808494.2837225092
,,QY1212.1 Total,,,,,,,,,,-267851.50222032896,1310732.2822884123
,,QZ5023.1 Total,,,,,,,,,,-100770.62145964596,279556.99515706964
,,QZ5114.1 Total,,,,,,,,,,-730458.8960080249,1067414.6712466117
,,V04215.1 Total,,,,,,,,,,-306106.5046843833,257579.32126957696
,,V04313.1 Total,,,,,,,,,,-730458.8960080249,1067414.6712466117
,,V04331.1 Total,,,,,,,,,,-2560864.9963978822,7532475.0571058355
,,V06558.1 Total,,,,,,,,,,644049.2127718388,-528429.0351737256
,,V16887.1 Total,,,,,,,,,,-1770924.0732353213,880604.2374897286
,,V19831.1 Total,,,,,,,,,,401.17227871040586,11543.440765467647
,,V23022.1 Total,,,,,,,,,,-221293.0342791701,323842.9897525272
,,V23038.1 Total,,,,,,,,,,-69591.09028012383,113888.92441986612
,,V27741.1 Total,,,,,,,,,,201439.63291031204,295775.9281708284
,,V31070.1 Total,,,,,,,,,,55101.46471372002,-612354.2234438369
,,V39066.2 Total,,,,,,,,,,160.46891148416233,4617.376306187059
,,V40776.1 Total,,,,,,,,,,2004750.7114371816,-447935.99472552445
,,V40792.1 Total,,,,,,,,,,40429.924464864074,76267.75551001407
,,V40792.2 Total,,,,,,,,,,-6932671.734090542,3435482.485815054
,,V43248.1 Total,,,,,,,,,,6251646.184133103,-896696.2180544293
,,V45948.1 Total,,,,,,,,,,66000.80960971121,124552.76942158464
,,V45948.2 Total,,,,,,,,,,-11399751.511411116,5648723.469397479
,,V46022.1 Total,,,,,,,,,,142017.55763496866,235907.8433753699
,,V50512.1 Total,,,,,,,,,,-247889.80922717584,693545.9705425377
,,V53625.1 Total,,,,,,,,,,-2618.9563863795847,-65197.250597235616
,,V53625.2 Total,,,,,,,,,,91790.00512887817,-1018999.8759039845
,,V53655.1 Total,,,,,,,,,,52.17275097641496,234.12535297952422
,,V53667.1 Total,,,,,,,,,,2043.6009606274542,37876.24952474828
,,V53692.1 Total,,,,,,,,,,-2032770.6759267724,1729270.7901762328
,,V54300.1 Total,,,,,,,,,,-8598.254434114859,-18975.646995989402
,,V56856.1 Total,,,,,,,,,,-2444972.506271982,3567761.8845683327
,,V64800.1 Total,,,,,,,,,,74253.6045798849,653210.1904894967
,,V64810.1 Total,,,,,,,,,,391176.1445259567,-5064228.19098905
,,V64822.1 Total,,,,,,,,,,-4258.555470393483,-11393.837967297643
,,V64826.1 Total,,,,,,,,,,2098.232147964136,4792.8987341500315
,,V73835.1 Total,,,,,,,,,,-4258.555470393483,-11393.837967297643
,,V73859.1 Total,,,,,,,,,,-4258.555470393483,-11393.837967297643
,,V73859.2 Total,,,,,,,,,,2098.232147964136,4792.8987341500315
,,V73890.1 Total,,,,,,,,,,93560.49427287639,-724185.2347562953
,,V76634.1 Total,,,,,,,,,,711915.5127666872,4890690.892772703
,,V76678.1 Total,,,,,,,,,,1646990.485478871,-15255274.112788558
,,V78156.1 Total,,,,,,,,,,23.292646945968567,90.63208147095604
,,V78163.1 Total,,,,,,,,,,54.34950954059332,211.47485676556408
,,V78165.1 Total,,,,,,,,,,-77.64215648656189,-302.10693823652014
,,V81056.1 Total,,,,,,,,,,840125.8383048793,5681398.406010009
,,V81085.1 Total,,,,,,,,,,1769364.726017123,-16997685.311990254
,,V81090.1 Total,,,,,,,,,,-100932.61975321747,283810.8227248939
,,V89557.1 Total,,,,,,,,,,32.92228382425699,139.28550494739102
,,V89569.1 Total,,,,,,,,,,32.92228382425699,139.28550494739102
,,V89580.1 Total,,,,,,,,,,-65.84456764851399,-278.57100989478204
,,V89596.1 Total,,,,,,,,,,-32.92228382425699,-139.28550494739102
,,V89625.1 Total,,,,,,,,,,-22369.712668561377,-175325.40854563125
