POSITIVE VARIANCE = LONG POSITION,POSITIVE VARIANCE = LONG POSITION,POSITIVE VARIANCE = LONG POSITION,,,,,,,,,,,,,,,,,,,
NEGATIVE VARIANCE = SHORT POSITION,NEGATIVE VARIANCE = SHORT POSITION,NEGATIVE VARIANCE = SHORT POSITION,,,,,,,,,,,,,,,,,,,
NP15,2001-09-19 00:00:00,Flow Day,,,,,SP15,2001-09-19 00:00:00,Flow Day,,,,,,,ZP26,2001-09-19 00:00:00,Flow Day,,,
Fixed Peak Long,24.66,Fixed Off Peak Long,20.19,,,,Fixed Peak Long,24.55,,,Fixed Off Peak Long,16.83,,,,Fixed Peak Long,24.55,,Fixed Off Peak Long,16.83,
Fixed Peak Short Pos,28.66,Fixed Off Peak Short,24.19,,,,Fixed Peak Short,28.55,,,Fixed Off Peak Short,20.83,,,,Fixed Peak Short,28.55,,Fixed Off Peak Short,20.83,
Index Peak,,Index Off Peak,,,,,Index Peak,,,,Index Off Peak,,,,,Index Peak,,,Index Off Peak,,
HE,Fixed ,Transmission from SP,Other EnPower,Load,var,,HE,Fixed,Transmission to NP/ZP,Other Deals,Other EnPower,Load,var,,,HE,Fixed,Transmission from SP,Other EnPower,Load,var
1,413,-79.09,217,-550.91,0,,1,199,56.32,-9,239,-367.91,117.40999999999997,,,1,0,22.77,0,-22.77,0
2,413,-91.91,217,-538.09,0,,2,199,69.68,-9,239,-356.94,141.74,,,2,0,22.23,0,-22.23,0
3,413,-103.61,217,-526.39,0,,3,199,81.86,-9,239,-351.76,159.10000000000002,,,3,0,21.75,0,-21.75,0
4,413,-103.11,217,-526.89,0,,4,199,81.34,-9,239,-348.92,161.42000000000002,,,4,0,21.77,0,-21.77,0
5,413,-83.25,217,-546.75,0,,5,199,60.69,-9,239,-362.5,127.19,,,5,0,22.56,0,-22.56,0
6,413,-38.92999999999995,217,-591.07,0,,6,199,14.54,-9,239,-390.96,52.579999999999984,,,6,0,24.39,0,-24.39,0
7,210,-111.69,545,-643.31,0,,7,-124,85.12,-9,659,-432.89,178.23000000000002,,,7,0,26.57,0,-26.57,0
8,210,-68.82000000000005,545,-686.18,0,,8,-124,40.47,-9,659,-463.33,103.14000000000004,,,8,0,28.35,0,-28.35,0
9,210,-32.61,545,-722.39,0,,9,-124,2.7500000000000284,-9,659.94,-497.47,32.22000000000003,,,9,0,29.86,0,-29.86,0
10,210,2.0299999999999727,545,-757.03,0,,10,-124,-33.32,-9,659.94,-517.25,-23.62999999999994,,,10,0,31.29,0,-31.29,0
11,210,18.74,545,-773.74,0,,11,-124,-50.74,-9,659.94,-527.92,-51.719999999999914,,,11,0,32,0,-32,0
12,210,26.9,545,-781.9,0,,12,-124,-59.26,-9,659.94,-547.13,-79.44999999999993,,,12,0,32.36,0,-32.36,0
13,210,45.39,545,-800.39,0,,13,-124,-78.49,-9,659.94,-554.88,-106.42999999999995,,,13,0,33.1,0,-33.1,0
14,210,53.05,545,-808.05,0,,14,-124,-86.48,-9,659.94,-554.64,-114.17999999999995,,,14,0,33.43,0,-33.43,0
15,210,45.29,545,-800.29,0,,15,-124,-78.42,-9,659.94,-553.13,-104.60999999999996,,,15,0,33.13,0,-33.13,0
16,210,33.21,545,-788.21,0,,16,-124,-65.88000000000005,-9,659.94,-545.19,-84.13000000000005,,,16,0,32.67,0,-32.67,0
17,210,17.83,545,-772.83,0,,17,-124,-49.86,-9,659.94,-532.96,-55.879999999999995,,,17,0,32.03,0,-32.03,0
18,210,-5.519999999999982,545,-749.48,0,,18,-124,-25.54,-9,659,-521.72,-21.25999999999999,,,18,0,31.06,0,-31.06,0
19,210,-30.4,545,-724.6,0,,19,-124,0.4000000000000057,-9,659,-505.8,20.599999999999966,,,19,0,30,0,-30,0
20,210,-65.34,545,-689.66,0,,20,-124,36.76,-9,659,-494.59,68.17000000000002,,,20,0,28.58,0,-28.58,0
21,210,-75.6,545,-679.4,0,,21,-124,47.45,-9,659,-478.62,94.83000000000004,,,21,0,28.15,0,-28.15,0
22,210,-105.58,545,-649.42,0,,22,-124,78.67,-9,659,-454.33,150.33999999999997,,,22,0,26.91,0,-26.91,0
23,413,-15.58,217,-614.42,0,,23,199,-9.849999999999966,-9,239,-420.95,-1.7999999999999545,,,23,0,25.43,0,-25.43,0
24,413,-50.67999999999995,217,-579.32,0,,24,199,26.70999999999995,-9,239,-379.74,75.96999999999991,,,24,0,23.97,0,-23.97,0
,6664,-819.2800000000002,10456,-16300.719999999996,0,,,,,,,,,,,,0,674.3599999999999,0,-674.3599999999999,0
