Date,2002-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brokerage house,Prebon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broker ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOM,2002-02-01 00:00:00,2002-03-01 00:00:00,Q1-02,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,Q2-02,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,Q3-02,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Q4-02,,Q1-03,Q2-03,Q3-03,40,Cal-03,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15
ON PEAK,Mid Columbia,22.5,20,18,,,,,17,,,,32,,,,26.5,,,,,,27.5,29,30.5,32.5,33.55,34.05,34.55,35,35.4,35.8,36.15,36.5,36.85
,COB,24,21.8,19.5,,,,,19.75,,,,35.75,,,,27.5,, , , , ,30.5,31.5,32.5,34.5,35.55,36.05,36.55,37,37.4,37.8,38.15,38.5,38.65
,NP15,26.75,25,24,,,,,22.5,,,,40.75,,,,31,,,,,,33.5,34,35,36.5,37.5,38.5,39.15,39.65,40.15,40.65,41.05,41.45,41.9
,SP15,26.25,24.8,24.5,,,,,26.5,,,,41,,,,30,,,,,,33.5,34,35,36.5,37.5,38.65,39.45,39.95,40.45,40.9,41.4,41.85,42.25
,Palo Verde,25.75,24.5,23.75,,,,,26.75,,,,42.4,,,,28,,,,,,31.75,32.5,33.5,34.75,35.75,36.75,37.45,37.95,38.45,38.9,39.4,39.85,40.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFF PEAK,Mid Columbia,,,,,,,,11,,,,24.5,,,,22,,,,,,20,21,22,23,23.35,23.7,24,24.3,24.6,24.85,25.1,25.3,25.5
,COB,,,,,,,,12.5,,,,25.75,,,,23,, ,,,,21,21.95,23,23.75,24.1,24.35,24.75,25,25.3,25.45,25.5,25.8,25.55
,NP15,,,,,,,,20,,,,26.25,,,,23.5,,,,,,21.75,22.75,23,23.5,23.75,24,24.2,24.4,24.6,24.75,24.85,24.95,25
,SP15,,,,,,,,20.5,,,,26,,,,23.5,,,,,,21.75,22.75,23,23.5,23.75,24,24.2,24.4,24.6,24.75,24.85,24.95,25
,Palo Verde,,,,,,,,19.5,,,,24.5,,,,22,,,,,,20.25,21.25,21.5,21.75,22,22.35,22.5,22.75,23,23.25,23.5,23.75,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
