Application,EXE,User Group,User Group,User Group,User Group,User Group,User Group,User Group,User Group,User Group,User Group
Application,EXE,Risk,Risk,Scheduling,Scheduling,Settlements,Settlements,Credit,Credit,Trading,Trading
Application,EXE,Read Only,Read-Write,Read Only,Read-Write,Read Only,Read-Write,Read Only,Read-Write,Read Only,Read-Write
Adhoc,padhoc.exe,,,,,,,,,,
Real Time,realtime.exe,,,,x,,,,,,
Deal Entry,pdeal.exe,,,,x,,,,,,
Deal Scheduling,pdealsch.exe,,,,,,,,,,
Curve Manager,curposclt.exe,,,,,,,,,,
Option Exercise,optionexercise.exe,,,,x,,,,,,
PortCalc,portcalc.exe,,,,,,,,,,
Deal Blotter,dealblotter.exe,,,,x,,,,,,
Deal Ticker,dealticker.exe,,,,x,,,,,,
Consolidated Position Manager,pmclient.exe,,,,x,,,,,,
Pre-Schedule Workspace,preschedws.exe,,,,x,,,,,,
Path Confirmation,pathconfirm.exe,,,,x,,,,,,
Report Writer,rwreportdesigner.exe,,,,,,,,,,
Reports / Report Launcher,rplaunch.exe,,,,x,,,,,,
Table Edit,tabledit.exe,,,,x,,,,,,
Publication Posting,pubpostm.exe,,,,,,,,,,
Audit Viewer,enauditor.exe,,,,x,,,,,,
Auto Scheduler,autoschd.exe,,,,x,,,,,,
Batch Price Change,chgprice.exe,,,,,,,,,,
Contract Assignment,contas.exe,,,,,,,,,,
Deal Data Upload,dealvolupload.exe,,,,,,,,,,
Refresh Global,refreshglobal.exe,,,,,,,,,,
Schedule Extraction,schedextraction.exe,,,,,,,,,,
Table Lookup,tablelookup.exe,,,,,,,,,,
Transmission Reconciliation,entrans.exe,,,,,,,,,,
EOL Administration,eoladmin.exe,,,,,,,,,,
NEISO Price Download,nepricedownload.exe,,,,,,,,,,
NYISO Price Download,nyisopricednld.exe,,,,,,,,,,
PJM eSchedule Download,pjmdownload.exe,,,,,,,,,,
PJM Price Download,pjmpricednld.exe,,,,,,,,,,
Amerex Crawler,amerexcrawler.exe,,,,,,,,,,
NEPOOL File Download,nepooldownload.exe,,,,,,,,,,
,,,,,,,,,,,
FSP Scheduling Admin,FSPAdmin.exe,,,,,,,,,,
FSP Schedulule Blotter,ScheduleBlotter.exe,,,,,,,,,,
FSP Schedule Crawler,schedcrawler.exe,,,,,,,,,,
FSP Schedule Cuts,FSPCutVolumes.exe,,,,,,,,,,
FSP PMI Admin,dpPMIAdminClient.exe,,,,,,,,,,
FSP PMI Crawler,PMICrawler.exe,,,,,,,,,,
FSP Position Manager,FSPPosMgr.exe,,,,,,,,,,
FSP Load Forecast,dpLoadForecast.exe,,,,,,,,,,
Webschedule Admin,ScheduleCaptureAdmin.exe,,,,,,,,,,
Control Panel,FSPControlPanel.exe,,,,,,,,,,
