Counterparty,Region,Buy/Sell,Week beginning 12/24/01,Week beginning 12/24/01,Week beginning 12/24/01,,Week beginning 12/24/01,Week beginning 12/24/01,Week beginning 12/24/01,,Week beginning 12/30/01,Week beginning 12/30/01,Week beginning 12/30/01,,Week beginning 12/30/01,Week beginning 12/30/01,Week beginning 12/30/01
,, ,Peak Position,Avg Fixed Price,Fill Price,,Off Peak Position,Avg Fixed Price,Fill Price,,Peak Position,Avg Fixed Price,Fill Price,,Off Peak Position,Avg Fixed Price,Fill Price
,,,,,,,,,,,,,,,,,
BECO,NEPOOL,Sell,-4800,68,,,,,,,,,,,,,
CARGILLALLLLC,CINERGY,Buy,48000,27.18,,,,,,,14400,28.38,,,,,
CARGILLALLLLC,CINERGY,Sell,-91200,28.6,,,,,,,-26400,32.86,,,,,
CARGILLALLLLC,Entergy,Buy,24000,31.38,,,,,,,,,,,,,
CARGILLALLLLC,Entergy,Sell,-33600,34.53,,,-8400,19.21,,,,,,,,,
CARGILLALLLLC,Ercot South,Buy,33600,33.46,,,,,,,,,,,,,
CARGILLALLLLC,Ercot South,Sell,-9600,38.88,,,,,,,,,,,,,
CARGILLALLLLC,INTO COMED,Buy,14400,34.08,,,,,,,9600,33.75,,,,,
CARGILLALLLLC,INTO COMED,Sell,-9600,32.98,,,,,,,-9600,23.3,,,,,
CARGILLALLLLC,INTO TVA,Buy,19200,25.08,,,,,,,,,,,,,
CARGILLALLLLC,INTO TVA,Sell,-9600,22.15,,,,,,,,,,,,,
CARGILLALLLLC,SOCO,Buy, ,,,,8400,22.1,,,,,,,,,
CARGILLALLLLC,WESTERN HUB,Buy,14400,34.39,,,,,,,,,,,,,
CARGILLALLLLC,WESTERN HUB,Sell,-14400,29.58,,,,,,,,,,,,,
CAROLINA,CINERGY,Buy,9600,24.5,,,,,,,4800,29.13,,,,,
CAROLINA,CINERGY,Sell,-24000,33.36,,,,,,,-4800,30.38,,,,,
CAROLINA,Entergy,Sell,-14400,26.43,,,,,,,,,,,,,
CAROLINA,INTO TVA,Buy,14400,26.68,,,,,,,,,,,,,
CAROLINA,INTO TVA,Sell,-4800,26.15,,,,,,,,,,,,,
CAROLINA,WESTERN HUB,Buy,14400,29.62,,,,,,,7200,29.6,,,,,
CAROLINA,WESTERN HUB,Sell,-4800,29.75,,,,,,,-7200,33.7,,,,,
CENTRALMAINPOW,10 MIN NONSPIN,Sell,-1415,0,,,-1602,0,,,-642,0,,,-690,0,
CENTRALMAINPOW,10 MIN SPIN,Sell,-1391,0,,,-1579,0,,,-635,0,,,-680,0,
CENTRALMAINPOW,30 MIN OP RESV,Sell,-1137,0,,,-1301,0,,,-518,0,,,-559,0,
CENTRALMAINPOW,AGC,Sell,-957,0,,,-1130,0,,,-509,0,,,-516,0,
CENTRALMAINPOW,NEPOOL,Sell,-68113,71.68,,,-100488.44,71.68,,,-34770.78,77.8,,,-43911.72,77.8,
FIRSTENESOL,CINERGY,Buy,4800,41.75,,,,,,,4800,46.25,,,,,
FIRSTENESOL,CINERGY,Sell,-9600,42.25,,,,,,,-2400,45,,,,,
FIRSTENESOL,WESTERN HUB,Buy,14400,30.21,,,,,,,4800,40,,,,,
FIRSTENESOL,WESTERN HUB,Sell,-4800,38.75,,,,,,,,,,,,,
GENSYSENE,INTO COMED,Buy,4800,21.25,,,,,,,,,,,,,
GENSYSENE,INTO COMED,Sell,-19200,28.21,,,,,,,,,,,,,
GPUSERJER,WESTERN HUB,Sell,,,,,-16800,20.5,,,-4800,48.5,,,,,
GPUSERMET,WESTERN HUB,Sell,-4800,40.75,,,-16800,21.1,,,-4800,48.75,,,,,
HQENESER1,NEPOOL,Buy,45600,53.28,,,71400,38.5,,,38400,44.67,,,10800,30.82,
HQENESER1,NEPOOL,Sell,-108000,57.18,,,-54600,42.1,,,-28800,45.89,,,-10800,40.13,
HQENESER1,WESTERN HUB,Buy,9600,30.68,,,,,,,4800,37.55,,,,,
HQENESER1,WESTERN HUB,Sell,-9600,43.23,,,,,,,-4800,39.98,,,,,
LGEENEMAR,CINERGY,Buy,4800,22.2,,,,,,,,,,,,,
LGEENEMAR,CINERGY,Sell,-14400,35.08,,,,,,,-9600,34.92,,,,,
LGEENEMAR,INTO TVA,Sell,,,,,,,,,-2400,32,,,,,
LGEENEMAR,SOCO,Sell, , ,,,-13200,22.25,,,,,,,,,
NSTARELE,10 MIN NONSPIN,Sell,-386,0,,,-667,0,,,-216,0,,,-275,0,
NSTARELE,10 MIN SPIN,Sell,-386,0,,,-667,0,,,-216,0,,,-275,0,
NSTARELE,30 MIN OP RESV,Sell,-386,0,,,-667,0,,,-216,0,,,-275,0,
NSTARELE,AGC,Sell,-386,0,,,-667,0,,,-216,0,,,-275,0,
NSTARELE,NEPOOL,Sell,-19911,71.36,,,-34633,71.36,,,-10801,77.2,,,-15363,77.2,
SELECTENE,10 MIN SPIN,Buy,2400,0,,,4200,0,,,, ,,,, ,
