Internal Party,External,Deal #,Comm,start,End,Contract,Sitara,
ENA Upstream Company LLC,"Aspect Resources, LLC",QN4498.5,NG,2001-02-01 00:00:00,2001-12-31 00:00:00,None 96058230,703565,OK
ENA Upstream Company LLC,"Aspect Resources, LLC",QN4498.6,NG,2001-02-01 00:00:00,2001-12-31 00:00:00,None 96058230,740442,OK
ENA Upstream Company LLC,"Aspect Resources, LLC",QN4498.B,NG,2001-06-01 00:00:00,2001-12-31 00:00:00,None 96058230,740442,OK
ENA Upstream Company LLC,"Aspect Resources, LLC",QN4498.C,NG,2001-06-01 00:00:00,2001-12-31 00:00:00,None 96058230,703565,OK
ENA Upstream Company LLC,Cabot Oil & Gas Marketing Corporation,YL8217.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96094628,1186210,OK
ENA Upstream Company LLC,"Camerick Gas Processing Company, L.L.C.",VX2846.1,NG,2001-09-01 00:00:00,2002-02-28 00:00:00,None 96070267,995524,OK
ENA Upstream Company LLC,"Crosstex Energy Services, Ltd.",YL8746.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96094497,1186447,OK
ENA Upstream Company LLC,Dynegy Marketing and Trade,YL8800.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96059532,1186491,OK
ENA Upstream Company LLC,Dynegy Marketing and Trade,YL8802.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96059532,1186476,OK
ENA Upstream Company LLC,"ExxonMobil Gas Marketing Company, a division of Exxon Mobil Corporation",YD7167.1,NG,2001-12-01 00:00:00,2002-03-31 00:00:00,None 96084749,1131512,OK
ENA Upstream Company LLC,Hall-Houston Oil Company,YL8792.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96062549,1186320,OK
ENA Upstream Company LLC,Hall-Houston Oil Company,YL8799.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96062549,1186317,OK
ENA Upstream Company LLC,Hunt Petroleum Corporation,Y88533.1,NG,2001-11-01 00:00:00,2002-03-31 00:00:00,None 96058224,1093915,OK
ENA Upstream Company LLC,Juniper Energy L.P.,YL2132.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96058308,1182514,OK
ENA Upstream Company LLC,Juniper Energy L.P.,YL2271.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96058308,1182522,OK
ENA Upstream Company LLC,Juniper Energy L.P.,YL2371.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96058308,1182502,OK
ENA Upstream Company LLC,"KCS Medallion Resources, Inc.",YL0922.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96093771,1181079,OK
ENA Upstream Company LLC,"KCS Medallion Resources, Inc.",YL1017.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96058215,1181412,OK
ENA Upstream Company LLC,"Key Production Company, Inc.",QT6158.2,NG,2001-10-01 00:00:00,2002-03-31 00:00:00,None 96066333,1002867,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.P,NG,2001-06-01 00:00:00,2006-01-31 00:00:00,None 96062548,880892,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.Q,NG,2001-06-01 00:00:00,2006-01-31 00:00:00,None 96062548,881026,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.R,NG,2001-06-01 00:00:00,2003-01-31 00:00:00,None 96062550,881144,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.S,NG,2001-06-01 00:00:00,2006-01-31 00:00:00,None 96062548,881199,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.T,NG,2001-06-01 00:00:00,2003-01-31 00:00:00,None 96062548,881497,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.U,NG,2001-06-01 00:00:00,2002-07-31 00:00:00,None 96062558,881522,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.V,NG,2001-06-01 00:00:00,2002-07-31 00:00:00,None 96062576,881583,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.W,NG,2001-06-01 00:00:00,2006-01-31 00:00:00,None 96062590,881642,OK
ENA Upstream Company LLC,KStar VPP LP,QT6431.X,NG,2001-06-01 00:00:00,2006-01-31 00:00:00,None 96062548,881710,OK
ENA Upstream Company LLC,Q-West Energy Company,YL8791.1,NG,2001-12-01 00:00:00,2001-12-31 00:00:00,None 96094719,1186411,OK
ENA Upstream Company LLC,"Sequent Energy Management, L.P.",Y39528.1,NG,2001-11-01 00:00:00,2002-03-31 00:00:00,None 96070383,1049618,OK
ENA Upstream Company LLC,"Sequent Energy Management, L.P.",Y89339.1,NG,2001-11-01 00:00:00,2002-03-31 00:00:00,None 96081011,1095181,OK
ENA Upstream Company LLC,"St. Mary's Production, LLC",QH6036.7,NG,2001-04-01 00:00:00,2003-06-30 00:00:00,None 96058239,703610,OK
ENA Upstream Company LLC,Stevens Oil and Gas,VL3154.1,NG,2001-07-01 00:00:00,2002-05-31 00:00:00,None 96062731,892828,OK
ENA Upstream Company LLC,Stevens Oil and Gas,VL3154.2,NG,2001-07-01 00:00:00,2002-05-31 00:00:00,None 96062731,892828,OK
ENA Upstream Company LLC,"Texoma Trading, LLC",VX2887.1,NG,2001-09-01 00:00:00,2001-12-31 00:00:00,None 96069104,995584,OK
ENA Upstream Company LLC,"Texoma Trading, LLC",VX2887.2,NG,2002-01-01 00:00:00,2002-02-28 00:00:00,None 96069104,995584,OK
ENA Upstream Company LLC,"TotalFinaElf Gas & Power North America, Inc.",V53514.1,NG,2001-05-01 00:00:00,2002-04-30 00:00:00,None 96058782,749606,OK
ENA Upstream Company LLC,"U.S. Department of the Interior, Minerals Management Service",YA2374.1,NG,2001-11-01 00:00:00,2002-03-31 00:00:00,None 96081829,1103008,OK
ENA Upstream Company LLC,"U.S. Department of the Interior, Minerals Management Service",YA2489.1,NG,2001-11-01 00:00:00,2002-03-31 00:00:00,None 96081829,1103884,OK
ENA Upstream Company LLC,"U.S. Department of the Interior, Minerals Management Service",YA3129.1,NG,2001-11-01 00:00:00,2002-03-31 00:00:00,None 96081829,1103914,OK
ENA Upstream Company LLC,"Wilmar Pipelines, Inc.",YD7317.1,NG,2001-11-01 00:00:00,2002-03-31 00:00:00,None 96084338,1130915,OK
