Product,0-3**,3-6,6-12,12-24,24-60,60-120,120+,TOTAL
Basis*,,,,,,,,
FRA,,,,,,,,
IRS- Plain Vanilla,,,,,,,,
OIS,,,,,,,,
VNS,,,,,,,,
Zero Coupon,,,,,,,,
TOTAL,N/A***,,,,,,,
"Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. ","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and tenor (millions of USD), cleared swaps only, all participant types and tenors. "
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.,**See Explanatory Notes for tenor bucket descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
