ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Daniel,Antonioli,ITA,1,00:15:01,00:00:00,00:28:45,00:00:00,00:17:46,1,01:01:31
Jon,Erguin,ESP,6,00:15:47,00:00:00,00:27:58,00:00:00,00:18:02,2,01:01:50
Alberto,Comazzi,ITA,3,00:15:48,00:00:00,00:27:58,00:00:00,00:18:04,3,01:01:52
Florian,Holzinger,GER,0,00:14:59,00:00:00,00:28:26,00:00:00,00:18:56,4,01:02:22
Kristian,Monsen,NOR,2,00:14:52,00:00:00,00:28:47,00:00:00,00:18:45,5,01:02:25
René,Hördemann,GER,0,00:15:20,00:00:00,00:28:32,00:00:00,00:19:02,6,01:02:55
Sebastian,Neef,GER,0,00:15:17,00:00:00,00:28:33,00:00:00,00:19:12,7,01:03:02
Michael,Göhner,GER,0,00:15:29,00:00:00,00:28:22,00:00:00,00:19:19,8,01:03:11
Christopher,Hettich,GER,0,00:14:40,00:00:00,00:29:06,00:00:00,00:19:40,9,01:03:28
Julian,Erhardt,GER,0,00:15:17,00:00:00,00:28:37,00:00:00,00:20:46,10,01:04:42
Valentin,Krehl,GER,0,00:15:44,00:00:00,00:30:18,00:00:00,00:18:45,11,01:04:48
Marcus,Enders,GER,0,00:16:14,00:00:00,00:30:28,00:00:00,00:18:05,12,01:04:49
Frank,Horlacher,GER,0,00:16:01,00:00:00,00:30:01,00:00:00,00:19:40,13,01:05:44
Michael,Ager,GER,0,00:15:27,00:00:00,00:30:36,00:00:00,00:20:26,14,01:06:28
Beck,Henry,GER,0,00:16:19,00:00:00,00:29:52,00:00:00,00:20:59,15,01:07:11
Thomas,Meusburger,AUT,0,00:16:34,00:00:00,00:31:02,00:00:00,00:20:01,16,01:07:38
Jan,Bruns,GER,0,00:16:06,00:00:00,00:29:59,00:00:00,00:21:51,17,01:07:57
Toblas,Rieseweber,GER,0,00:16:43,00:00:00,00:32:01,00:00:00,00:19:34,18,01:08:18
Luca,Alladio,GER,0,00:17:13,00:00:00,00:30:57,00:00:00,00:20:20,19,01:08:31
Martin,Braxmair,GER,0,00:17:36,00:00:00,00:31:48,00:00:00,00:20:06,20,01:09:32
Fabian ,Göggel,GER,0,00:16:38,00:00:00,00:30:59,00:00:00,00:22:02,21,01:09:40
Peter,Stroehle,GER,0,00:16:13,00:00:00,00:32:21,00:00:00,00:22:16,22,01:10:51
Jens,Lehnen,GER,0,00:17:04,00:00:00,00:32:39,00:00:00,00:21:31,23,01:11:15
Philipp,Keller,GER,0,00:16:38,00:00:00,00:31:41,00:00:00,00:22:59,24,01:11:19
Andreas,Burkhardt,GER,0,00:16:52,00:00:00,00:32:50,00:00:00,00:21:53,25,01:11:36
Michael,Gschwendner,GER,0,00:16:52,00:00:00,00:34:36,00:00:00,00:21:18,26,01:12:45
Karl-Heinz,Rasch,GER,0,00:17:55,00:00:00,00:33:50,00:00:00,00:21:09,27,01:12:54
Frank,Proksch,GER,0,00:16:54,00:00:00,00:31:46,00:00:00,00:24:50,28,01:13:30
Matthias,Bode,GER,0,00:16:54,00:00:00,00:34:02,00:00:00,00:22:44,29,01:13:43
Christoph,Groß,GER,0,00:16:40,00:00:00,00:32:06,00:00:00,00:25:13,30,01:14:01
Wolfgang,Leonhard,GER,0,00:17:42,00:00:00,00:34:24,00:00:00,00:21:55,31,01:14:01
