 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,1,Peoria,1,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-13,8,Peoria,2,Abbotsford,6,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-17,29,Peoria,1,Chicago,2,Final OT ,"Allstate Arena Rosemont, IL"
2012-10-19,39,Rockford,1,Peoria,2,Final ,"Carver Arena Peoria, IL"
2012-10-26,78,Chicago,1,Peoria,4,Final ,"Carver Arena Peoria, IL"
2012-10-27,90,Charlotte,4,Peoria,0,Final ,"Carver Arena Peoria, IL"
2012-10-28,100,Charlotte,6,Peoria,0,Final ,"Carver Arena Peoria, IL"
2012-11-01,108,Lake Erie,4,Peoria,3,Final SO ,"Carver Arena Peoria, IL"
2012-11-03,127,Milwaukee,3,Peoria,0,Final *,"Carver Arena Peoria, IL"
2012-11-08,144,Peoria,4,Charlotte,5,Final OT ,"Time Warner Cable Arena Charlotte, NC"
2012-11-09,148,Peoria,2,Charlotte,4,Final ,"Time Warner Cable Arena Charlotte, NC"
2012-11-10,165,Grand Rapids,5,Peoria,3,Final ,"Carver Arena Peoria, IL"
2012-11-14,185,Peoria,5,Rockford,4,Final ,"BMO Harris Bank Center Rockford, IL"
2012-11-16,194,Chicago,2,Peoria,3,Final OT ,"Carver Arena Peoria, IL"
2012-11-17,204,Peoria,3,Chicago,2,Final ,"Allstate Arena Rosemont, IL"
2012-11-21,225,Peoria,4,Rockford,5,Final ,"BMO Harris Bank Center Rockford, IL"
2012-11-23,234,Milwaukee,4,Peoria,5,Final SO ,"Carver Arena Peoria, IL"
2012-11-24,247,Grand Rapids,4,Peoria,1,Final ,"Carver Arena Peoria, IL"
2012-12-01,287,Peoria,1,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2012-12-02,301,Texas,4,Peoria,3,Final SO ,"Carver Arena Peoria, IL"
2012-12-05,307,Peoria,2,Grand Rapids,1,Final ,"Van Andel Arena Grand Rapids, MI"
2012-12-08,329,Peoria,1,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2012-12-09,337,Peoria,3,Houston,2,Final ,"Toyota Center Houston, TX"
2012-12-11,345,Peoria,4,Oklahoma City,2,Final ,"Cox Convention Center Oklahoma City, OK"
2012-12-14,359,Peoria,3,Grand Rapids,0,Final ,"Van Andel Arena Grand Rapids, MI"
2012-12-15,375,Milwaukee,1,Peoria,3,Final ,"Carver Arena Peoria, IL"
2012-12-18,387,Hamilton,3,Peoria,4,Final SO ,"Carver Arena Peoria, IL"
2012-12-20,398,Peoria,5,Charlotte,4,Final SO ,"Time Warner Cable Arena Charlotte, NC"
2012-12-21,400,Peoria,1,Charlotte,2,Final ,"Time Warner Cable Arena Charlotte, NC"
2012-12-27,432,Peoria,1,Milwaukee,2,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-12-28,443,Peoria,1,Milwaukee,4,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-12-31,470,Abbotsford,1,Peoria,2,Final SO ,"Carver Arena Peoria, IL"
2013-01-04,487,Peoria,0,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2013-01-05,501,Peoria,2,Texas,5,Final ,"Cedar Park Center Cedar Park, TX"
2013-01-06,511,Peoria,2,San Antonio,5,Final ,"AT&T Center San Antonio, TX"
2013-01-11,524,Milwaukee,2,Peoria,5,Final ,"Carver Arena Peoria, IL"
2013-01-12,538,Peoria,3,Grand Rapids,2,Final OT ,"Van Andel Arena Grand Rapids, MI"
2013-01-13,551,Peoria,3,Milwaukee,2,Final SO ,"BMO Harris Bradley Center Milwaukee, WI"
2013-01-18,573,Peoria,1,Rockford,3,Final ,"BMO Harris Bank Center Rockford, IL"
2013-01-19,583,Texas,8,Peoria,4,Final *,"Carver Arena Peoria, IL"
2013-01-20,595,Houston,2,Peoria,6,Final ,"Carver Arena Peoria, IL"
2013-01-23,605,Chicago,0,Peoria,2,Final ,"Carver Arena Peoria, IL"
2013-01-26,628,Milwaukee,3,Peoria,2,Final OT ,"Carver Arena Peoria, IL"
2013-02-02,653,Peoria,5,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-02-05,667,Peoria,3,Chicago,4,Final OT ,"Allstate Arena Rosemont, IL"
