" NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Optional Activities"
580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County
,,,,,,,,,,
Total RttT Funding Allotted (over four years):,,770239,770239,,,Total RttT Funding Budgeted for Optional Activities:,0,0,,
,,,,,,,,,,
NC RttT Initiative (Section),"Optional RttT Activity
(""Participating LEAs/Charters may…"")",Aligned with...,Aligned with...,Plan/Timeline for Implementation,Key Personnel,"Performance 
Measure 
(Target)",Budget,Fund Source,Fiscal Year,R/N?
NC RttT Initiative (Section),"Optional RttT Activity
(""Participating LEAs/Charters may…"")","LEA/Charter
Goal","DSSF Plan
Strategy",Plan/Timeline for Implementation,Key Personnel,"Performance 
Measure 
(Target)",Budget,Fund Source,Fiscal Year,R/N?
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Total Budget for Optional RttT Activities in 2010-11:,0,,,
,,,,,,2011-12:,0,,,
,,,,,,2012-13:,0,,,
,,,,,,2013-14:,0,,,
,,,,,,Total Budget for Optional RttT Activities:,0,,,
