LABEL,UPC,ARTIST,TITLE,RELEASEDATE,PRODUCTTYPE,GENRE,PRICE,RETURNABLE,STATUS
Atlantic-Elektra,075678683510,Switchfoot,Fading West Ep,2013-10-22,Compact Disc,Rock,0.5,N,To Be Retired
Merch,679143052230,Switchfoot,Switchfoot Heather Grey Fading West Unisex Large,2014-01-14,T-Shirt,Na,18.99,N,Available
Merch,679143052247,Switchfoot,Switchfoot Ladies Turquoise Silhou-West Ladies Medium,2014-01-14,T-Shirt,Na,18.99,N,Available
Merch,679143052254,Switchfoot,Switchfoot Ladies Turquoise Silhou-West Ladies Large,2014-01-14,T-Shirt,Na,18.99,N,Available
Merch,679143052261,Switchfoot,Switchfoot Ladies Turquoise Silhou-West Ladies Xlarge,2014-01-14,T-Shirt,Na,18.99,N,Available
Merch,679143052179,Switchfoot,Switchfoot Black Logo Hat,2014-01-14,Misc,Na,14.99,N,Available
Merch,679143052216,Switchfoot,Switchfoot Heather Grey Fading West Unisex Medium,2014-01-14,T-Shirt,Na,18.99,N,Available
Merch,679143052186,Switchfoot,Switchfoot Fading West Drumsticks,2014-01-14,Misc,Na,14.99,N,Available
Merch,679143052223,Switchfoot,Switchfoot Heather Grey Fading West Unisex Xlarge,2014-01-14,T-Shirt,Na,18.99,N,Available
Merch,679143052193,Switchfoot,"Switchfoot 18""X24"" Fading West Poster",2014-01-14,Poster,Na,4.99,N,Available
Merch,679143052162,Switchfoot,Switchfoot Name Logo Bracelet,2014-01-14,Misc,Na,4.99,N,Available
Merch,679143052209,Switchfoot,Switchfoot Fading West 5 Button Pack,2014-01-14,Misc,Na,4.99,N,Available
Atlantic-Elektra,075678683824,Switchfoot,Fading West,2014-01-14,Compact Disc,Ac,13.99,Y,Available
