ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Pavel,Andreev,RUS,2,00:20:11,00:00:29,00:28:21,00:00:37,00:29:45,1,01:19:27
Daniel,Antonioli,ITA,1,00:20:37,00:00:31,00:30:00,00:00:36,00:27:55,2,01:19:43
Andreas,Svanebo,SWE,9,00:20:36,00:00:36,00:28:48,00:00:51,00:29:28,3,01:20:21
Evgeny,Kirillov,RUS,4,00:20:37,00:00:26,00:29:27,00:00:36,00:29:55,4,01:21:04
Alberto,Comazzi,ITA,5,00:21:17,00:00:34,00:29:38,00:00:56,00:28:42,5,01:21:11
Maxim,Kuzmin,RUS,7,00:20:38,00:00:31,00:30:27,00:00:34,00:29:11,6,01:21:25
Tomas,Jurkovic,SVK,8,00:20:56,00:00:27,00:28:48,00:00:43,00:31:08,7,01:22:07
Dmitriy,Bregeda,RUS,16,00:20:38,00:00:26,00:31:34,00:00:36,00:28:57,8,01:22:13
Jon,Erguin,ESP,6,00:21:46,00:00:26,00:30:08,00:00:44,00:29:37,9,01:22:45
Kristian,Monsen,NOR,3,00:20:10,00:00:32,00:30:55,00:00:56,00:30:19,10,01:22:56
Markus,Rothberger,AUT,11,00:21:49,00:00:37,00:30:43,00:00:46,00:29:26,11,01:23:25
Silvio,Wieltschnig,AUT,15,00:20:38,00:00:43,00:32:09,00:00:46,00:29:15,12,01:23:32
Walter,Polla,ITA,12,00:21:45,00:00:31,00:32:07,00:00:44,00:29:30,13,01:24:40
Oivind,Bjerkseth,NOR,10,00:21:22,00:00:46,00:30:21,00:00:53,00:33:08,14,01:26:33
Pavel,Jindra,CZE,17,00:22:38,00:00:34,00:31:12,00:00:48,00:31:40,15,01:26:54
Antti,Kosonen,FIN,19,00:22:42,00:00:43,00:32:14,00:00:53,00:30:23,16,01:27:00
Claudio,Consagra,ITA,14,00:22:27,00:00:48,00:38:20,00:01:13,00:28:17,17,01:31:07
Joel,Jokinen,FIN,18,00:22:48,00:00:43,00:35:25,00:01:01,00:32:22,18,01:32:24
Janne,Huhtala,FIN,20,00:23:02,00:00:48,00:37:07,00:01:06,00:31:58,19,01:34:04
Juha,Laitinen,FIN,21,00:21:46,00:00:46,00:00:00,00:00:00,00:00:00,DNF,00:00:00
