ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Emilio,Martin,ESP,42,00:31:13,00:00:26,00:52:54,00:00:57,00:15:12,1,01:40:40
Antoine,Duvivier,BEL,53,00:31:04,00:00:29,00:53:02,00:00:56,00:15:15,2,01:40:43
Benoit,Nicolas,FRA,34,00:31:13,00:00:25,00:52:57,00:00:55,00:15:21,3,01:40:47
Etienne,Diemunsch,FRA,50,00:31:14,00:00:28,00:52:49,00:00:57,00:15:33,4,01:40:59
Sergio,Silva,POR,23,00:31:04,00:00:26,00:53:04,00:00:59,00:15:35,5,01:41:06
Philip,Wylie,GBR,11,00:31:28,00:00:26,00:52:42,00:01:00,00:15:39,6,01:41:12
Jeremy,Pierrat,FRA,36,00:31:12,00:00:23,00:53:04,00:00:59,00:15:41,7,01:41:17
Victor Manuel,Del Corral Morales,ESP,46,00:31:42,00:00:29,00:52:22,00:01:00,00:15:53,8,01:41:24
Sergio,Lorenzo Prieto,ESP,47,00:32:04,00:00:30,00:52:01,00:00:57,00:15:58,9,01:41:27
Yuya,Fukaura,JPN,21,00:32:04,00:00:27,00:52:02,00:00:59,00:16:06,10,01:41:36
Mark,Buckingham,GBR,22,00:31:29,00:00:27,00:52:38,00:01:05,00:16:19,11,01:41:56
Rob,Woestenborghs,BEL,1,00:32:09,00:00:27,00:51:48,00:00:59,00:16:35,12,01:41:57
Nicolas,D'Harveng,BEL,14,00:32:03,00:00:32,00:52:04,00:00:59,00:16:21,13,01:41:58
Roger,Roca Dalmau,ESP,44,00:31:14,00:00:27,00:52:54,00:09:57,00:07:46,14,01:42:16
Grégory,Rouault,USA,45,00:31:13,00:00:25,00:52:54,00:00:56,00:16:56,15,01:42:21
Morimichi,Iihoshi,JPN,55,00:31:43,00:00:33,00:52:23,00:01:02,00:16:48,16,01:42:27
Patrick,Lange,GER,20,00:32:23,00:00:27,00:53:12,00:00:19,00:16:11,17,01:42:31
Tiago,Silva,POR,27,00:32:15,00:00:27,00:52:45,00:01:00,00:16:12,18,01:42:36
Danilo,Brustolon,ITA,6,00:32:39,00:00:26,00:52:20,00:00:59,00:16:21,19,01:42:44
Tadashi,Mori,JPN,30,00:32:44,00:00:27,00:52:15,00:01:01,00:16:19,20,01:42:45
Miguel,Arraiolos,POR,33,00:32:23,00:00:26,00:52:37,00:01:06,00:16:20,21,01:42:52
Thomas,Bruins,NED,48,00:32:39,00:00:29,00:52:21,00:01:01,00:16:50,22,01:43:18
Kohei,Kawamura,JPN,43,00:32:23,00:00:26,00:52:40,00:00:58,00:16:59,23,01:43:23
Benjamin,Choquert,FRA,32,00:31:43,00:00:27,00:53:15,00:01:02,00:17:10,24,01:43:35
Maxim,Kuzmin,RUS,28,00:33:19,00:00:25,00:51:38,00:01:01,00:17:31,25,01:43:52
Dan,Hedgecock,USA,35,00:32:23,00:00:29,00:52:38,00:01:08,00:17:41,26,01:44:17
Gustavo,Rodriguez Iglesias,ESP,40,00:32:30,00:00:31,00:52:49,00:00:54,00:17:52,27,01:44:35
Travis,Johnston,RSA,12,00:32:22,00:00:25,00:54:52,00:01:00,00:17:25,28,01:46:02
Maciej,Kubiak,POL,37,00:33:06,00:00:26,00:54:05,00:01:03,00:17:43,29,01:46:22
Ramos,Herrera,MEX,2,00:33:07,00:00:32,00:54:02,00:10:03,00:08:42,30,01:46:24
Jason,Pedersen,USA,58,00:32:43,00:00:31,00:54:59,00:01:04,00:17:23,31,01:46:38
Sergi,Rodriguez Batista,ESP,9,00:33:08,00:00:29,00:55:39,00:00:57,00:16:32,32,01:46:43
Stefan,Van Thiel,NED,52,00:34:08,00:00:25,00:54:41,00:00:57,00:16:53,33,01:47:03
Ryan,Giuliano,USA,19,00:32:41,00:00:32,00:56:02,00:00:57,00:17:03,34,01:47:14
Nikolay,Sukhoruchenkov,RUS,49,00:33:47,00:00:29,00:55:00,00:01:00,00:17:02,35,01:47:16
Josh,Merrick,USA,25,00:32:44,00:00:29,00:55:02,00:01:08,00:18:36,36,01:47:56
Andrej,Medved,SLO,56,00:34:20,00:00:29,00:55:10,00:00:56,00:17:14,37,01:48:07
Ilia,Mazhukin,RUS,10,00:33:20,00:00:26,00:55:34,00:01:00,00:17:55,38,01:48:12
Christopher,Baird,USA,24,00:33:23,00:00:30,00:55:23,00:10:30,00:08:30,39,01:48:15
Bojan,Cebin,SLO,16,00:34:20,00:00:28,00:55:14,00:01:05,00:17:19,40,01:48:25
Mark,Nolan,IRL,7,00:34:20,00:00:27,00:55:13,00:01:01,00:17:29,41,01:48:28
Caimin,Stevens,NED,26,00:34:19,00:00:26,00:55:13,00:01:01,00:18:13,42,01:49:10
Silvio,Wieltschnig,AUT,59,00:34:20,00:00:31,00:55:15,00:01:13,00:18:07,43,01:49:24
Michael,Hodgson,RSA,15,00:34:10,00:00:32,00:55:24,00:01:13,00:20:35,44,01:51:51
