График за отчитане на договорните партньори МДЛ в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори МДЛ в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори МДЛ в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори МДЛ в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори МДЛ в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори МДЛ в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори МДЛ в РЗОК София град за месец юли 2014г.
,,,,,,
№,Име на практика,РЦЗ,РЗОК/Офис,Екип,"Работен ден
от месеца /или дата",Час
1,"МДЛ ""ЛОРА"" ООД",2203141504,СЗОК / 1,1,2014-07-01 00:00:00,10:00:00
2,"МДЛ ""ЦИБАЛАБ"" ЕООД",2202141508,СЗОК / 1,1,2014-07-01 00:00:00,10:45:00
3,"СМДЛ ""АРМИЛАБОР"" ООД",2210141505,СЗОК / 1,2,2014-07-01 00:00:00,11:10:00
4,"СМДЛ ""Д-Р МАЛИНОВА"" ЕООД",2202141516,СЗОК / 1,2,2014-07-01 00:00:00,16:00:00
5,АСМП-ИПСМП - ПАТОАНАТОМИЯ И ЦИТОПАТОЛОГИЯ - Д-Р ВЕСЕЛИН ВЛАСОВ,2205121551,СЗОК / 1,3,2014-07-01 00:00:00,09:05:00
6,"МДЛ ""МЕД - ДИА"" ООД",2210141501,СЗОК / 1,3,2014-07-01 00:00:00,17:00:00
7,"МДЛ ""ПРОФ. Д-Р ЕМИЛ НАКОВ"" ЕООД",2210141004,СЗОК / 1,2,2014-07-02 00:00:00,16:30:00
8,"МДЛ ""ЛИПОГАРД"" ООД",2202141510,СЗОК / 1,2,2014-07-03 00:00:00,09:00:00
9,"СМДЛ ""КАНДИЛАРОВ"" ООД",2210141502,СЗОК / 1,3,2014-07-03 00:00:00,17:00:00
,,,,,,
,"ИЗГОТВИЛ:
Н-К СЕКТОР ""ОФИС №1"" ",,,,,
,,,,,,
,                       КРАСИМИР ДРАГАНОВ,,,,,
