MERRIMACK COUNTY/BALLOTS CAST,MERRIMACK COUNTY/BALLOTS CAST,MERRIMACK COUNTY/BALLOTS CAST,MERRIMACK COUNTY/BALLOTS CAST,MERRIMACK COUNTY/BALLOTS CAST,MERRIMACK COUNTY/BALLOTS CAST,MERRIMACK COUNTY/BALLOTS CAST
"Sept. 14, 2010",Republican,Republican,Republican,Democratic,Democratic,Democratic
,Regular,Absentee,Total,Regular,Absentee,Total
Allenstown,378,6,384,215,1,216
Andover,267,11,278,158,3,161
Boscawen,387,10,397,195,8,203
Bow,1279,37,1316,693,37,730
Bradford,245,14,259,150,10,160
Canterbury,314,9,323,262,8,270
Chichester,443,10,453,169,3,172
Concord Ward 1,340,8,348,276,10,286
Concord Ward 2,319,7,326,207,2,209
Concord Ward 3,278,4,282,287,16,303
Concord Ward 4,296,13,309,397,20,417
Concord Ward 5,446,19,465,610,37,647
Concord Ward 6,218,8,226,246,12,258
Concord Ward 7,451,17,468,543,21,564
Concord Ward 8,377,7,384,281,5,286
Concord Ward 9,298,6,304,266,18,284
Concord Ward 10,657,13,670,479,19,498
Danbury,150,3,153,65,4,69
Dunbarton,506,14,520,160,4,164
Epsom,631,32,663,181,9,190
Franklin Ward 1 (1),297,7,304,116,4,120
Franklin Ward 2,188,6,194,78,3,81
Franklin Ward 3,225,25,250,108,6,114
Henniker,549,16,565,347,10,357
Hill ,154,3,157,45,0,45
Hooksett,1650,60,1710,437,14,451
Hopkinton,812,53,865,815,62,877
Loudon,687,12,699,198,9,207
New London,737,88,825,391,32,423
Newbury,352,22,374,154,3,157
Northfield,435,18,453,155,4,159
Pembroke,757,21,778,342,12,354
Pittsfield,452,17,469,135,3,138
Salisbury,184,9,193,66,2,68
Sutton,289,11,300,161,6,167
Warner,369,9,378,241,11,252
Webster,264,11,275,133,1,134
Wilmot,214,1,215,123,6,129
Totals,16895,637,17532,9885,435,10320
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,19770,870,20640
