"HAS - Hasbro, Inc.",,,,,
Amount,Ex-date,Record Date,Pay Date,Type,Frequency
0.43,2014-04-29,2014-05-01,2014-05-15,Cash Dividend,quarterly
0.4,2014-01-31,2014-02-04,2014-02-18,Cash Dividend,quarterly
0.4,2013-10-30,2013-11-01,2013-11-15,Cash Dividend,quarterly
0.4,2013-07-30,2013-08-01,2013-08-15,Cash Dividend,quarterly
0.4,2013-04-29,2013-05-01,2013-05-15,Cash Dividend,quarterly
0.36,2012-12-13,2012-12-17,2012-12-28,Cash Dividend,quarterly
0.36,2012-10-31,2012-11-01,2012-11-15,Cash Dividend,quarterly
0.36,2012-07-30,2012-08-01,2012-08-15,Cash Dividend,quarterly
0.36,2012-04-27,2012-05-01,2012-05-15,Cash Dividend,quarterly
0.3,2012-01-30,2012-02-01,2012-02-15,Cash Dividend,quarterly
0.3,2011-10-28,2011-11-01,2011-11-15,Cash Dividend,quarterly
0.3,2011-07-28,2011-08-01,2011-08-15,Cash Dividend,quarterly
0.3,2011-04-28,2011-05-02,2011-05-16,Cash Dividend,quarterly
0.25,2011-01-28,2011-02-01,2011-02-15,Cash Dividend,quarterly
0.25,2010-10-28,2010-11-01,2010-11-15,Cash Dividend,quarterly
0.25,2010-07-29,2010-08-02,2010-08-16,Cash Dividend,quarterly
0.25,2010-04-29,2010-05-03,2010-05-17,Cash Dividend,quarterly
0.2,2010-01-29,2010-02-02,2010-02-16,Cash Dividend,quarterly
0.2,2009-10-29,2009-11-02,2009-11-16,Cash Dividend,quarterly
0.2,2009-07-30,2009-08-03,2009-08-17,Cash Dividend,quarterly
0.2,2009-04-29,2009-05-01,2009-05-15,Cash Dividend,quarterly
0.2,2009-01-30,2009-02-03,2009-02-17,Cash Dividend,quarterly
0.2,2008-10-30,2008-11-03,2008-11-17,Cash Dividend,quarterly
0.2,2008-07-30,2008-08-01,2008-08-15,Cash Dividend,quarterly
0.2,2008-04-29,2008-05-01,2008-05-15,Cash Dividend,quarterly
0.16,2008-01-30,2008-02-01,2008-02-15,Cash Dividend,quarterly
0.16,2007-10-30,2007-11-01,2007-11-15,Cash Dividend,quarterly
0.16,2007-07-30,2007-08-01,2007-08-15,Cash Dividend,quarterly
0.16,2007-04-27,2007-05-01,2007-05-15,Cash Dividend,quarterly
0.12,2007-01-30,2007-02-01,2007-02-15,Cash Dividend,quarterly
0.12,2006-10-30,2006-11-01,2006-11-15,Cash Dividend,quarterly
0.12,2006-07-28,2006-08-01,2006-08-15,Cash Dividend,quarterly
0.12,2006-04-27,2006-05-01,2006-05-15,Cash Dividend,quarterly
0.09,2006-01-30,2006-02-01,2006-02-15,Cash Dividend,quarterly
0.09,2005-10-28,2005-11-01,2005-11-15,Cash Dividend,quarterly
0.09,2005-07-28,2005-08-01,2005-08-15,Cash Dividend,quarterly
0.09,2005-04-28,2005-05-02,2005-05-16,Cash Dividend,quarterly
0.06,2005-01-28,2005-02-01,2005-02-15,Cash Dividend,quarterly
0.06,2004-10-28,2004-11-01,2004-11-15,Cash Dividend,quarterly
0.06,2004-07-29,2004-08-02,2004-08-16,Cash Dividend,quarterly
0.06,2004-04-29,2004-05-03,2004-05-17,Cash Dividend,quarterly
0.03,2004-01-29,2004-02-02,2004-02-16,Cash Dividend,quarterly
0.03,2003-10-30,2003-11-03,2003-11-17,Cash Dividend,quarterly
0.03,2003-07-30,2003-08-01,2003-08-15,Cash Dividend,quarterly
0.03,2003-04-29,2003-05-01,2003-05-15,Cash Dividend,quarterly
0.03,2003-01-29,2003-01-31,2003-02-14,Cash Dividend,quarterly
0.03,2002-10-30,2002-11-01,2002-11-15,Cash Dividend,quarterly
0.03,2002-07-30,2002-08-01,2002-08-15,Cash Dividend,quarterly
0.03,2002-04-29,2002-05-01,2002-05-15,Cash Dividend,quarterly
0.03,2002-01-30,2002-02-01,2002-02-15,Cash Dividend,quarterly
0.03,2001-10-30,2001-11-01,2001-11-15,Cash Dividend,quarterly
0.03,2001-07-30,2001-08-01,2001-08-15,Cash Dividend,quarterly
0.03,2001-04-27,2001-05-01,2001-05-15,Cash Dividend,quarterly
0.03,2001-01-30,2001-02-01,2001-02-15,Cash Dividend,quarterly
0.06,2000-10-30,2000-11-01,2000-11-15,Cash Dividend,quarterly
0.06,2000-07-28,2000-08-01,2000-08-15,Cash Dividend,quarterly
0.06,2000-04-27,2000-05-01,2000-05-15,Cash Dividend,quarterly
0.06,2000-01-28,2000-02-01,2000-02-15,Cash Dividend,quarterly
0.06,1999-10-28,1999-11-01,1999-11-15,Cash Dividend,quarterly
0.06,1999-07-29,1999-08-02,1999-08-17,Cash Dividend,quarterly
0.06,1999-04-29,1999-05-03,1999-05-17,Cash Dividend,quarterly
0.053,1999-01-28,1999-02-01,1999-02-15,Cash Dividend,quarterly
0.053,1998-10-29,1998-11-02,1998-11-16,Cash Dividend,quarterly
