analytica 2012 - Aussteller Liste,,,,,
,,,,,
,Suche über Produkt- und Dienstleistungsverzeichnis (61 Einträge):,,,,
,"6 Reagenzien, Chemikalien",,,,
,,,,,
Nr.,Firma,Land,Ort,PLZ,Halle/Stand
1,AES Chemunex,Frankreich,Bruz,35172,B1.214
2,"ANALYTIKA, spol. s.r.o.",Tschechien,Praha 9-Vysocany,190 00,A2.345A
3,Apollo Scientific Ltd.,Großbritannien,Cheshire,SK6 2QR,B2.128
4,AppliChem GmbH,Deutschland,Darmstadt,64291,B1.115
5,Avantor Performance Materials B.V.,Niederlande,Deventer,7418 AM,A1.215
6,Bellingham and Stanley Ltd,Großbritannien,"Tunbridge Wells, Kent",TN2 3EY,A1.201/302
7,BioCat GmbH,Deutschland,Heidelberg,69120,A3.453
8,Biozym Scientific GmbH,Deutschland,Hessisch Oldendorf,31840,A3.321
9,BS-Partikel GmbH,Deutschland,Wiesbaden,65205,A1.422
10,Campro Scientific GmbH,Deutschland,Berlin,14167,A2.437
11,"Carl Roth GmbH & Co. KG
Chemikalien und Laborbedarf",Deutschland,Karlsruhe,76185,B1.303/406
12,Central Drug House (P) Ltd.,Indien,New Delhi,110002,B2.113
13,Chiron AS,Norwegen,Trondheim,7041,A2.437
14,"CHROMSYSTEMS
Instruments & Chemicals GmbH",Deutschland,Gräfelfing / München,82166,B1.211
15,CS-Chromatographie Service GmbH,Deutschland,Langerwehe,52379,A2.411
16,Cyanagen Srl,Italien,Bologna,40138,A3.164
17,Diagonal GmbH & Co. KG,Deutschland,Münster,48161,B1.520
18,Distrilab Particles,Niederlande,Leusden,3833 AV,A3.150
19,Dyomics GmbH,Deutschland,Jena,07745,A3.553
20,Elemental Microanalysis Ltd.,Großbritannien,Okehampton,EX20 1UB,B2.215A
21,emp Biotech GmbH,Deutschland,Berlin,13125,A3.410
22,Extrasynthese,Frankreich,Genay Cedex,69730,B2.222
23,FEW Chemicals GmbH,Deutschland,Wolfen,06766,A3.506
24,FLUXANA GmbH & Co. KG,Deutschland,Bedburg-Hau,47551,A2.509
25,"GFS Chemicals, Inc.",USA,Powell,OH 43065,A1.508B
26,HELLMA GmbH & Co. KG,Deutschland,Müllheim/Baden,79379,A1.314
27,HORIBA Jobin Yvon GmbH,Deutschland,Bensheim,64625,A2.213/314
28,HRT Labortechnik GmbH,Deutschland,Engstingen,72829,A2.318
29,INORGANIC VENTURES EUROPE,Spanien,Madrid,28028,A2.542
30,Integrated DNA Technologies,Belgien,Leuven,3001,A3.566
31,IRMM,Belgien,Geel,2440,A1.534
32,ITS Europe Ltd.,Großbritannien,Salisbury,SP3 5DU,A1.139
33,Bernd Kraft GmbH,Deutschland,Duisburg,47167,B2.140/ Bench
34,Leica Microsystems,Deutschland,Wetzlar,35578,A2.205/306
35,Dr. Lerche KG,Deutschland,Berlin,12489,A1.526
36,LGC Standards,Deutschland,Wesel,46485,A2.504
37,Livchem Logistic GmbH,Deutschland,Frankfurt,65933,A1.508B
38,MACHEREY-NAGEL GmbH & Co. KG,Deutschland,Düren,52355,A2.330
39,Merck Millipore,Deutschland,Darmstadt,64293,A1.408
40,"NACALAI TESQUE, INC.",Japan,Kyoto,604-0855,A1.438
41,New England Biolabs GmbH,Deutschland,Frankfurt,65926,A3.351
42,Orgentis Chemicals GmbH,Deutschland,Gatersleben,06466,A3.341
43,Panreac Química S.L.U.,Spanien,Castellar del Vallès,08211,B1.309
44,"PerkinElmer chemagen
Technologie GmbH",Deutschland,Baesweiler,52499,A3.232
45,Promens Packaging GmbH,Deutschland,Ettlingen,76275,B1.142
46,"PSS Polymer Standards
Service GmbH",Deutschland,Mainz,55120,A1.223
47,QIAGEN GmbH,Deutschland,Hilden,40724,A3.301/402
48,"r-concept
Dr. Bernhard Ruchti",Deutschland,Laupheim,88471,A2.233
49,"RECIPE Chemicals+Instruments
GmbH",Deutschland,München,80992,A1.436
50,SERVA Electrophoresis GmbH,Deutschland,Heidelberg,69115,A3.360
51,Shamlab,Syrien,Damascus,Addra 75,B1.355
52,SiliCycle Inc.,Kanada,Quebec City G1P 4S6,,B1.133
53,STARNA GmbH,Deutschland,Pfungstadt,64319,A1.330
54,Thermo Scientific,Deutschland,Dreieich,63303,B1.101/202
55,Th. Geyer GmbH & Co. KG,Deutschland,Renningen,71272,B1.430
56,Tintometer GmbH,Deutschland,Dortmund,44287,B1.500
57,TurboBeads GmbH,Schweiz,Zürich,8050,A3.568
58,VWR International GmbH,Deutschland,Darmstadt,64295,B1.221/320
59,Westfalen AG,Deutschland,Münster,48155,A1.307
60,Woodley Laboratory Diagnostics,Großbritannien,"Horwich, Bolton",BL6 5UE,B2.215A
61,"WTW
Wissenschaftlich-Technische
Werkstätten GmbH",Deutschland,Weilheim,82362,A1.201/302
