ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Csaba,Kuttor,HUN,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1,01:57:11,Elite Men
Gael,Mainard,FRA,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2,01:57:54,Elite Men
Stuart,Hayes,GBR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,3,01:57:57,Elite Men
Richard,Stannard,GBR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4,01:58:17,Elite Men
Richard,Allen,GBR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,5,01:58:57,Elite Men
Nicolas,Becker,FRA,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,6,02:00:20,Elite Men
Alexander,Bagazeev,RUS,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,7,02:00:32,Elite Men
Richie,Cunningham,AUS,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,8,02:00:38,Elite Men
Emilio,D'Aquino,ITA,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,02:00:42,Elite Men
Torsten,Abel,GER,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,10,02:00:49,Elite Men
Alessandro,Bottoni,ITA,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,11,02:00:58,Elite Men
Daniele,Fiorentini,ITA,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12,02:01:07,Elite Men
Frederik,Van Lierde,BEL,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,13,02:01:31,Elite Men
Andy,Grohe,GER,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,14,02:03:02,Elite Men
Andre,Campos,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,15,02:03:17,Elite Men
Tiago,Coutinho,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,16,02:03:41,Elite Men
Lino,Barruncho,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,17,02:05:01,Elite Men
Jarmo,Hast,FIN,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,18,02:06:13,Elite Men
Bruno,Pais,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,19,02:07:07,Elite Men
Antonio,Jourdan,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,20,02:07:26,Elite Men
Luis,Duarte,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,21,02:08:17,Elite Men
Paulo,Antunes,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,22,02:09:43,Elite Men
Nuno,Calvario,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,23,02:11:17,Elite Men
Rafael,Gomes,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,24,02:12:39,Elite Men
Duarte,Areosa,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,25,02:13:47,Elite Men
Duarte Silva,Marques,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,26,02:17:05,Elite Men
Andre,Bilbao,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,27,02:18:33,Elite Men
Rodrigo,Matos,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,28,02:18:44,Elite Men
Nuno,Neves,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,29,02:19:47,Elite Men
Falk,Cierpinski,GER,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00,Elite Men
Raul,Cordoba,ESP,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00,Elite Men
Luis,Diogo Santos,POR,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00,Elite Men
