U.S. Energy Information Administration,,,,,,,,,,
September 2014 Monthly Energy Review,,,,,,,,,,
,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,
,,,,,,,,,,
"Release Date: September 25, 2014",,,,,,,,,,
"Next Update: October 28, 2014",,,,,,,,,,
,,,,,,,,,,
Table 3.7b Petroleum Consumption:  Industrial Sector,,,,,,,,,,
,,,,,,,,,,
Month,Asphalt and Road Oil Consumed by the Industrial Sector,Distillate Fuel Oil Consumed by the Industrial Sector,Kerosene Consumed by the Industrial Sector,Liquefied Petroleum Gases Consumed by the Industrial Sector,Lubricants Consumed by the Industrial Sector,Motor Gasoline Consumed by the Industrial Sector,Petroleum Coke Consumed by the Industrial Sector,Residual Fuel Oil Consumed by the Industrial Sector,Other Petroleum Products Consumed by the Industrial Sector,Total Petroleum Consumed by the Industrial Sector
,(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day)
1973-01-01 00:00:00,183.645,727.361,141.25,1240.977,81.11,122.028,263.344,834.665,998.645,4593.025
1973-02-01 00:00:00,216.643,874.019,134.005,1155.588,88.75,128.389,239.916,992.007,972.321,4801.638
1973-03-01 00:00:00,255.645,718.377,69.834,874.702,86.417,129.913,238.348,1038.087,983.323,4394.646
1973-04-01 00:00:00,377.733,530.107,56.76,806.899,79.166,130.481,233.314,796.524,987.5,3998.485
1973-05-01 00:00:00,543.613,678.634,46.04,789.061,90.458,137.778,249.67,831.525,993,4359.78
1973-06-01 00:00:00,710.233,584.235,40.929,715.126,81.326,138.905,270.887,745.844,1033.067,4320.552
1973-07-01 00:00:00,797,595.881,51.652,686.617,95.414,140.09,259.456,543.909,1033.258,4203.276
1973-08-01 00:00:00,892.355,633.575,51.023,792.233,92.866,144.747,270.113,711.658,1059.516,4648.085
1973-09-01 00:00:00,734.5,706.457,64.182,801.817,84.05,131.262,243.443,716.539,999.167,4481.417
