ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Gilberto,Gonzalez,VEN,,00:21:03,00:00:00,01:00:27,00:00:00,00:32:42,1,01:54:12,Elite Men
Javier,Rosas,MEX,,00:21:09,00:00:00,01:00:18,00:00:00,00:33:29,2,01:54:56,Elite Men
Ricardo,Cardeno,COL,,00:21:23,00:00:00,01:00:05,00:00:00,00:33:49,3,01:55:17,Elite Men
Carlos,Probert,MEX,,00:20:56,00:00:00,01:00:37,00:00:00,00:34:07,4,01:55:40,Elite Men
Bruno,Arochi,MEX,,00:22:06,00:00:00,01:01:33,00:00:00,00:32:41,5,01:56:20,Elite Men
Boyd,Conrick,AUS,,00:22:06,00:00:00,01:01:35,00:00:00,00:34:10,6,01:57:51,Elite Men
Marcus,Ornellas,BRA,,00:21:11,00:00:00,01:00:13,00:00:00,00:36:36,7,01:58:00,Elite Men
Juan Fernando,Enderica,ECU,,00:20:34,00:00:00,01:00:57,00:00:00,00:37:02,8,01:58:33,Elite Men
David,Arias,COL,,00:21:19,00:00:00,01:00:15,00:00:00,00:37:36,9,01:59:10,Elite Men
John Freddy,Tibocha,COL,,00:21:26,00:00:00,01:00:06,00:00:00,00:38:14,10,01:59:46,Elite Men
Fernando,Mogrovejo,ECU,,00:20:41,00:00:00,01:00:55,00:00:00,00:38:14,11,01:59:50,Elite Men
Edwin,Vargas,COL,,00:22:27,00:00:00,01:00:38,00:00:00,00:36:50,12,01:59:55,Elite Men
Will,Vargas,COL,,00:20:54,00:00:00,01:00:45,00:00:00,00:38:54,13,02:00:33,Elite Men
David,Camano,COL,,00:21:59,00:00:00,01:01:44,00:00:00,00:39:32,14,02:03:15,Elite Men
Carlos,Perez,COL,,00:22:29,00:00:00,01:02:49,00:00:00,00:39:17,15,02:04:35,Elite Men
Hernan,Prada,COL,,00:23:09,00:00:00,01:05:33,00:00:00,00:37:31,16,02:06:13,Elite Men
Oscar,Fernandez,COL,,00:23:23,00:00:00,01:05:02,00:00:00,00:37:49,17,02:06:14,Elite Men
Gustavo,Penilla,COL,,00:24:15,00:00:00,01:04:12,00:00:00,00:37:49,18,02:06:16,Elite Men
Fabian,Espinoza,COL,,00:24:42,00:00:00,01:05:19,00:00:00,00:38:33,19,02:08:34,Elite Men
Carlos,Loor,ECU,,00:21:19,00:00:00,01:07:28,00:00:00,00:44:26,20,02:13:13,Elite Men
Carmenza,Morales,COL,,00:26:16,00:00:00,01:06:00,00:00:00,00:36:36,1,02:08:52,Elite Women
Fiorella,D'Croz,COL,,00:25:49,00:00:00,01:06:26,00:00:00,00:41:56,2,02:14:11,Elite Women
Ibet Zulay,Aguilar,COL,,00:31:25,00:00:00,01:11:14,00:00:00,00:45:06,3,02:27:45,Elite Women
Natalia,Pulgarin,COL,,00:27:43,00:00:00,01:14:30,00:00:00,00:47:33,4,02:29:46,Elite Women
