People QuickFacts,Hampshire County,West Virginia
"Population, 2013 estimate    ","23,445","1,854,304"
"Population, 2010 (April 1) estimates base    ","23,964","1,852,999"
"Population, percent change, April 1, 2010 to July 1, 2013    ",-2.2%,0.1%
"Population, 2010    ","23,964","1,852,994"
"Persons under 5 years, percent, 2013    ",4.7%,5.5%
"Persons under 18 years, percent, 2013    ",20.5%,20.6%
"Persons 65 years and over, percent, 2013    ",18.9%,17.3%
"Female persons, percent, 2013    ",49.3%,50.6%
,,
"White alone, percent, 2013 (a)    ",97.2%,93.8%
"Black or African American alone, percent, 2013 (a)    ",1.2%,3.6%
"American Indian and Alaska Native alone, percent, 2013 (a)    ",0.2%,0.2%
"Asian alone, percent, 2013 (a)    ",0.3%,0.8%
"Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)    ",0.1%,Z
"Two or More Races, percent, 2013    ",1.1%,1.5%
"Hispanic or Latino, percent, 2013 (b)    ",1.2%,1.4%
"White alone, not Hispanic or Latino, percent, 2013    ",96.2%,92.7%
,,
"Living in same house 1 year & over, percent, 2009-2013    ",93.7%,88.1%
"Foreign born persons, percent, 2009-2013    ",0.4%,1.4%
"Language other than English spoken at home, pct age 5+, 2009-2013    ",1.4%,2.4%
"High school graduate or higher, percent of persons age 25+, 2009-2013    ",78.2%,83.9%
"Bachelor's degree or higher, percent of persons age 25+, 2009-2013    ",8.2%,18.3%
"Veterans, 2009-2013    ","1,448","159,448"
"Mean travel time to work (minutes), workers age 16+, 2009-2013    ",37.7,25.5
"Housing units, 2013    ","13,672","879,449"
"Homeownership rate, 2009-2013    ",53.8%,73.4%
"Housing units in multi-unit structures, percent, 2009-2013    ",5.2%,12.0%
"Median value of owner-occupied housing units, 2009-2013    ","$123,800","$98,500"
"Households, 2009-2013    ","10,570","741,390"
"Persons per household, 2009-2013    ",2.19,2.43
"Per capita money income in past 12 months (2013 dollars), 2009-2013    ","$17,734","$22,966"
"Median household income, 2009-2013    ","$27,766","$41,043"
"Persons below poverty level, percent, 2009-2013    ",18.0%,17.9%
,,
Business QuickFacts,Hampshire County,West Virginia
"Private nonfarm establishments, 2012    ",339,"37,906"
"Private nonfarm employment, 2012    ","2,665","579,583"
"Private nonfarm employment, percent change, 2011-2012    ",1.3%,2.0%
"Nonemployer establishments, 2012    ","1,418","89,213"
,,
"Total number of firms, 2007    ","1,908","120,381"
"Black-owned firms, percent, 2007    ",F,S
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,S
"Asian-owned firms, percent, 2007    ",F,1.3%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.0%
"Hispanic-owned firms, percent, 2007    ",F,0.7%
"Women-owned firms, percent, 2007    ",S,28.1%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"25,080,573"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"11,036,467"
"Retail sales, 2007 ($1000)    ","112,165","20,538,829"
"Retail sales per capita, 2007    ","$4,958","$11,340"
"Accommodation and food services sales, 2007 ($1000)    ","17,351","2,553,258"
"Building permits, 2012    ",59,"2,718"
,,
Geography QuickFacts,Hampshire County,West Virginia
"Land area in square miles, 2010    ",640.25,"24,038.21"
"Persons per square mile, 2010    ",37.4,77.1
FIPS Code    ,27,54
Metropolitan or Micropolitan Statistical Area    ,"Winchester, VA-WV Metro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
