People QuickFacts,Scottsdale,Arizona
"Population, 2013 estimate    ","226,918","6,626,624"
"Population, 2012 estimate    ","223,473","6,551,149"
"Population, 2010 (April 1) estimates base    ","217,355","6,392,015"
"Population, percent change, April 1, 2010 to July 1, 2013    ",4.4%,3.7%
"Population, percent change, April 1, 2010 to July 1, 2012    ",2.8%,2.5%
"Population, 2010    ","217,385","6,392,017"
"Persons under 5 years, percent, 2010    ",4.2%,7.1%
"Persons under 18 years, percent, 2010    ",17.8%,25.5%
"Persons 65 years and over, percent,  2010    ",20.0%,13.8%
"Female persons, percent, 2010    ",51.7%,50.3%
,,
"White alone, percent, 2010 (a)    ",89.3%,73.0%
"Black or African American alone, percent, 2010 (a)    ",1.7%,4.1%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.8%,4.6%
"Asian alone, percent, 2010 (a)    ",3.3%,2.8%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",0.1%,0.2%
"Two or More Races, percent, 2010    ",2.3%,3.4%
"Hispanic or Latino, percent, 2010 (b)    ",8.8%,29.6%
"White alone, not Hispanic or Latino, percent, 2010    ",83.7%,57.8%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",82.8%,80.4%
"Foreign born persons, percent, 2008-2012    ",11.1%,13.6%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",14.7%,26.9%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",95.9%,85.4%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",52.7%,26.6%
"Veterans, 2008-2012    ","18,040","530,693"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",22.3,24.6
"Housing units, 2010    ","124,001","2,844,526"
"Homeownership rate, 2008-2012    ",69.4%,65.5%
"Housing units in multi-unit structures, percent, 2008-2012    ",30.5%,20.6%
"Median value of owner-occupied housing units, 2008-2012    ","$396,700","$175,900"
"Households, 2008-2012    ","100,047","2,357,158"
"Persons per household, 2008-2012    ",2.18,2.66
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$50,525","$25,571"
"Median household income, 2008-2012    ","$72,163","$50,256"
"Persons below poverty level, percent, 2008-2012    ",8.3%,17.2%
,,
Business QuickFacts,Scottsdale,Arizona
"Total number of firms, 2007    ","37,104","491,529"
"Black-owned firms, percent, 2007    ",0.6%,2.0%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",0.4%,1.9%
"Asian-owned firms, percent, 2007    ",2.1%,3.3%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,S
"Hispanic-owned firms, percent, 2007    ",3.0%,10.7%
"Women-owned firms, percent, 2007    ",24.5%,28.1%
,,
"Manufacturers shipments, 2007 ($1000)    ","4,806,562","57,977,827"
"Merchant wholesaler sales, 2007 ($1000)    ","3,445,500","57,573,459"
"Retail sales, 2007 ($1000)    ","6,645,363","86,758,801"
"Retail sales per capita, 2007    ","$28,447","$13,637"
"Accommodation and food services sales, 2007 ($1000)    ","1,314,297","13,268,514"
,,
Geography QuickFacts,Scottsdale,Arizona
"Land area in square miles, 2010    ",183.92,"113,594.08"
"Persons per square mile, 2010    ","1,182.0",56.3
FIPS Code    ,65000,4
Counties    ,"Maricopa County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
