"ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)","ACCESS for ELLs Growth School Summary Results (July 7, 2014)"
,,,,,,,,,,,,,,,,,
YEAR,SCHOOL NUMBER,SCHOOL NAME,EMH CODE,Overall_MGP,Overall_MGP,Overall_AGP,Overall_AGP,Overall_L1toL2+,Overall_L1toL2+,Overall_L2toL3+,Overall_L2toL3+,Overall_L3toL4+,Overall_L3toL4+,Overall_L4toL5+,Overall_L4toL5+,Overall_L5toL5+,Overall_L5toL5+
YEAR,SCHOOL NUMBER,SCHOOL NAME,EMH CODE,Valid N,Median,Valid N,Median,Valid N,%,Valid N,%,Valid N,%,Valid N,%,Valid N,%
2014,10,ABRAHAM LINCOLN HIGH SCHOOL,H,374,57.5,373,39,n<20,-,43,0.628,123,0.675,151,0.603,47,0.745
2014,10,ABRAHAM LINCOLN HIGH SCHOOL,A,374,57.5,373,39,n<20,-,43,0.628,123,0.675,151,0.603,47,0.745
2014,11,ACADEMY CHARTER SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,11,ACADEMY CHARTER SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,12,ACRES GREEN ELEMENTARY SCHOOL,E,44,49.5,39,16,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,12,ACRES GREEN ELEMENTARY SCHOOL,A,44,49.5,39,16,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,14,GLACIER PEAK ELEMENTARY SCHOOL,E,37,28,37,15,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,14,GLACIER PEAK ELEMENTARY SCHOOL,A,37,28,37,15,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,15,ACADEMY OF CHARTER SCHOOLS,E,54,56,49,23,n<20,-,n<20,-,n<20,-,n<20,-,21,0.905
2014,15,ACADEMY OF CHARTER SCHOOLS,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,15,ACADEMY OF CHARTER SCHOOLS,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,15,ACADEMY OF CHARTER SCHOOLS,A,82,53,76,30,n<20,-,n<20,-,n<20,-,30,0.6,29,0.862
2014,16,FOX HOLLOW ELEMENTARY SCHOOL,E,47,68,47,24,n<20,-,n<20,-,n<20,-,22,0.682,n<20,-
2014,16,FOX HOLLOW ELEMENTARY SCHOOL,A,47,68,47,24,n<20,-,n<20,-,n<20,-,22,0.682,n<20,-
2014,17,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,17,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,18,LIBERTY MIDDLE SCHOOL,M,31,61,31,60,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,18,LIBERTY MIDDLE SCHOOL,A,31,61,31,60,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,19,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,E,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,19,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,20,ADAMS CITY MIDDLE SCHOOL,M,284,43.5,283,61,n<20,-,21,0.381,83,0.253,147,0.32,31,0.677
2014,20,ADAMS CITY MIDDLE SCHOOL,A,284,43.5,283,61,n<20,-,21,0.381,83,0.253,147,0.32,31,0.677
2014,22,LESTER R ARNOLD HIGH SCHOOL,H,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,22,LESTER R ARNOLD HIGH SCHOOL,A,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
2014,24,ADAMS CITY HIGH SCHOOL,H,242,31,242,39.5,n<20,-,27,0.63,76,0.487,112,0.411,26,0.654
2014,24,ADAMS CITY HIGH SCHOOL,A,242,31,242,39.5,n<20,-,27,0.63,76,0.487,112,0.411,26,0.654
2014,25,SKY VIEW MIDDLE SCHOOL,M,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-,n<20,-
