6.4 Exchange rates,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,2010–11,2011–12,2012–13,2013–14,2014-15,,,,,,,,
United States dollar (a) – cents,,,,,,,,,,,,,
,,,,,,,,,,,,,
July,89.86,109.53999999999999,105.25999999999999,90.36999999999999,93.24,,,,,,,,
August,89.18,106.91,103.1,89.47,93.49,,,,,,,,
September,96.67,97.81,104.64,93.08999999999999,87.52,,,,,,,,
October,97.61,105.08999999999999,103.78,94.89999999999999,,,,,,,,,
November,96.17999999999999,100.21,104.30999999999999,90.86999999999999,,,,,,,,,
December,101.63,101.56,103.84,89.48,,,,,,,,,
January,99.24,106.37,103.94000000000001,87.63,,,,,,,,, 
February,101.63,108.16,102.75000000000001,89.47,,,,,,,,,
March,103.34,104.02,104.25999999999999,92.21000000000001,,,,,,,,,
April,109.00000000000001,104.52999999999999,103.67999999999999,92.86999999999999,,,,,,,,,
May,107.09,97.27,96.49,93.19,,,,,,,,,
June,107.39000000000001,101.91,92.75,94.19999999999999,,,,,,,,,
,,,,,,,,,,,,,
Trade weighted index (b) – index,,,,,,,,,,,,,
,,,,,,,,,,,,,
July,69.4,78.4,78.9,69.4,71.5,,,,,,,,
August,69,76.5,77,69.2,71.9,,,,,,,,
September,72.9,72.4,76.9,71.2,68.9,,,,,,,,
October,72.7,76.9,76.5,72.1,,,,,,,,,
November,73,74.6,77.2,69.8,,,,,,,,,
December,75.8,75.8,77.1,68.9,,,,,,,,,
January,74,77.9,77.7,67.7,,,,,,,,, 
February,75.5,79.2,77.4,68.9,,,,,,,,,
March,76.3,76.9,79.1,71,,,,,,,,,
April,78.9,77,78.4,71.4,,,,,,,,,
May,77.8,73.6,74,71.5,,,,,,,,,
June,77.8,76.5,71.4,72,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
(a) US cents per A$. Rate at end of month.,,,,,,,,,,,,,
(b) At end of month. Base: May 1970 = 100.0.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: RBA, Daily statistical release",,,,,,,,,,,,,
,,,,,,,,Update,,,,,
,,,,,,,,2014-11-01 00:00:00,2014-11-01 00:00:00,,,,
