ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Lynda,Lemon,CAN,0,00:50:48,00:01:23,01:20:01,00:01:16,00:26:27,1,02:39:57
Heysoon,Lee,USA,0,00:54:03,00:01:49,01:19:02,00:01:20,00:28:15,2,02:44:32
Edwina,Brocklesby,GBR,0,00:52:54,00:01:16,01:20:48,00:01:16,00:28:32,3,02:44:49
Ann,Bould,NZL,0,00:52:43,00:01:31,01:18:23,00:01:42,00:31:44,4,02:46:07
Barbara,Law,GBR,0,00:53:25,00:01:52,01:24:40,00:01:49,00:28:47,5,02:50:35
Marge,Rajczewski,USA,0,00:52:04,00:02:12,01:27:58,00:01:33,00:28:22,6,02:52:11
Barb,Morgan,USA,0,01:00:59,00:01:08,01:26:14,00:01:16,00:33:35,7,03:02:59
Melinda,Berge,USA,0,01:03:46,00:02:36,01:23:41,00:02:40,00:42:42,8,03:15:26
Barbara,Bickle,USA,0,01:06:52,00:03:22,01:58:06,00:03:37,00:46:25,9,03:58:23
Sharon,Blount,USA,0,00:00:01,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Virginia,Poyner,USA,0,00:00:01,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
