ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp
Date,Short Percentage of Float,,,,
2014-02-14,2.93%,,,,
2014-01-31,2.80%,,,,
2014-01-15,2.37%,,,,
2013-12-31,0.00%,,,,
2013-12-13,0.00%,,,,
2013-11-29,2.79%,,,,
2013-11-15,2.84%,,,,
2013-10-31,2.64%,,,,
2013-10-15,2.57%,,,,
2013-09-30,2.55%,,,,
2013-09-13,2.45%,,,,
2013-08-30,2.33%,,,,
2013-08-15,2.44%,,,,
2013-07-31,2.45%,,,,
2013-07-15,2.79%,,,,
2013-06-28,2.76%,,,,
2013-06-14,1.75%,,,,
2013-05-31,1.85%,,,,
2013-05-15,3.31%,,,,
2013-04-30,4.02%,,,,
2013-04-15,3.58%,,,,
2013-03-28,3.70%,,,,
2013-03-15,4.57%,,,,
2013-02-28,4.33%,,,,
2013-02-15,4.42%,,,,
2013-01-31,3.65%,,,,
2013-01-15,3.42%,,,,
2012-12-31,0.00%,,,,
2012-12-14,0.00%,,,,
2012-11-30,3.15%,,,,
2012-11-15,3.37%,,,,
2012-10-31,3.07%,,,,
2012-10-15,2.86%,,,,
2012-09-28,3.07%,,,,
2012-09-14,2.81%,,,,
2012-08-31,2.14%,,,,
2012-08-15,1.76%,,,,
2012-07-31,1.66%,,,,
2012-07-13,1.86%,,,,
2012-06-29,1.62%,,,,
2012-06-15,1.62%,,,,
2012-05-31,1.48%,,,,
2012-05-15,1.16%,,,,
2012-04-30,1.48%,,,,
2012-04-13,1.45%,,,,
2012-03-30,1.39%,,,,
2012-03-15,1.26%,,,,
2012-02-29,1.29%,,,,
2012-02-15,2.31%,,,,
2012-01-31,2.38%,,,,
2012-01-13,2.16%,,,,
2011-12-30,0.00%,,,,
2011-12-15,0.00%,,,,
2011-11-30,2.69%,,,,
2011-11-15,2.32%,,,,
2011-10-31,3.01%,,,,
2011-10-14,3.29%,,,,
2011-09-30,2.36%,,,,
2011-09-15,3.24%,,,,
2011-08-31,2.94%,,,,
2011-08-15,2.00%,,,,
2011-07-29,1.50%,,,,
2011-07-15,1.73%,,,,
2011-06-30,1.56%,,,,
2011-06-15,1.76%,,,,
2011-05-31,1.61%,,,,
2011-05-13,1.85%,,,,
2011-04-29,1.64%,,,,
2011-04-15,2.13%,,,,
2011-03-31,1.98%,,,,
2011-03-15,1.43%,,,,
2011-02-28,1.37%,,,,
2011-02-15,1.19%,,,,
2011-01-31,1.34%,,,,
2011-01-14,2.17%,,,,
2010-12-31,0.00%,,,,
2010-12-15,0.00%,,,,
2010-11-30,2.27%,,,,
2010-11-15,1.99%,,,,
2010-10-29,3.64%,,,,
2010-10-15,4.44%,,,,
2010-09-30,3.88%,,,,
2010-09-15,4.31%,,,,
2010-08-31,4.31%,,,,
2010-08-13,4.00%,,,,
2010-07-30,2.72%,,,,
2010-07-15,3.21%,,,,
2010-06-30,3.25%,,,,
2010-06-15,3.40%,,,,
2010-05-28,3.82%,,,,
2010-05-14,3.63%,,,,
2010-04-30,3.71%,,,,
2010-04-15,4.15%,,,,
2010-03-31,3.94%,,,,
2010-03-15,3.53%,,,,
2010-02-26,3.43%,,,,
2010-02-12,2.84%,,,,
2010-01-29,1.11%,,,,
2010-01-15,1.03%,,,,
2009-12-31,1.12%,,,,
2009-12-15,1.19%,,,,
2009-11-30,2.16%,,,,
2009-11-13,2.03%,,,,
2009-10-30,2.34%,,,,
2009-10-15,2.49%,,,,
2009-09-30,0.00%,,,,
2009-09-15,0.00%,,,,
2009-08-31,2.42%,,,,
2009-08-14,2.66%,,,,
2009-07-31,3.09%,,,,
2009-07-15,3.53%,,,,
2009-06-30,3.70%,,,,
2009-06-15,2.05%,,,,
2009-05-29,3.55%,,,,
2009-05-15,3.10%,,,,
2009-04-30,3.38%,,,,
2009-04-15,4.78%,,,,
2009-03-31,4.69%,,,,
2009-03-13,3.80%,,,,
2009-02-27,3.48%,,,,
2009-02-13,3.14%,,,,
2009-01-30,2.10%,,,,
2009-01-15,2.32%,,,,
2008-12-31,2.91%,,,,
2008-12-15,2.52%,,,,
2008-11-28,2.58%,,,,
2008-11-14,2.19%,,,,
2008-10-31,2.27%,,,,
2008-10-15,1.93%,,,,
2008-09-30,2.38%,,,,
2008-09-15,2.42%,,,,
2008-08-29,2.30%,,,,
2008-08-15,2.46%,,,,
2008-07-15,0.00%,,,,
2007-12-11,4.50%,,,,
2007-11-27,4.07%,,,,
2007-11-09,4.57%,,,,
2007-10-26,3.47%,,,,
2007-10-10,3.44%,,,,
2007-09-25,3.04%,,,,
2007-09-11,3.01%,,,,
2007-08-10,3.40%,,,,
2007-07-10,3.79%,,,,
2007-06-12,3.96%,,,,
2007-05-10,3.65%,,,,
2006-10-10,3.81%,,,,
2006-09-12,4.66%,,,,
2006-08-10,4.37%,,,,
2006-07-11,4.05%,,,,
2006-06-12,4.09%,,,,
2006-05-10,4.28%,,,,
2006-04-10,4.35%,,,,
2006-03-10,4.01%,,,,
2006-02-10,3.88%,,,,
2006-01-10,0.00%,,,,
2005-12-12,0.00%,,,,
2005-11-10,0.00%,,,,
2005-10-11,0.00%,,,,
2005-09-12,0.00%,,,,
2005-08-10,0.00%,,,,
2005-07-12,0.00%,,,,
2005-06-10,0.00%,,,,
2005-05-10,0.00%,,,,
2005-04-12,0.00%,,,,
2005-03-10,0.00%,,,,
2005-02-10,0.00%,,,,
2005-01-11,0.00%,,,,
2004-12-10,0.00%,,,,
2004-11-10,0.00%,,,,
2004-10-12,0.00%,,,,
2004-09-10,0.00%,,,,
2004-08-10,0.00%,,,,
2004-07-12,0.00%,,,,
2004-06-09,0.00%,,,,
2004-05-11,0.00%,,,,
2004-04-12,0.00%,,,,
2004-03-10,0.00%,,,,
2004-02-10,0.00%,,,,
2004-01-12,0.00%,,,,
2003-12-10,0.00%,,,,
2003-11-11,0.00%,,,,
2003-10-10,0.00%,,,,
2003-09-10,0.00%,,,,
2003-08-12,0.00%,,,,
2003-07-10,0.00%,,,,
2003-06-10,0.00%,,,,
2003-05-12,0.00%,,,,
2003-04-10,0.00%,,,,
2003-03-11,0.00%,,,,
2003-02-11,0.00%,,,,
2003-01-10,0.00%,,,,
2002-12-10,0.00%,,,,
2002-11-12,0.00%,,,,
2002-10-10,0.00%,,,,
2002-09-10,0.00%,,,,
2002-08-12,0.00%,,,,
2002-07-10,0.00%,,,,
2002-06-11,0.00%,,,,
2002-05-10,0.00%,,,,
2002-04-10,0.00%,,,,
2002-03-12,0.00%,,,,
2002-02-12,0.00%,,,,
2002-01-10,0.00%,,,,
2001-12-11,0.00%,,,,
2001-11-12,0.00%,,,,
2001-10-10,0.00%,,,,
2001-09-05,0.00%,,,,
2001-08-10,0.00%,,,,
2001-07-10,0.00%,,,,
2001-06-12,0.00%,,,,
2001-05-10,0.00%,,,,
2001-04-09,0.00%,,,,
2001-03-12,0.00%,,,,
2001-02-12,0.00%,,,,
2001-01-09,0.00%,,,,
2000-12-12,0.00%,,,,
2000-11-10,0.00%,,,,
2000-10-10,0.00%,,,,
2000-09-12,0.00%,,,,
2000-08-10,0.00%,,,,
2000-07-11,0.00%,,,,
2000-06-12,0.00%,,,,
2000-05-10,0.00%,,,,
2000-04-11,0.00%,,,,
2000-03-10,0.00%,,,,
2000-02-10,0.00%,,,,
2000-01-11,0.00%,,,,
1999-12-10,0.00%,,,,
1999-11-10,0.00%,,,,
1999-10-12,0.00%,,,,
1999-09-10,0.00%,,,,
1999-08-10,0.00%,,,,
1999-07-12,0.00%,,,,
1999-06-10,0.00%,,,,
1999-05-11,0.00%,,,,
1999-04-12,0.00%,,,,
1999-03-10,0.00%,,,,
1999-02-09,0.00%,,,,
1999-01-08,0.00%,,,,
1998-12-08,0.00%,,,,
1998-11-06,0.00%,,,,
1998-10-08,0.00%,,,,
1998-09-08,0.00%,,,,
1998-08-07,0.00%,,,,
1998-07-08,0.00%,,,,
1998-06-08,0.00%,,,,
1998-05-08,0.00%,,,,
1998-04-07,0.00%,,,,
1998-03-06,0.00%,,,,
1998-02-06,0.00%,,,,
1998-01-08,0.00%,,,,
1997-12-08,0.00%,,,,
1997-11-07,0.00%,,,,
1997-10-08,0.00%,,,,
1997-09-08,0.00%,,,,
1997-08-08,0.00%,,,,
1997-07-08,0.00%,,,,
1997-06-06,0.00%,,,,
1997-05-08,0.00%,,,,
1997-04-08,0.00%,,,,
1997-03-07,0.00%,,,,
1997-02-07,0.00%,,,,
1997-01-08,0.00%,,,,
1996-12-06,0.00%,,,,
1996-11-08,0.00%,,,,
1996-10-08,0.00%,,,,
1996-09-06,0.00%,,,,
1996-08-08,0.00%,,,,
1996-07-08,0.00%,,,,
1996-06-07,0.00%,,,,
1996-05-08,0.00%,,,,
1996-04-08,0.00%,,,,
1996-03-08,0.00%,,,,
1996-02-08,0.00%,,,,
1996-01-08,0.00%,,,,
1995-12-08,0.00%,,,,
1995-11-08,0.00%,,,,
1995-10-06,0.00%,,,,
1995-09-08,0.00%,,,,
1995-08-08,0.00%,,,,
1995-07-07,0.00%,,,,
1995-06-08,0.00%,,,,
1995-05-08,0.00%,,,,
1995-04-06,0.00%,,,,
