,,TIB-The Independent BankersBank,,,,,
,,"350 Phelps Ct., Irving TX 75038",,,,,
,,888-776-4842 Toll Free//972-541-0264 fax,,,,,
,,Rate Sheet Effective:,,,2011-05-19 09:16:57.530000,,
Product: FHA / VA Fixed Rate 30 Year,,,,,,Loan Level Price Adjustment,
            (Prices DO NOT include SRP),,,,,,,
Rate,,30 Day,45 Day,60 Day,75 Day,Price adjustments are cumulative,
4.75,,100.45,100.325,99.95,,,
4.625,,100,99.875,99.5,,and are added to price quote,
4.5,,100.125,100,99.625,,Credit Score Adjustment,
4.375,,99.125,99,98.625,,620 - 639    (RD only),
4.25,,98.375,98.25,,,640 - 659 ,-0.75
,,,,,,660 - 719 ,-0.375
,,,,,,720 + ,0
,,,,,,,0.125
,,,,,,VA Adjustment ,-0.25
Product: FHA Fixed Rate 15 Year,,,,,,No IRRRLs ,
            (Prices DO NOT include SRP),,,,,,SRPs ,
Rate,,30 Day,45 Day,60 Day,75 Day,See Government SRP Schedule,
4,,100.45,100.325,99.95,,,
3.875,,100.45,100.325,99.95,,Fees:,
3.75,,100.125,100,99.625,,Fees for Loans TIB Underwrites,
,,,,,,Underwriting ,450
,,,,,,,
,,,,,,Insuring ,100
,,,,,,,
,,,,,,Fees for Loans Not Underwritten by TIB,
,,,,,,Administration ,250
,,      TIB FHA Fulfillment Loans,,,,,
Product: FHA Fixed Rate 30 Year,,,,,,TIB Fulfillment Loans,
            (Prices DO include SRP),,,,,,,
Rate,,30 Day,45 Day,60 Day,75 Day,-Above Fico Adjustments Apply,
4.75,,103,102.875,102.5,,,
4.625,,102.625,102.5,102.125,,-SRPs are Included,
4.5,,102.75,102.625,102.25,,,
4.375,,101.75,101.625,101.25,,Max Broker Compensation Cap ,
,,,,,,Level I,
,,,,,,30 Year ,3.00%
Product: FHA Fixed Rate 15 Year,,,,,,15 Year ,0.025
            (Prices DO include SRP),,,,,,,
3.875,,102.5,102.375,102,,(after all adjustments) ,
3.75,,102,101.875,101.5,,,
,,,,,,Level II,
,,,,,,30 Year ,2.5%
,,,,,,15 Year ,2.00%
,,,,,,Loan Amount Adjustments,
Foot Notes: ,,,,,,,
,,,,,,"$0 - $49,999",-0.5
Loans must be AUS Approved / Eligible from FHA Scorecard,,,,,,"$50,000 - $99,999",-0.25
,,,,,,Expiration Dates,
Seasoning - No loans older than 60 days from Note Date to TIB,,,,,,15 Day,2011-06-03 09:16:57.530000
,,,,,,30 Day,2011-06-18 09:16:57.530000
,"          Call: Donald Grossart, 972-650-7075 ",,,,,45 Day,2011-07-03 09:16:57.530000
,          E-Mail: dgrossart@mybankersbank.com ,,,,,60 Day ,2011-07-18 09:16:57.530000
