,,Transactions,Transactions,Transactions
Product,Product,HY**,IG,Other
Index Tranche*,Asia,,,<100
Index Tranche*,Europe,,,<100
Index Tranche*,North America,218,890,<100
Index,Asia,,<100,<100
Index,Europe,,,4021
Index,North America,1749,2599,154
TOTAL,TOTAL,1967,3489,4175
"Estimated swap transaction volumes, week ending November 30, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type as more complete data becomes available.","Estimated swap transaction volumes, week ending November 30, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type as more complete data becomes available.","Estimated swap transaction volumes, week ending November 30, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type as more complete data becomes available.","Estimated swap transaction volumes, week ending November 30, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type as more complete data becomes available.","Estimated swap transaction volumes, week ending November 30, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type as more complete data becomes available."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
