College,Campus,CIP,State Title,Award Type,Number of Terms,Credit Hours,Number of Weeks,ITSO,Local Name
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,AAS,5,70,80,03 02 11 03,AGRICULTURE BUSINESS
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert1,3,19,48,03 02 11 03,Precision Agriculture
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert2,2,21,32,03 02 11 03,Agriculture Manager and Marketing Certificate
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert3,2,20,32,03 02 11 03,Agriculture Office Technician Certificate
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert4,3,21,48,03 02 11 03,Agronomy Certificate
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert5,3,20,48,03 02 11 03,Agronomy Custom Application Certificate
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert6,3,21,48,03 02 11 03,Crop Advisor Certificate
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert7,2,21,32,03 02 11 03,Animal Science Certificate
01,,0101020200,AGRICULTURAL BUSINESS OPERATIONS TECHNOLOGY,Cert8,2,21,32,03 02 11 03,Dairy Certificate
01,,0102041200,AGRICULTURAL POWER TECHNOLOGY (J.D.),AAS,5,80.5,80,03 02 11 03,John Deere TECH
01,,0103010200,AGRICULTURAL PRODUCTION TECHNOLOGY,AAS,5,70,80,03 02 11 03,AGRICULTURE PRODUCTION
01,,0103010200,AGRICULTURAL PRODUCTION TECHNOLOGY,Dipl1,3,38.5,48,03 02 11 03,APPLIED AGRICULTURE STUDIES DIPLOMA OPTION
01,,0103060200,DAIRY PRODUCTION TECHNOLOGY,AAS,5,75,80,03 02 11 03,DAIRY SCIENCE TECHNOLOGY
01,,0103060200,DAIRY PRODUCTION TECHNOLOGY,Cert1,2,19,32,03 02 11 03,Dairy Breeding Specialist Certificate
01,,0103060200,DAIRY PRODUCTION TECHNOLOGY,Cert2,2,19,32,03 02 11 03,Dairy Feeding Specialist Certificate
01,,0103060200,DAIRY PRODUCTION TECHNOLOGY,Cert3,2,19,32,03 02 11 03,Dairy Health Specialist Certificate
01,,0103090200,VITICULTURE AND ENOLOGY,AAS,5,66,80,03 02 11 03,VITICULTURE TECHNOLOGY
01,,0103090200,VITICULTURE AND ENOLOGY,AAS1,4,68,64,03 02 11 03,ENOLOGY SPECIALIST
01,,0103090200,VITICULTURE AND ENOLOGY,Cert4,3,18,48,03 02 11 03,Viticulture Certificate
01,,0103090200,VITICULTURE AND ENOLOGY,Cert5,3,21,48,03 02 11 03,Enology Certificate
01,,0103090200,VITICULTURE AND ENOLOGY,Dipl2,3,31,48,03 02 11 03,Viticulture Technology Diploma Option
01,,0103090200,VITICULTURE AND ENOLOGY,Dipl3,2,33,32,03 02 11 03,Enology Specialist Diploma Option
01,,0111030200,ARBORICULTURE TECHNOLOGY,AAS,5,68,80,03 02 11 03,ARBORICULTURE
01,,1003030200,DESKTOP PUBLISHING & DIGITAL IMAGING DESIGN TECHNO,AAS,5,70,80,03 02 11 03,GRAPHIC DESIGN
01,,1102020200,COMPUTER PROGRAM. SPECI. APPLICA. TECHNOLOGY,AAS,5,71,80,03 02 11 03,Computer Analyst - Networking Administration and Tech Support Option
01,,1102020200,COMPUTER PROGRAM. SPECI. APPLICA. TECHNOLOGY,AAS1,5,71,80,03 02 11 03,Computer Analyst - Business and Web Programming Option
01,,1204010200,COSMETOLOGY MANAGEMENT,AAS,4,74.5,64,03 02 11 03,COSMETOLOGY
01,,1204010200,COSMETOLOGY MANAGEMENT,Dipl1,4,67,64,03 02 11 03,Cosmetology Diploma
01,,1204015200,COSMETOLOGY/COSMETOLOGIST ENTREPRENEURIALTECHNOLOG,AAS,2,24,32,03 12 11 03,ENTREPRENEURIAL COSMETOLOGY
01,,1503030200,ELECTRONICS ENGINEERING TECHNOLOGY,AAS,4,68,64,03 02 11 03,ELECTRONIC TECHNOLOGY
01,,1505030200,ENERGY MANAGEMENT AND SYSTEMS TECHNOLOGY/TECHNICIAN,AAS,5,76.5,80,03 02 11 03,Wind Turbine Repair Technician (AAS)
01,,1505030200,ENERGY MANAGEMENT AND SYSTEMS TECHNOLOGY/TECHNICIAN,Dipl1,3,46.5,48,03 02 11 03,Wind Turbine Repair Technician (Diploma)
01,,1506150200,CHEMICAL ENGINEERING TECHNOLOGY/TECHNICIAN,AAS,5,71.5,80,03 02 11 03,Chemical Technician
01,,1513011000,DRAFTING AND DESIGN ASSISTANT,Cert,2,11.5,32,03 03 11 03,CAD SPECIALIST
01,Calmar,1907090100,CHILD CARE ASSISTANT,Dipl,3,44.5,48,03 02 11 03,EARLY CHILDHOOD
01,Peosta,1907090100,CHILD CARE ASSISTANT,Dipl,3,45.5,48,03 02 11 03,EARLY CHILDHOOD
01,,4302030200,FIRE SCIENCE/FIREFIGHTING TECHNOLOGY,AAS,4,64,64,03 02 11 03,FIREFIGHTING SPECIALIST
01,,4407010100,SOCIAL WORK SPECIALIST,Dipl,3,38.25,48,03 02 11 03,HUMAN SERVICES TECHNICIAN
01,,4407010200,SOCIAL WORK MANAGEMENT,AAS,4,66.5,64,03 02 11 03,HUMAN SERVICES GENERALIST
