ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Sigrid,Mutscheller,GER,51,00:26:06,00:00:00,00:34:30,00:00:00,00:29:31,1,01:30:10
Eva,Nystrom,SWE,58,00:26:12,00:00:00,00:35:38,00:00:00,00:30:21,2,01:32:12
Carina,Wasle,AUT,76,00:25:38,00:00:00,00:35:29,00:00:00,00:31:25,3,01:32:34
Camilla,Hott,NOR,52,00:27:07,00:00:00,00:36:14,00:00:00,00:29:57,4,01:33:19
Anke,Kullmann,GER,64,00:26:54,00:00:00,00:36:46,00:00:00,00:31:17,5,01:34:58
Maria,Kalnes,NOR,55,00:28:20,00:00:00,00:37:02,00:00:00,00:31:33,6,01:36:56
Marlies,Penker,AUT,57,00:25:52,00:00:00,00:37:12,00:00:00,00:34:22,7,01:37:29
Sarka,Grabmullerova,CZE,53,00:27:17,00:00:00,00:38:29,00:00:00,00:32:01,8,01:37:48
Gabi,Pauli,GER,62,00:28:23,00:00:00,00:37:09,00:00:00,00:32:24,9,01:38:01
Giuliana,Lamastra,ITA,56,00:28:45,00:00:00,00:39:43,00:00:00,00:32:06,10,01:40:35
Vibeke S.,Norstebo,NOR,68,00:29:58,00:00:00,00:39:12,00:00:00,00:31:35,11,01:40:46
Yulia,Surikova,RUS,66,00:26:10,00:00:00,00:45:06,00:00:00,00:31:25,12,01:42:43
Tine H.,Schoyen,NOR,59,00:27:47,00:00:00,00:39:25,00:00:00,00:35:32,13,01:42:45
Katja,Koivulahti,FIN,63,00:32:16,00:00:00,00:39:26,00:00:00,00:36:14,14,01:47:57
Tatiana,Charochkina,RUS,65,00:28:03,00:00:00,00:49:44,00:00:00,00:30:11,15,01:47:59
Yolanda,Magallon,ESP,60,00:28:09,00:00:00,00:43:59,00:00:00,00:35:59,16,01:48:09
Jutta,Schubert,GER,61,00:27:52,00:00:00,00:40:11,00:00:00,00:00:00,DNF,00:00:00
Stefania,Bonazzi,ITA,67,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
