U.S. Energy Information Administration,,,,,,,,,,,
June 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: June 25, 2014",,,,,,,,,,,
"Next Update: July 28, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 7.3b Consumption of Combustible Fuels for Electricity Generation: Electric Power Sector,,,,,,,,,,,
,,,,,,,,,,,
Annual Total,"Coal Consumption for Electricity Generation, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation, Electric Power Sector","Total Petroleum Consumption for Electricity Generation, Electric Power Sector","Natural Gas Consumption for Electricity Generation, Electric Power Sector","Other Gases Consumption for Electricity Generation, Electric Power Sector","Wood Consumption for Electricity Generation, Electric Power Sector","Waste Consumption for Electricity Generation, Electric Power Sector","Other Consumption for Electricity Generation, Electric Power Sector"
,(Thousand Short Tons),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Short Tons),(Thousand Barrels),(Billion Cubic Feet),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1949,83963.42,4767,61534,Not Available,Not Available,66301,550.121,Not Available,5.803,Not Available,Not Available
1950,91870.77,5423,69998,Not Available,Not Available,75421,628.919,Not Available,5.466,Not Available,Not Available
1951,105768.006,4598,59347,Not Available,Not Available,63945,763.898,Not Available,5.331,Not Available,Not Available
1952,107071.241,4833,62385,Not Available,Not Available,67218,910.117,Not Available,6.435,Not Available,Not Available
1953,115897.204,5913,76325,Not Available,Not Available,82238,1034.272,Not Available,5.019,Not Available,Not Available
1954,118384.671,4799,61946,Not Available,Not Available,66745,1165.498,Not Available,3.209,Not Available,Not Available
1955,143759.195,5412,69862,Not Available,Not Available,75274,1153.28,Not Available,3.234,Not Available,Not Available
1956,158278.996,5228,67483,Not Available,Not Available,72711,1239.311,Not Available,1.738,Not Available,Not Available
1957,160769.232,5730,73963,Not Available,Not Available,79693,1336.141,Not Available,2.008,Not Available,Not Available
1958,155724.17,5584,72083,Not Available,Not Available,77667,1372.853,Not Available,1.94,Not Available,Not Available
1959,168423.221,6346,81917,Not Available,Not Available,88263,1628.509,Not Available,1.677,Not Available,Not Available
1960,176685.359,3823.751,84371.237,Not Available,Not Available,88194.988,1724.762,Not Available,1.508,Not Available,Not Available
1961,182185.128,3708.034,85204.144,Not Available,Not Available,88912.178,1825.117,Not Available,1.339,Not Available,Not Available
1962,193315.869,3909.839,85384.162,Not Available,Not Available,89294.001,1965.974,Not Available,1.349,Not Available,Not Available
1963,211332.494,4233.082,89080.502,Not Available,Not Available,93313.584,2144.473,Not Available,1.341,Not Available,Not Available
1964,225425.457,4310.205,96830.748,Not Available,Not Available,101140.953,2322.896,Not Available,1.549,Not Available,Not Available
1965,244788.119,4928.169,110274.414,Not Available,Not Available,115202.583,2321.101,Not Available,2.81,Not Available,Not Available
1966,266476.823,6310.526,134638.328,Not Available,Not Available,140948.854,2609.949,Not Available,3.478,Not Available,Not Available
1967,274184.533,7392.618,153885.579,Not Available,Not Available,161278.197,2746.352,Not Available,3.293,Not Available,Not Available
1968,297779.069,9830.141,178811.721,Not Available,Not Available,188641.862,3147.909,Not Available,3.9,Not Available,Not Available
1969,310640.917,14961.256,236065.679,Not Available,Not Available,251026.935,3487.642,Not Available,3.342,Not Available,Not Available
1970,320181.708,24123.201,311380.551,Not Available,636.433,338685.917,3931.86,Not Available,1.427,2.313,Not Available
