ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2014-01-31,0.89,205994135,18576722,19304987,,229201153
2014-01-06,0,,0,,,231577738
2013-12-31,0.9,209183293,27131802,23348252,,230492510
2013-12-06,0,,0,,230786696,231543138
2013-11-30,0.91,210129256,27626471,22548266,,
2013-10-31,0.91,211054600,28417326,24917560,,230032094
2013-09-30,0.9,210129072,32490326,34016360,,229994216
2013-08-31,0.92,212863225,37702708,38150863,,
2013-07-31,0.92,212843416,37791604,37982985,,230903118
2013-06-30,0.93,215888439,36188092,35814156,,230795299
2013-05-31,0.89,206750151,32449183,33575178,,
2013-04-30,0.9,208641738,33894087,33385595,,230907431
2013-03-31,0.91,212090422,25903886,37627324,,230886422
2013-02-28,0.92,214374031,28406529,39032627,,
2013-01-31,0.94,217189659,27664176,40528915,,230172685
2012-12-31,0.99,234035893,44209213,40495614,,229920121
2012-11-30,0.98,232569811,43609084,40583843,229539522,
2012-10-31,0.98,231173609,43337733,40284482,,235475712
2012-09-30,0.91,231139688,35253217,35444959,,235394281
2012-08-31,0.92,233662612,37437259,34144106,,
2012-07-31,0.92,233672151,37438396,34179251,,251636854
2012-06-30,0.92,233782003,37355420,36056579,,251196264
2012-05-31,0.9,228493915,38353340,36710967,,
2012-04-30,0.9,228493915,38353340,36710967,,252962934
2012-03-31,0.94,244216347,25081894,31921288,,255423425
2012-02-29,0.95,245054695,25501217,31930931,,
2012-01-31,0.98,253347345,25821418,31392894,,257834417
2012-01-23,0,,0,,,258344000
2011-12-31,0,260315086,30764034,31154152,,258393461
2011-11-30,0,260315283,30764231,31154152,258727871,
2011-10-31,0,260312544,30890220,31154152,,258343469
2011-09-30,0.99,267332607,36626960,31587180,,260991439
2011-08-31,1,269691999,36490832,32072211,,
2011-07-31,0,279116140,46512540,39268512,,269256615
2011-06-30,0.98,270816586,45474850,37993949,,272049949
2011-05-31,0.98,269333478,45330601,39728371,,
2011-04-30,0.99,273402087,40615853,31914798,,273962768
2011-03-31,0.97,268168318,36807072,30952446,,273621991
2011-02-28,0.97,267028779,35701773,31920402,,
2011-01-31,0.96,267771671,58748366,33518069,,274094567
2010-12-31,0.97,269493917,37177438,41189232,,273702931
2010-11-30,0.97,269177740,35369848,40413292,273452980,
2010-10-31,0.97,271229172,45010817,47256073,,276347761
2010-09-30,0.99,274740307,48780572,46464718,,277521183
2010-08-31,0,279566594,49622927,47405876,,
2010-07-31,0.98,276815913,32901168,39582090,,278837313
2010-06-30,0.97,274291603,46518940,40754845,,281182658
2010-05-31,0,302883103,58466187,40344223,,
2010-04-30,0,294888547,54988959,44046762,,282520332
2010-03-31,0,288547250,48650281,43736312,,281578939
2010-02-28,0,286819578,47987466,44938923,,
2010-01-31,0,288624360,32705739,44385332,,282383043
2009-12-31,0.99,286151530,32506628,44699124,,283825325
2009-11-30,0.94,278593949,33588350,44264339,277542725,
2009-10-31,0,588608549,89758371,24889875,,288084821
2009-09-30,0,289021120,28105851,34232928,,287922263
2009-08-31,0.97,288390604,28078239,34363392,,
2009-07-31,1,296676631,36384854,38530379,,297257202
2009-06-30,1,296387932,36220166,38833364,,297068151
2009-05-31,0.98,296251348,35724912,38656516,,
2009-04-30,0.95,286908658,21401256,44204432,,301986312
2009-03-31,0.95,288897640,19839660,45511708,,
2009-02-28,0.97,295675720,20112200,41156028,,
2009-01-31,0.98,299959290,30056756,49363022,,304555186
2008-12-31,0.96,300002294,28601120,47583854,,
2008-11-30,0.96,299602778,28614690,47467694,,
2008-10-31,0.94,292826594,37403408,52695542,,312437558
2008-09-30,0,312077055,27319085,28367493,,
2008-08-31,0,312077055,27319085,28367493,,
2008-07-31,0,312077055,27319085,28367493,,316922920
2008-06-30,0,475254590,178749245,26120579,,
2008-05-31,0,475254590,178749245,26120579,,
