Providence Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,6,Manchester,3,Providence,1,Final ,"Dunkin' Donuts Center Providence, RI"
2012-10-13,12,Providence,2,Bridgeport,4,Final ,"Webster Bank Arena Bridgeport, CT"
2012-10-19,35,Providence,4,Manchester,3,Final ,"Verizon Wireless Arena Manchester, NH"
2012-10-20,52,Providence,3,Springfield,1,Final ,"MassMutual Center Springfield, MA"
2012-10-26,79,Springfield,3,Providence,0,Final ,"Dunkin' Donuts Center Providence, RI"
2012-10-27,84,Providence,3,Connecticut,6,Final ,"XL Center Hartford, CT"
2012-11-02,117,Worcester,3,Providence,2,Final ,"Dunkin' Donuts Center Providence, RI"
2012-11-04,135,St. John's,0,Providence,3,Final ,"Dunkin' Donuts Center Providence, RI"
2012-11-09,154,Albany,1,Providence,2,Final SO ,"Dunkin' Donuts Center Providence, RI"
2012-11-10,164,Providence,0,Manchester,3,Final ,"Verizon Wireless Arena Manchester, NH"
2012-11-11,175,Worcester,4,Providence,3,Final SO ,"Dunkin' Donuts Center Providence, RI"
2012-11-16,195,Manchester,2,Providence,3,Final ,"Dunkin' Donuts Center Providence, RI"
2012-11-17,208,Providence,2,Portland,1,Final ,"Cumberland County Civic Center Portland, ME"
2012-11-18,216,Bridgeport,6,Providence,2,Final ,"Dunkin' Donuts Center Providence, RI"
2012-11-24,250,Providence,3,St. John's,2,Final SO ,"Mile One Centre St. John's, NL"
2012-11-25,262,Providence,0,St. John's,6,Final *,"Mile One Centre St. John's, NL"
2012-11-30,280,Connecticut,2,Providence,4,Final ,"Dunkin' Donuts Center Providence, RI"
2012-12-01,292,Providence,5,Portland,2,Final ,"Cumberland County Civic Center Portland, ME"
2012-12-02,302,Worcester,3,Providence,2,Final SO ,"Dunkin' Donuts Center Providence, RI"
2012-12-07,314,Manchester,2,Providence,3,Final ,"Dunkin' Donuts Center Providence, RI"
2012-12-08,332,Providence,3,Worcester,2,Final SO ,"DCU Center Worcester, MA"
2012-12-09,339,Adirondack,2,Providence,3,Final OT ,"Dunkin' Donuts Center Providence, RI"
2012-12-14,364,Springfield,3,Providence,6,Final ,"Dunkin' Donuts Center Providence, RI"
2012-12-15,368,Providence,2,Albany,1,Final SO ,"Times Union Center Albany, NY"
2012-12-16,383,St. John's,4,Providence,0,Final ,"Dunkin' Donuts Center Providence, RI"
2012-12-21,407,Worcester,5,Providence,4,Final ,"Dunkin' Donuts Center Providence, RI"
2012-12-22,413,Providence,3,Connecticut,1,Final ,"XL Center Hartford, CT"
2012-12-28,438,Providence,4,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-29,460,Providence,2,Worcester,3,Final ,"DCU Center Worcester, MA"
2013-01-02,433,Providence,1,Portland,2,Final *,"Cumberland County Civic Center Portland, ME"
2013-01-04,486,Portland,2,Providence,3,Final ,"Dunkin' Donuts Center Providence, RI"
2013-01-06,510,Springfield,4,Providence,1,Final ,"Dunkin' Donuts Center Providence, RI"
2013-01-11,525,Bridgeport,4,Providence,5,Final ,"Dunkin' Donuts Center Providence, RI"
2013-01-12,543,Providence,2,Springfield,4,Final ,"MassMutual Center Springfield, MA"
2013-01-13,553,Manchester,1,Providence,2,Final ,"Dunkin' Donuts Center Providence, RI"
2013-01-18,571,Portland,3,Providence,2,Final SO ,"Dunkin' Donuts Center Providence, RI"
2013-01-19,580,Providence,1,Manchester,3,Final ,"Verizon Wireless Arena Manchester, NH"
2013-01-20,596,Connecticut,1,Providence,4,Final ,"Dunkin' Donuts Center Providence, RI"
2013-01-23,602,Providence,0,Manchester,3,Final ,"Verizon Wireless Arena Manchester, NH"
2013-01-25,615,Portland,1,Providence,6,Final ,"Dunkin' Donuts Center Providence, RI"
2013-01-26,634,Providence,4,Worcester,3,Final SO ,"DCU Center Worcester, MA"
