ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Greg,Welch,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1,01:55:20,Elite Men
Bill,Braun,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2,01:56:25,Elite Men
Gareth,Mccarthy,IRL,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,3,01:56:59,Elite Men
Wes,Hobson,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4,01:57:40,Elite Men
Mark,Bates,CAN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,5,01:58:03,Elite Men
Oscar,Galindez,ARG,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,6,01:59:42,Elite Men
Leandro,Macedo,BRA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,7,02:00:03,Elite Men
Rip,Esselstyn,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,8,02:01:29,Elite Men
Glynde,Mangum,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,02:02:45,Elite Men
Brad,Beven,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,10,02:04:14,Elite Men
Carol,Montgomery,CAN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1,02:11:51,Elite Women
Terry,Martin,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2,02:14:27,Elite Women
Melissa,Mantak,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,3,02:15:18,Elite Women
Hannele,Stein,RSA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4,02:18:48,Elite Women
Maria Luisa,Martinez,MEX,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,5,02:19:51,Elite Women
Jan,Ripple,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,6,02:19:59,Elite Women
Joy,Hansen,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,7,02:21:31,Elite Women
Claudia,Beristain,MEX,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,8,02:24:27,Elite Women
Virginia,Berasategi,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,02:28:44,Elite Women
Carmen,Ochoa,MEX,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,10,02:29:53,Elite Women
