People QuickFacts,Jackson County,Ohio
"Population, 2013 estimate    ",,"11,570,808"
"Population, 2012 estimate    ","32,954","11,553,031"
"Population, 2010 (April 1) estimates base    ","33,225","11,536,503"
"Population, percent change, April 1, 2010 to July 1, 2013    ",,0.3%
"Population, percent change, April 1, 2010 to July 1, 2012    ",-0.8%,0.1%
"Population, 2010    ","33,225","11,536,504"
"Persons under 5 years, percent, 2012    ",6.3%,6.0%
"Persons under 18 years, percent, 2012    ",24.2%,23.1%
"Persons 65 years and over, percent, 2012    ",15.0%,14.8%
"Female persons, percent, 2012    ",50.9%,51.1%
,,
"White alone, percent, 2012 (a)    ",97.2%,83.4%
"Black or African American alone, percent, 2012 (a)    ",0.7%,12.5%
"American Indian and Alaska Native alone, percent, 2012 (a)    ",0.4%,0.3%
"Asian alone, percent, 2012 (a)    ",0.4%,1.8%
"Native Hawaiian and Other Pacific Islander alone, percent, 2012 (a)    ",Z,Z
"Two or More Races, percent, 2012    ",1.4%,2.0%
"Hispanic or Latino, percent, 2012 (b)    ",0.9%,3.3%
"White alone, not Hispanic or Latino, percent, 2012    ",96.4%,80.7%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",85.3%,85.4%
"Foreign born persons, percent, 2008-2012    ",0.6%,3.9%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",4.4%,6.6%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",80.9%,88.2%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",14.0%,24.7%
"Veterans, 2008-2012    ","2,993","893,168"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",27.2,23
"Housing units, 2012    ","14,557","5,128,619"
"Homeownership rate, 2008-2012    ",66.2%,68.0%
"Housing units in multi-unit structures, percent, 2008-2012    ",12.2%,22.9%
"Median value of owner-occupied housing units, 2008-2012    ","$92,200","$133,700"
"Households, 2008-2012    ","13,411","4,555,709"
"Persons per household, 2008-2012    ",2.45,2.46
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$19,619","$25,857"
"Median household income, 2008-2012    ","$36,903","$48,246"
"Persons below poverty level, percent, 2008-2012    ",24.8%,15.4%
,,
Business QuickFacts,Jackson County,Ohio
"Private nonfarm establishments, 2011    ",582,"250,476"
"Private nonfarm employment, 2011    ","8,884","4,432,849"
"Private nonfarm employment, percent change, 2010-2011    ",-1.6%,1.8%
"Nonemployer establishments, 2011    ","1,770","742,500"
,,
"Total number of firms, 2007    ","2,280","897,939"
"Black-owned firms, percent, 2007    ",F,5.8%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.3%
"Asian-owned firms, percent, 2007    ",F,2.0%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,S
"Hispanic-owned firms, percent, 2007    ",F,1.1%
"Women-owned firms, percent, 2007    ",23.8%,27.7%
,,
"Manufacturers shipments, 2007 ($1000)    ","2,083,902","295,890,890"
"Merchant wholesaler sales, 2007 ($1000)    ","50,091","135,575,279"
"Retail sales, 2007 ($1000)    ","336,097","138,816,008"
"Retail sales per capita, 2007    ","$10,092","$12,049"
"Accommodation and food services sales, 2007 ($1000)    ","35,451","17,779,905"
"Building permits, 2012    ",44,"16,905"
,,
Geography QuickFacts,Jackson County,Ohio
"Land area in square miles, 2010    ",420.3,"40,860.69"
"Persons per square mile, 2010    ",79,282.3
FIPS Code    ,79,39
Metropolitan or Micropolitan Statistical Area    ,None, 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
