"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc."
Date,Insider Percent Owned,Insider Shares Bought,Insider Shares Sold,,
2014-01-31,0.13,85139,85139,,
2013-11-30,0.13,461669,236907,,
2013-10-31,0.13,287107,303393,,
2013-09-30,0.13,298891,84077,,
2013-08-31,0.13,87928,142601,,
2013-07-31,0.13,16964,23712,,
2013-06-30,0.13,,20000,,
2013-05-31,0.13,109125,31753,,
2013-04-30,0.12,,7187,,
2013-03-31,0.12,,56502,,
2013-01-31,0.13,,21579,,
2012-11-30,0.13,,21916,,
2012-10-31,0.13,,,,
2012-09-30,0.13,,7203,,
2012-08-31,0.13,306178,87351,,
2012-07-31,0.12,,54446,,
2012-06-30,0.12,,,,
2012-05-31,0.12,,7771,,
2012-04-30,0.12,,,,
2012-03-31,0.12,,,,
2012-02-29,0.12,45000,80471,,
2012-01-31,0.12,,329552,,
2011-12-31,0.12,,,,
2011-11-30,0.12,68950,39000,,
2011-10-31,0.12,243045,,,
2011-09-30,0.11,,,,
2011-08-31,0.12,187728,74754,,
2011-07-31,0.12,12131,15902,,
2011-06-30,0.12,,,,
2011-05-31,0.12,68088,42226,,
2011-04-30,0.12,,5381,,
2011-03-31,0.12,,,,
2011-02-28,0.12,26527,29697,,
2011-01-31,0.12,,,,
2010-12-31,0.12,,808,,
2010-11-30,0.12,60951,68625,,
2010-10-31,0.12,,,,
2010-09-30,0.12,,,,
2010-08-31,0.13,447656,10215,,
2010-07-31,0.09,,7092,,
2010-06-30,0.09,,,,
2010-05-31,0.09,100000,9752,,
2010-04-30,0.09,,,,
2010-03-31,0.09,,,,
2010-02-28,0.06,308646,5800,,
2010-01-31,0.06,,,,
2009-12-31,0.06,,,,
2009-11-30,0.06,25500,24350,,
2009-10-31,0.06,,,,
2009-09-30,0.06,,,,
2009-08-31,0.06,,16266,,
2009-07-31,0.06,277998,,,
2009-06-30,0.04,,,,
2009-05-31,0.04,,,,
2009-04-30,0.21,40000,,,
2009-03-31,0.18,,,,
2009-02-28,0.04,,,,
2009-01-31,0.22,,,,
2008-12-31,0.02,267466,,,
2008-11-30,0.01,,,,
2008-10-31,0.01,,,,
2008-09-30,0.01,,,,
2008-08-31,0.01,,,,
2008-07-31,0.01,,,,
2008-06-30,0.01,,,,
2008-05-31,0.01,,,,
2008-04-30,0.04,0,0,,
2008-03-31,0.04,0,0,,
2008-02-29,0.04,0,0,,
2008-01-31,0.04,0,0,,
2007-12-31,0.04,0,0,,
2007-11-30,0.04,0,5000,,
2007-10-31,0.04,0,5000,,
2007-09-30,0.04,0,5000,,
2007-08-31,0.04,0,10000,,
2007-07-31,0.04,0,0,,
2007-06-30,0.04,0,7555,,
2007-05-31,0.04,0,7555,,
2007-04-30,0.04,0,0,,
2007-03-31,0.04,0,190426,,
2007-02-28,0.04,0,0,,
2007-01-31,0.04,11895,31895,,
2006-12-31,0.04,0,0,,
2006-11-30,0.04,0,0,,
2006-10-31,0.04,0,0,,
2006-09-30,0.04,0,0,,
2006-08-31,0,6671,0,,
2006-07-31,0,11561516,0,,
2006-06-30,0.04,0,0,,
2006-05-31,0.04,0,0,,
