,Nov 9,Nov 9,Nov 16,Nov 16,Nov 23,Nov 23,Nov 30,Nov 30
,Long,Short,Long,Short,Long,Short,Long,Short
Total Interest Rates*,N/A***,,,,,,,
SD/MSPs**,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Cross-Currency,,,,,,,,
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Credit,,,,,,,,
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Equity,,,,,,,,
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Commodities,,,,,,,,
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
"Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared.","Weekly snapshot, estimated net notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, cleared and uncleared."
*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.
**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
